rank 1: start pid=516732 shape=noncommutative
rank 1: round 0 ok checksum=359784666211
rank 1: round 25 ok checksum=17329185636575274929
rank 1: round 50 ok checksum=13165875790355708782
rank 1: round 75 ok checksum=3256826271484879986
rank 1: round 100 ok checksum=1752237140927761221
rank 1: round 125 ok checksum=1019516126976842359
rank 1: round 150 ok checksum=12849192879855874368
rank 1: round 175 ok checksum=10064244774209207529
rank 1: round 200 ok checksum=5794174156492890023
rank 1: round 225 ok checksum=1583319311849139458
rank 1: round 250 ok checksum=9231537682387304982
rank 1: round 275 ok checksum=1270625428880539791
rank 1: round 300 ok checksum=8644835344498861913
rank 1: round 325 ok checksum=9958488470927931064
rank 1: round 350 ok checksum=8430707220201749336
rank 1: round 375 ok checksum=5594845344923390325
rank 1: round 400 ok checksum=3856339987373421010
rank 1: round 425 ok checksum=12739419637847053280
rank 1: round 450 ok checksum=13123473123842756771
rank 1: round 475 ok checksum=1485587884418537059
rank 1: round 500 ok checksum=5045406573991158700
rank 1: round 525 ok checksum=6882306766419207246
rank 1: round 550 ok checksum=2649226086813269213
rank 1: round 575 ok checksum=5659614139189128433
rank 1: round 600 ok checksum=9297092790095568134
rank 1: round 625 ok checksum=13805628059955337020
rank 1: round 650 ok checksum=15009436534506601630
rank 1: round 675 ok checksum=7605888036263673598
rank 1: round 700 ok checksum=8963874411962931627
rank 1: round 725 ok checksum=2828807516285739157
rank 1: round 750 ok checksum=2389124552316085800
rank 1: round 775 ok checksum=17358627058249270780
rank 1: round 800 ok checksum=15143460959253529589
rank 1: round 825 ok checksum=4022129349770819539
rank 1: round 850 ok checksum=12228643606396112562
rank 1: round 875 ok checksum=6709910717127052571
rank 1: round 900 ok checksum=7260073229426022335
rank 1: round 925 ok checksum=17193069435611214550
rank 1: round 950 ok checksum=13264164836991317568
rank 1: round 975 ok checksum=4712108325146821609
rank 1: round 1000 ok checksum=17397047595560181593
rank 1: round 1025 ok checksum=497759404440574596
rank 1: round 1050 ok checksum=8085366684967022522
rank 1: round 1075 ok checksum=13422683572588946487
rank 1: round 1100 ok checksum=18207540886725272691
rank 1: round 1125 ok checksum=13828574883022748739
rank 1: round 1150 ok checksum=9309148296337121572
rank 1: round 1175 ok checksum=18012187238543368474
rank 1: round 1200 ok checksum=7174727921152706273
rank 1: round 1225 ok checksum=13296449707616490561
rank 1: round 1250 ok checksum=1421774699613377646
rank 1: round 1275 ok checksum=13306344029560798040
rank 1: round 1300 ok checksum=4625427798222854763
rank 1: round 1325 ok checksum=14428750309767702847
rank 1: round 1350 ok checksum=10273321024353951127
rank 1: round 1375 ok checksum=5091883666158042128
rank 1: round 1400 ok checksum=13586830237903352518
rank 1: round 1425 ok checksum=11016328074426942941
rank 1: round 1450 ok checksum=4626260227497443013
rank 1: round 1475 ok checksum=6771024846322921225
rank 1: round 1500 ok checksum=17021314300638778843
rank 1: round 1525 ok checksum=10324479790280901475
rank 1: round 1550 ok checksum=906399557828581443
rank 1: round 1575 ok checksum=15073358312130729219
rank 1: round 1600 ok checksum=10916605703625566849
rank 1: round 1625 ok checksum=17012374516169414234
rank 1: round 1650 ok checksum=7941116099596006181
rank 1: round 1675 ok checksum=2765038869093916430
rank 1: round 1700 ok checksum=6514086490903862423
rank 1: round 1725 ok checksum=2605262696345967580
rank 1: round 1750 ok checksum=15377521892952047315
rank 1: round 1775 ok checksum=2806607809385688856
rank 1: round 1800 ok checksum=17949689686770543757
rank 1: round 1825 ok checksum=10946636732241125711
rank 1: round 1850 ok checksum=11906988141724639569
rank 1: round 1875 ok checksum=12957264393035375447
rank 1: round 1900 ok checksum=17838181079612128375
rank 1: round 1925 ok checksum=9211920808170551905
rank 1: round 1950 ok checksum=14957210130265284623
rank 1: round 1975 ok checksum=17484179325880867601
rank 1: round 2000 ok checksum=16470648257922984605
rank 1: round 2025 ok checksum=16997938068527868563
rank 1: round 2050 ok checksum=7419255538897482989
rank 1: round 2075 ok checksum=908980094370816069
rank 1: round 2100 ok checksum=4106817301950647444
rank 1: round 2125 ok checksum=2692697182091626341
rank 1: round 2150 ok checksum=7748458684045094418
rank 1: round 2175 ok checksum=1067060767430063587
rank 1: round 2200 ok checksum=5413806213433840987
rank 1: round 2225 ok checksum=16665717737857878447
rank 1: round 2250 ok checksum=6206278589261806373
rank 1: round 2275 ok checksum=3917808207405094725
rank 1: round 2300 ok checksum=3061892787265128544
rank 1: round 2325 ok checksum=14270221707435361627
rank 1: round 2350 ok checksum=1832527673828266452
rank 1: round 2375 ok checksum=391614496914027775
rank 1: round 2400 ok checksum=9599090476947574454
rank 1: round 2425 ok checksum=11896172285868196253
rank 1: round 2450 ok checksum=13056284975142153794
rank 1: round 2475 ok checksum=6188415576673338697
rank 1: round 2500 ok checksum=1955148947391335660
rank 1: round 2525 ok checksum=13393888244737915007
rank 1: round 2550 ok checksum=15161098354788308800
rank 1: round 2575 ok checksum=13751913620046950664
rank 1: round 2600 ok checksum=5391190447161817174
rank 1: round 2625 ok checksum=10087348904370008930
rank 1: round 2650 ok checksum=17213181403349825726
rank 1: round 2675 ok checksum=14305763767645908738
rank 1: round 2700 ok checksum=14237839491934399164
rank 1: round 2725 ok checksum=17462424365234580052
rank 1: round 2750 ok checksum=3895024536157597276
rank 1: round 2775 ok checksum=17957744994621978204
rank 1: round 2800 ok checksum=4324872663332140514
rank 1: round 2825 ok checksum=10553354098079761611
rank 1: round 2850 ok checksum=7212375151578526910
rank 1: round 2875 ok checksum=15520851233159818983
rank 1: round 2900 ok checksum=9487460723713296984
rank 1: round 2925 ok checksum=4925753300595984493
rank 1: round 2950 ok checksum=2051246379749672332
rank 1: round 2975 ok checksum=3334532730903305965
rank 1: round 3000 ok checksum=3703849684216812754
rank 1: round 3025 ok checksum=2063034198858586572
rank 1: round 3050 ok checksum=10353756307105780478
rank 1: round 3075 ok checksum=15293006046229423611
rank 1: round 3100 ok checksum=2019399746883215187
rank 1: round 3125 ok checksum=288713775395754666
rank 1: round 3150 ok checksum=14421123268416006184
rank 1: round 3175 ok checksum=14497422035923699929
rank 1: round 3200 ok checksum=12387767076067184253
