rank 0: start pid=516731 shape=noncommutative
rank 0: round 0 ok checksum=359785221918741902
rank 0: round 25 ok checksum=1077822357026666646
rank 0: round 50 ok checksum=4717731713681667660
rank 0: round 75 ok checksum=1508053617083919850
rank 0: round 100 ok checksum=9243358924423901880
rank 0: round 125 ok checksum=12682066699963726332
rank 0: round 150 ok checksum=13539645442686787214
rank 0: round 175 ok checksum=8954507875335655609
rank 0: round 200 ok checksum=3281586433092480546
rank 0: round 225 ok checksum=11047447246065359945
rank 0: round 250 ok checksum=2992018690006258082
rank 0: round 275 ok checksum=11879696654760012239
rank 0: round 300 ok checksum=11993690561901915380
rank 0: round 325 ok checksum=16144317140616886295
rank 0: round 350 ok checksum=1699375455863368540
rank 0: round 375 ok checksum=13753050560802963269
rank 0: round 400 ok checksum=6723100655777436267
rank 0: round 425 ok checksum=12845574517986215625
rank 0: round 450 ok checksum=17233604266197621159
rank 0: round 475 ok checksum=16416858477521515307
rank 0: round 500 ok checksum=14075460501446940397
rank 0: round 525 ok checksum=33920596248932039
rank 0: round 550 ok checksum=4706712185521748849
rank 0: round 575 ok checksum=16109492301740731441
rank 0: round 600 ok checksum=6208239634368110351
rank 0: round 625 ok checksum=1943901732690990437
rank 0: round 650 ok checksum=8078198672512202992
rank 0: round 675 ok checksum=12879878466504507563
rank 0: round 700 ok checksum=15995794423631839218
rank 0: round 725 ok checksum=1027234147800404259
rank 0: round 750 ok checksum=7708136037018065002
rank 0: round 775 ok checksum=14302393349360926177
rank 0: round 800 ok checksum=4428662260458518564
rank 0: round 825 ok checksum=11663665271222125393
rank 0: round 850 ok checksum=9507244729964588100
rank 0: round 875 ok checksum=17330349484363981608
rank 0: round 900 ok checksum=9536911933573346230
rank 0: round 925 ok checksum=16574456813335300742
rank 0: round 950 ok checksum=16696862995431093328
rank 0: round 975 ok checksum=5835462654647529942
rank 0: round 1000 ok checksum=13476602190139355408
rank 0: round 1025 ok checksum=17840154094021852828
rank 0: round 1050 ok checksum=2279791095953947682
rank 0: round 1075 ok checksum=2032740459091218084
rank 0: round 1100 ok checksum=6429234964341601738
rank 0: round 1125 ok checksum=10878703077052405355
rank 0: round 1150 ok checksum=4062172502634471052
rank 0: round 1175 ok checksum=1355665446796697585
rank 0: round 1200 ok checksum=3524124480178195934
rank 0: round 1225 ok checksum=14916656854943162937
rank 0: round 1250 ok checksum=1516042858229631046
rank 0: round 1275 ok checksum=10422414550127379815
rank 0: round 1300 ok checksum=13541646830492309712
rank 0: round 1325 ok checksum=37043976840208679
rank 0: round 1350 ok checksum=830974165987929205
rank 0: round 1375 ok checksum=11391537695508446993
rank 0: round 1400 ok checksum=17338287859443741891
rank 0: round 1425 ok checksum=11908347325984037749
rank 0: round 1450 ok checksum=5942561740678836347
rank 0: round 1475 ok checksum=2171901524912624347
rank 0: round 1500 ok checksum=3703607160627541824
rank 0: round 1525 ok checksum=17409008966323813950
rank 0: round 1550 ok checksum=3400785241012679409
rank 0: round 1575 ok checksum=5598663771775738925
rank 0: round 1600 ok checksum=6281641121273095494
rank 0: round 1625 ok checksum=14602016964389576519
rank 0: round 1650 ok checksum=9501065107079445145
rank 0: round 1675 ok checksum=6670317077386757448
rank 0: round 1700 ok checksum=8950213023096325204
rank 0: round 1725 ok checksum=9998635990286979697
rank 0: round 1750 ok checksum=10202108675430831047
rank 0: round 1775 ok checksum=5221577806497913234
rank 0: round 1800 ok checksum=161420863956719074
rank 0: round 1825 ok checksum=13911173988971848724
rank 0: round 1850 ok checksum=6623143423164454349
rank 0: round 1875 ok checksum=14288785683522694811
rank 0: round 1900 ok checksum=13940403176934726026
rank 0: round 1925 ok checksum=2037305126496420150
rank 0: round 1950 ok checksum=12836711564791263651
rank 0: round 1975 ok checksum=2656919243553027661
rank 0: round 2000 ok checksum=9574515302631870352
rank 0: round 2025 ok checksum=11760776562837202328
rank 0: round 2050 ok checksum=16697870589246952761
rank 0: round 2075 ok checksum=3066521788035761107
rank 0: round 2100 ok checksum=18397640521896195191
rank 0: round 2125 ok checksum=14792333451147279418
rank 0: round 2150 ok checksum=13255566146953839828
rank 0: round 2175 ok checksum=17375046478059605621
rank 0: round 2200 ok checksum=11889101340827931853
rank 0: round 2225 ok checksum=12957323552440583276
rank 0: round 2250 ok checksum=5250213113368571994
rank 0: round 2275 ok checksum=13289871804020989015
rank 0: round 2300 ok checksum=13072054979637724168
rank 0: round 2325 ok checksum=2762847757838554562
rank 0: round 2350 ok checksum=17784695851269586225
rank 0: round 2375 ok checksum=7189396770448834409
rank 0: round 2400 ok checksum=8832137741272982350
rank 0: round 2425 ok checksum=10452210297822644580
rank 0: round 2450 ok checksum=3611512271344648327
rank 0: round 2475 ok checksum=13954473100923671195
rank 0: round 2500 ok checksum=14585446503821813716
rank 0: round 2525 ok checksum=14172113082990602310
rank 0: round 2550 ok checksum=17904202410346510293
rank 0: round 2575 ok checksum=5237031625207255212
rank 0: round 2600 ok checksum=11848088497497479636
rank 0: round 2625 ok checksum=8065854260125129465
rank 0: round 2650 ok checksum=5654776256527186771
rank 0: round 2675 ok checksum=10524561760566429894
rank 0: round 2700 ok checksum=18281136726869816146
rank 0: round 2725 ok checksum=15321565100475889939
rank 0: round 2750 ok checksum=13908339848531687121
rank 0: round 2775 ok checksum=10159881940339587296
rank 0: round 2800 ok checksum=6871189086290422144
rank 0: round 2825 ok checksum=15423057351663322884
rank 0: round 2850 ok checksum=4489947839431797617
rank 0: round 2875 ok checksum=18416931115921502515
rank 0: round 2900 ok checksum=6208412924669006438
rank 0: round 2925 ok checksum=14938798445403803462
rank 0: round 2950 ok checksum=11634493041801948583
rank 0: round 2975 ok checksum=15318415026395694660
rank 0: round 3000 ok checksum=1153934753273986192
rank 0: round 3025 ok checksum=432429032815483832
rank 0: round 3050 ok checksum=13960777665689915809
rank 0: round 3075 ok checksum=14790342924550039562
rank 0: round 3100 ok checksum=10810445900889790519
rank 0: round 3125 ok checksum=17602240635418373750
rank 0: round 3150 ok checksum=1645495915598762411
rank 0: round 3175 ok checksum=8846541638137757008
rank 0: round 3200 ok checksum=17779010515501051673
rank 0: round 3225 ok checksum=16755590552439078356
rank 0: round 3250 ok checksum=3744146405649090709
rank 0: round 3275 ok checksum=17598406550839594474
rank 0: round 3300 ok checksum=12550933844007637340
rank 0: round 3325 ok checksum=17188485034169063410
rank 0: round 3350 ok checksum=13039465375235131652
rank 0: round 3375 ok checksum=12718187743703645792
rank 0: round 3400 ok checksum=14632058018381198670
rank 0: round 3425 ok checksum=3098790051224135648
rank 0: round 3450 ok checksum=18247567453939485726
