rank 1: start pid=500400 shape=collectives_sweep
rank 1: round 0 ok checksum=7470986638039827820
rank 1: round 25 ok checksum=11917677245463753325
rank 1: round 50 ok checksum=5720944916304995699
rank 1: round 75 ok checksum=12452849298353181578
rank 1: round 100 ok checksum=15591423448073781906
rank 1: round 125 ok checksum=4959224965663520533
rank 1: round 150 ok checksum=6772602307797831663
rank 1: round 175 ok checksum=2792449498129599608
rank 1: round 200 ok checksum=16119584880950591106
rank 1: round 225 ok checksum=3048173307246518423
rank 1: round 250 ok checksum=5128137889465368421
rank 1: round 275 ok checksum=3989532591175160816
rank 1: round 300 ok checksum=11519755955132317082
rank 1: round 325 ok checksum=17623035518733231489
rank 1: round 350 ok checksum=9964190653590407875
rank 1: round 375 ok checksum=18080512847799213456
rank 1: round 400 ok checksum=4410430522485932812
rank 1: round 425 ok checksum=6125173280829163861
rank 1: round 450 ok checksum=17789881278117059115
rank 1: round 475 ok checksum=2003915649449079626
rank 1: round 500 ok checksum=3790269862492060390
rank 1: round 525 ok checksum=6362001277218515409
rank 1: round 550 ok checksum=1544136097668008635
rank 1: round 575 ok checksum=546763157529227884
rank 1: round 600 ok checksum=4668736328277657386
rank 1: round 625 ok checksum=10480740372179242439
rank 1: round 650 ok checksum=15610754592597176549
rank 1: round 675 ok checksum=12345438384787370424
rank 1: round 700 ok checksum=2392861544794248982
rank 1: round 725 ok checksum=4156995599102984613
rank 1: round 750 ok checksum=13169194397806415735
rank 1: round 775 ok checksum=9901981162274907052
rank 1: round 800 ok checksum=1274152542123742204
rank 1: round 825 ok checksum=9604261421270772749
rank 1: round 850 ok checksum=15111841759252655027
rank 1: round 875 ok checksum=5355695749951360518
rank 1: round 900 ok checksum=11671560788866291658
rank 1: round 925 ok checksum=8128185902910765981
rank 1: round 950 ok checksum=7904915872988887447
rank 1: round 975 ok checksum=15966668911152514890
rank 1: round 1000 ok checksum=9730371313677732050
rank 1: round 1025 ok checksum=5022916191618988279
rank 1: round 1050 ok checksum=14740014371319958117
rank 1: round 1075 ok checksum=14469348925188878182
rank 1: round 1100 ok checksum=627599117787280338
rank 1: round 1125 ok checksum=5267100368980054025
rank 1: round 1150 ok checksum=4381746416896705643
rank 1: round 1175 ok checksum=17145816183278740172
rank 1: round 1200 ok checksum=364352164983938156
rank 1: round 1225 ok checksum=10235022138673508165
rank 1: round 1250 ok checksum=10620614779791511483
rank 1: round 1275 ok checksum=16865052601777074458
rank 1: round 1300 ok checksum=287442288160733294
rank 1: round 1325 ok checksum=12794805873148212265
rank 1: round 1350 ok checksum=12717222702469723443
rank 1: round 1375 ok checksum=12971245075078727154
rank 1: round 1400 ok checksum=3334224624108593690
rank 1: round 1425 ok checksum=8682576680989669319
rank 1: round 1450 ok checksum=10914800854180302725
rank 1: round 1475 ok checksum=7305142505667300082
rank 1: round 1500 ok checksum=11774953915437119598
rank 1: round 1525 ok checksum=2297387589114666061
rank 1: round 1550 ok checksum=4113964310684533567
rank 1: round 1575 ok checksum=9936875862424626188
rank 1: round 1600 ok checksum=10830962924676843260
rank 1: round 1625 ok checksum=8272790079526425757
rank 1: round 1650 ok checksum=4776915393922741393
rank 1: round 1675 ok checksum=11840192924671939726
rank 1: round 1700 ok checksum=105578950763687282
rank 1: round 1725 ok checksum=4786873543150856981
rank 1: round 1750 ok checksum=8114095385788165403
rank 1: round 1775 ok checksum=11815755268690681146
rank 1: round 1800 ok checksum=10174329018264925490
rank 1: round 1825 ok checksum=7806223685998284007
rank 1: round 1850 ok checksum=8900256632858958861
rank 1: round 1875 ok checksum=4103143281277830798
rank 1: round 1900 ok checksum=3788772052151878170
rank 1: round 1925 ok checksum=3924126702107974689
rank 1: round 1950 ok checksum=615972457705369769
rank 1: round 1975 ok checksum=10285644199250658972
rank 1: round 2000 ok checksum=9986921697520145676
rank 1: round 2025 ok checksum=10451007520096904821
rank 1: round 2050 ok checksum=2327342191155697565
rank 1: round 2075 ok checksum=13584539312175077826
rank 1: round 2100 ok checksum=3505276164381694518
rank 1: round 2125 ok checksum=7148972186097835201
rank 1: round 2150 ok checksum=7491239514562814747
rank 1: round 2175 ok checksum=7918851242819039362
rank 1: round 2200 ok checksum=9052577878483144266
rank 1: round 2225 ok checksum=10112179391820920071
rank 1: round 2250 ok checksum=12499422926717393281
rank 1: round 2275 ok checksum=2766601029698007146
rank 1: round 2300 ok checksum=5245772529064458246
rank 1: round 2325 ok checksum=8386642176254795573
rank 1: round 2350 ok checksum=15192995761398720817
rank 1: round 2375 ok checksum=4256906523738403756
rank 1: round 2400 ok checksum=11636253466494078268
rank 1: round 2425 ok checksum=5674018863913313915
rank 1: round 2450 ok checksum=9854101609996128521
rank 1: round 2475 ok checksum=17081750510161129302
rank 1: round 2500 ok checksum=1798981420423129946
rank 1: round 2525 ok checksum=12746724316866799225
rank 1: round 2550 ok checksum=3489804826484196795
rank 1: round 2575 ok checksum=8997776353001059434
rank 1: round 2600 ok checksum=13150351132165324802
rank 1: round 2625 ok checksum=14670974474913506655
rank 1: round 2650 ok checksum=2794231038495773141
rank 1: round 2675 ok checksum=4331681750786630438
rank 1: round 2700 ok checksum=10300825844225356498
rank 1: round 2725 ok checksum=3804257752566259727
rank 1: round 2750 ok checksum=1592017391275312345
rank 1: round 2775 ok checksum=14813229416938925020
rank 1: round 2800 ok checksum=9690376338904955324
rank 1: round 2825 ok checksum=16027768996148844263
rank 1: round 2850 ok checksum=5275301893586038917
rank 1: round 2875 ok checksum=4573982776094818682
rank 1: round 2900 ok checksum=12192394095047591438
rank 1: round 2925 ok checksum=1954235306976743705
rank 1: round 2950 ok checksum=4628554236225062827
rank 1: round 2975 ok checksum=1220890219364347938
rank 1: round 3000 ok checksum=5967803882029036474
rank 1: round 3025 ok checksum=7442913987147171939
rank 1: round 3050 ok checksum=10253217064444759401
rank 1: round 3075 ok checksum=5859151948173543458
rank 1: round 3100 ok checksum=3026589441685511646
rank 1: round 3125 ok checksum=17770147305866747495
rank 1: round 3150 ok checksum=16821460961253465601
rank 1: round 3175 ok checksum=11538718758413548172
rank 1: round 3200 ok checksum=18302031339190898364
rank 1: round 3225 ok checksum=3935346769021862163
rank 1: round 3250 ok checksum=12327361959297900481
rank 1: round 3275 ok checksum=2501397035559954014
rank 1: round 3300 ok checksum=16873559057846835248
rank 1: round 3325 ok checksum=6111798202488495545
rank 1: round 3350 ok checksum=8597372130069304731
rank 1: round 3375 ok checksum=12045565386923095258
rank 1: round 3400 ok checksum=15507612467363579212
rank 1: round 3425 ok checksum=4240441132711537223
rank 1: round 3450 ok checksum=9176526984594449373
rank 1: round 3475 ok checksum=17707022616302966270
rank 1: round 3500 ok checksum=9073628086386378210
rank 1: round 3525 ok checksum=5236359968730281951
rank 1: round 3550 ok checksum=7091924546187756105
rank 1: round 3575 ok checksum=16169170278844890204
rank 1: round 3600 ok checksum=15755316302804024672
rank 1: round 3625 ok checksum=1644839107730659999
rank 1: round 3650 ok checksum=9254029313408795229
rank 1: round 3675 ok checksum=12408943987786432674
rank 1: round 3700 ok checksum=11517895553847944040
rank 1: round 3725 ok checksum=8263583853299464185
rank 1: round 3750 ok checksum=11842585813019748651
rank 1: round 3775 ok checksum=17332779713561209650
rank 1: round 3800 ok checksum=1949246169167943064
rank 1: round 3825 ok checksum=1038526646971179451
rank 1: round 3850 ok checksum=6085113477350436065
rank 1: round 3875 ok checksum=17298892408776835306
rank 1: round 3900 ok checksum=16292642666495026146
rank 1: round 3925 ok checksum=17130777743710508583
rank 1: round 3950 ok checksum=7131186904614702177
rank 1: round 3975 ok checksum=772143047015489660
rank 1: round 4000 ok checksum=8202487660861742788
rank 1: round 4025 ok checksum=17060842575831900651
rank 1: round 4050 ok checksum=9308691761157105849
rank 1: round 4075 ok checksum=12797972335412200884
rank 1: round 4100 ok checksum=8919667753620850592
rank 1: round 4125 ok checksum=2015273194208211001
rank 1: round 4150 ok checksum=17441596041855845563
rank 1: round 4175 ok checksum=7490989111171791588
rank 1: round 4200 ok checksum=6317801079696571684
rank 1: round 4225 ok checksum=10644431657237970799
rank 1: round 4250 ok checksum=2236200441384770085
rank 1: round 4275 ok checksum=2924728437714924206
rank 1: round 4300 ok checksum=7945289395123544418
rank 1: round 4325 ok checksum=14871617274449001711
rank 1: round 4350 ok checksum=7227709224175177977
rank 1: round 4375 ok checksum=15086148560607097312
rank 1: round 4400 ok checksum=16511488977908387208
rank 1: round 4425 ok checksum=5381272039855786135
rank 1: round 4450 ok checksum=14827878118222131829
rank 1: round 4475 ok checksum=9215387822342491068
rank 1: round 4500 ok checksum=7562235336231478648
rank 1: round 4525 ok checksum=2970795837315165721
rank 1: round 4550 ok checksum=9206885861575515627
rank 1: round 4575 ok checksum=5176509901578323520
rank 1: round 4600 ok checksum=12255178375749862032
rank 1: round 4625 ok checksum=9070155929868894467
rank 1: round 4650 ok checksum=9488211577091954505
rank 1: round 4675 ok checksum=8583786874825625086
rank 1: round 4700 ok checksum=18105633988024134402
