rank 0: start pid=500399 shape=collectives_sweep
rank 0: round 0 ok checksum=7425514019547334898
rank 0: round 25 ok checksum=1163932700904847862
rank 0: round 50 ok checksum=13878694482775292352
rank 0: round 75 ok checksum=10772472334568997628
rank 0: round 100 ok checksum=8083505025738882866
rank 0: round 125 ok checksum=15030653047918958382
rank 0: round 150 ok checksum=11696930584592826862
rank 0: round 175 ok checksum=800232391837638786
rank 0: round 200 ok checksum=8387065959366669642
rank 0: round 225 ok checksum=7619293152745633726
rank 0: round 250 ok checksum=981728427941927220
rank 0: round 275 ok checksum=12808410432977540256
rank 0: round 300 ok checksum=13305244527713889564
rank 0: round 325 ok checksum=14044492822956802088
rank 0: round 350 ok checksum=7082883898015223012
rank 0: round 375 ok checksum=3327167454146658888
rank 0: round 400 ok checksum=11961788839061658630
rank 0: round 425 ok checksum=975856695540844330
rank 0: round 450 ok checksum=427063729227898092
rank 0: round 475 ok checksum=18340423664225351624
rank 0: round 500 ok checksum=3922382621524274746
rank 0: round 525 ok checksum=17760534317327791254
rank 0: round 550 ok checksum=16326289720044442222
rank 0: round 575 ok checksum=9780237606248441058
rank 0: round 600 ok checksum=5688148708749820102
rank 0: round 625 ok checksum=13751318500108799450
rank 0: round 650 ok checksum=11437908871090303880
rank 0: round 675 ok checksum=15160018445086682388
rank 0: round 700 ok checksum=962444248677867180
rank 0: round 725 ok checksum=13643725522479209112
rank 0: round 750 ok checksum=5751256733866489260
rank 0: round 775 ok checksum=10475684948184114544
rank 0: round 800 ok checksum=9788573268432807978
rank 0: round 825 ok checksum=14781972017825694318
rank 0: round 850 ok checksum=7507639094778102952
rank 0: round 875 ok checksum=1010167767425989842
rank 0: round 900 ok checksum=3333238541524332434
rank 0: round 925 ok checksum=11656785355659525454
rank 0: round 950 ok checksum=4136222768691676862
rank 0: round 975 ok checksum=7205632743320030028
rank 0: round 1000 ok checksum=8291449817537662810
rank 0: round 1025 ok checksum=11009489128219576358
rank 0: round 1050 ok checksum=13526955871382049060
rank 0: round 1075 ok checksum=859470290209403136
rank 0: round 1100 ok checksum=5436763310639982196
rank 0: round 1125 ok checksum=18110511928995063384
rank 0: round 1150 ok checksum=802017932176786396
rank 0: round 1175 ok checksum=2952039792929644188
rank 0: round 1200 ok checksum=2241069304144154534
rank 0: round 1225 ok checksum=2897588994031504930
rank 0: round 1250 ok checksum=11790928974204949996
rank 0: round 1275 ok checksum=8855855982924058418
rank 0: round 1300 ok checksum=11787549193977050466
rank 0: round 1325 ok checksum=7568801904512997782
rank 0: round 1350 ok checksum=1053023172030508214
rank 0: round 1375 ok checksum=2186676351240441184
rank 0: round 1400 ok checksum=14044760344005287542
rank 0: round 1425 ok checksum=17829079395725312994
rank 0: round 1450 ok checksum=2767175995517901336
rank 0: round 1475 ok checksum=4834277102402356760
rank 0: round 1500 ok checksum=10670752106234703396
rank 0: round 1525 ok checksum=17882910029982417128
rank 0: round 1550 ok checksum=17142434911947553220
rank 0: round 1575 ok checksum=15809193219551124904
rank 0: round 1600 ok checksum=8942905561596728426
rank 0: round 1625 ok checksum=4791943399240954886
rank 0: round 1650 ok checksum=17643677824054672726
rank 0: round 1675 ok checksum=5611116461099851218
rank 0: round 1700 ok checksum=16810641175858816474
rank 0: round 1725 ok checksum=14007200988108475246
rank 0: round 1750 ok checksum=8274994157892760448
rank 0: round 1775 ok checksum=14217385295598923796
rank 0: round 1800 ok checksum=10146088545565332258
rank 0: round 1825 ok checksum=16813161679125316142
rank 0: round 1850 ok checksum=3905853616075398068
rank 0: round 1875 ok checksum=5208792370048996224
rank 0: round 1900 ok checksum=9929125379769020068
rank 0: round 1925 ok checksum=15965251379439662408
rank 0: round 1950 ok checksum=13447837158448543680
rank 0: round 1975 ok checksum=16142678789471448644
rank 0: round 2000 ok checksum=2675128834508455110
rank 0: round 2025 ok checksum=15396714395477968538
rank 0: round 2050 ok checksum=9271448369425973278
rank 0: round 2075 ok checksum=1602232251071911058
rank 0: round 2100 ok checksum=4746243497146816266
rank 0: round 2125 ok checksum=4971850936692711702
rank 0: round 2150 ok checksum=4456784785008830524
rank 0: round 2175 ok checksum=4505710501172882696
rank 0: round 2200 ok checksum=13906127487717939110
rank 0: round 2225 ok checksum=3947788898543971690
rank 0: round 2250 ok checksum=17639733672970746628
rank 0: round 2275 ok checksum=1313740030870896968
rank 0: round 2300 ok checksum=12135403576115642908
rank 0: round 2325 ok checksum=6859902154881881016
rank 0: round 2350 ok checksum=14864070513277875236
rank 0: round 2375 ok checksum=4656539598188955488
rank 0: round 2400 ok checksum=11070818231261695530
rank 0: round 2425 ok checksum=14425705271715834654
rank 0: round 2450 ok checksum=7709415947308757758
rank 0: round 2475 ok checksum=2397392859916417362
rank 0: round 2500 ok checksum=16555270402566838946
rank 0: round 2525 ok checksum=16478407164009900538
rank 0: round 2550 ok checksum=11032574868044328816
rank 0: round 2575 ok checksum=16566430495649888348
rank 0: round 2600 ok checksum=8713082835748369906
rank 0: round 2625 ok checksum=8987497286922126480
rank 0: round 2650 ok checksum=6084301043981963052
rank 0: round 2675 ok checksum=12664310298155851216
rank 0: round 2700 ok checksum=4939126473308599996
rank 0: round 2725 ok checksum=5251228957442524222
rank 0: round 2750 ok checksum=7575991004930250176
rank 0: round 2775 ok checksum=16780938491233901980
rank 0: round 2800 ok checksum=15885721474331653534
rank 0: round 2825 ok checksum=13108025372884148534
rank 0: round 2850 ok checksum=8401038758243222446
rank 0: round 2875 ok checksum=3047977731007491298
rank 0: round 2900 ok checksum=15656705455097729418
rank 0: round 2925 ok checksum=6313631103686306950
rank 0: round 2950 ok checksum=16259372113261306804
rank 0: round 2975 ok checksum=4794632427687126464
rank 0: round 3000 ok checksum=17027820824846597206
rank 0: round 3025 ok checksum=6335009507754676432
