rank 0: start pid=486772 shape=baseline
rank 0: round 0 ok checksum=3094
rank 0: round 25 ok checksum=85969
rank 0: round 50 ok checksum=179469
rank 0: round 75 ok checksum=283594
rank 0: round 100 ok checksum=398344
rank 0: round 125 ok checksum=523719
rank 0: round 150 ok checksum=659719
rank 0: round 175 ok checksum=806344
rank 0: round 200 ok checksum=963594
rank 0: round 225 ok checksum=1131469
rank 0: round 250 ok checksum=1309969
rank 0: round 275 ok checksum=1499094
rank 0: round 300 ok checksum=1698844
rank 0: round 325 ok checksum=1909219
rank 0: round 350 ok checksum=2130219
rank 0: round 375 ok checksum=2361844
rank 0: round 400 ok checksum=2604094
rank 0: round 425 ok checksum=2856969
rank 0: round 450 ok checksum=3120469
rank 0: round 475 ok checksum=3394594
rank 0: round 500 ok checksum=3679344
rank 0: round 525 ok checksum=3974719
rank 0: round 550 ok checksum=4280719
rank 0: round 575 ok checksum=4597344
rank 0: round 600 ok checksum=4924594
rank 0: round 625 ok checksum=5262469
rank 0: round 650 ok checksum=5610969
rank 0: round 675 ok checksum=5970094
rank 0: round 700 ok checksum=6339844
rank 0: round 725 ok checksum=6720219
rank 0: round 750 ok checksum=7111219
rank 0: round 775 ok checksum=7512844
rank 0: round 800 ok checksum=7925094
rank 0: round 825 ok checksum=8347969
rank 0: round 850 ok checksum=8781469
rank 0: round 875 ok checksum=9225594
rank 0: round 900 ok checksum=9680344
rank 0: round 925 ok checksum=10145719
rank 0: round 950 ok checksum=10621719
rank 0: round 975 ok checksum=11108344
rank 0: round 1000 ok checksum=11605594
rank 0: round 1025 ok checksum=12113469
rank 0: round 1050 ok checksum=12631969
rank 0: round 1075 ok checksum=13161094
rank 0: round 1100 ok checksum=13700844
rank 0: round 1125 ok checksum=14251219
rank 0: round 1150 ok checksum=14812219
rank 0: round 1175 ok checksum=15383844
rank 0: round 1200 ok checksum=15966094
rank 0: round 1225 ok checksum=16558969
rank 0: round 1250 ok checksum=17162469
rank 0: round 1275 ok checksum=17776594
rank 0: round 1300 ok checksum=18401344
rank 0: round 1325 ok checksum=19036719
rank 0: round 1350 ok checksum=19682719
rank 0: round 1375 ok checksum=20339344
rank 0: round 1400 ok checksum=21006594
rank 0: round 1425 ok checksum=21684469
rank 0: round 1450 ok checksum=22372969
rank 0: round 1475 ok checksum=23072094
rank 0: round 1500 ok checksum=23781844
rank 0: round 1525 ok checksum=24502219
rank 0: round 1550 ok checksum=25233219
rank 0: round 1575 ok checksum=25974844
rank 0: round 1600 ok checksum=26727094
rank 0: round 1625 ok checksum=27489969
rank 0: round 1650 ok checksum=28263469
rank 0: round 1675 ok checksum=29047594
rank 0: round 1700 ok checksum=29842344
rank 0: round 1725 ok checksum=30647719
rank 0: round 1750 ok checksum=31463719
rank 0: round 1775 ok checksum=32290344
rank 0: round 1800 ok checksum=33127594
rank 0: round 1825 ok checksum=33975469
rank 0: round 1850 ok checksum=34833969
rank 0: round 1875 ok checksum=35703094
rank 0: round 1900 ok checksum=36582844
rank 0: round 1925 ok checksum=37473219
rank 0: round 1950 ok checksum=38374219
rank 0: round 1975 ok checksum=39285844
rank 0: round 2000 ok checksum=40208094
rank 0: round 2025 ok checksum=41140969
rank 0: round 2050 ok checksum=42084469
rank 0: round 2075 ok checksum=43038594
rank 0: round 2100 ok checksum=44003344
rank 0: round 2125 ok checksum=44978719
rank 0: round 2150 ok checksum=45964719
rank 0: round 2175 ok checksum=46961344
rank 0: round 2200 ok checksum=47968594
rank 0: round 2225 ok checksum=48986469
rank 0: round 2250 ok checksum=50014969
rank 0: round 2275 ok checksum=51054094
rank 0: round 2300 ok checksum=52103844
rank 0: round 2325 ok checksum=53164219
rank 0: round 2350 ok checksum=54235219
rank 0: round 2375 ok checksum=55316844
rank 0: round 2400 ok checksum=56409094
rank 0: round 2425 ok checksum=57511969
rank 0: round 2450 ok checksum=58625469
rank 0: round 2475 ok checksum=59749594
rank 0: round 2500 ok checksum=60884344
rank 0: round 2525 ok checksum=62029719
rank 0: round 2550 ok checksum=63185719
rank 0: round 2575 ok checksum=64352344
rank 0: round 2600 ok checksum=65529594
rank 0: round 2625 ok checksum=66717469
rank 0: round 2650 ok checksum=67915969
rank 0: round 2675 ok checksum=69125094
rank 0: round 2700 ok checksum=70344844
rank 0: round 2725 ok checksum=71575219
rank 0: round 2750 ok checksum=72816219
rank 0: round 2775 ok checksum=74067844
rank 0: round 2800 ok checksum=75330094
rank 0: round 2825 ok checksum=76602969
rank 0: round 2850 ok checksum=77886469
rank 0: round 2875 ok checksum=79180594
rank 0: round 2900 ok checksum=80485344
rank 0: round 2925 ok checksum=81800719
rank 0: round 2950 ok checksum=83126719
rank 0: round 2975 ok checksum=84463344
rank 0: round 3000 ok checksum=85810594
rank 0: round 3025 ok checksum=87168469
rank 0: round 3050 ok checksum=88536969
rank 0: round 3075 ok checksum=89916094
rank 0: round 3100 ok checksum=91305844
rank 0: round 3125 ok checksum=92706219
rank 0: round 3150 ok checksum=94117219
rank 0: round 3175 ok checksum=95538844
rank 0: round 3200 ok checksum=96971094
rank 0: round 3225 ok checksum=98413969
rank 0: round 3250 ok checksum=99867469
rank 0: round 3275 ok checksum=101331594
rank 0: round 3300 ok checksum=102806344
rank 0: round 3325 ok checksum=104291719
rank 0: round 3350 ok checksum=105787719
rank 0: round 3375 ok checksum=107294344
rank 0: round 3400 ok checksum=108811594
rank 0: round 3425 ok checksum=110339469
rank 0: round 3450 ok checksum=111877969
