rank 2: start pid=486774 shape=baseline
rank 2: round 0 ok checksum=1213
rank 2: round 25 ok checksum=35763
rank 2: round 50 ok checksum=78438
rank 2: round 75 ok checksum=129238
rank 2: round 100 ok checksum=188163
rank 2: round 125 ok checksum=255213
rank 2: round 150 ok checksum=330388
rank 2: round 175 ok checksum=413688
rank 2: round 200 ok checksum=505113
rank 2: round 225 ok checksum=604663
rank 2: round 250 ok checksum=712338
rank 2: round 275 ok checksum=828138
rank 2: round 300 ok checksum=952063
rank 2: round 325 ok checksum=1084113
rank 2: round 350 ok checksum=1224288
rank 2: round 375 ok checksum=1372588
rank 2: round 400 ok checksum=1529013
rank 2: round 425 ok checksum=1693563
rank 2: round 450 ok checksum=1866238
rank 2: round 475 ok checksum=2047038
rank 2: round 500 ok checksum=2235963
rank 2: round 525 ok checksum=2433013
rank 2: round 550 ok checksum=2638188
rank 2: round 575 ok checksum=2851488
rank 2: round 600 ok checksum=3072913
rank 2: round 625 ok checksum=3302463
rank 2: round 650 ok checksum=3540138
rank 2: round 675 ok checksum=3785938
rank 2: round 700 ok checksum=4039863
rank 2: round 725 ok checksum=4301913
rank 2: round 750 ok checksum=4572088
rank 2: round 775 ok checksum=4850388
rank 2: round 800 ok checksum=5136813
rank 2: round 825 ok checksum=5431363
rank 2: round 850 ok checksum=5734038
rank 2: round 875 ok checksum=6044838
rank 2: round 900 ok checksum=6363763
rank 2: round 925 ok checksum=6690813
rank 2: round 950 ok checksum=7025988
rank 2: round 975 ok checksum=7369288
rank 2: round 1000 ok checksum=7720713
rank 2: round 1025 ok checksum=8080263
rank 2: round 1050 ok checksum=8447938
rank 2: round 1075 ok checksum=8823738
rank 2: round 1100 ok checksum=9207663
rank 2: round 1125 ok checksum=9599713
rank 2: round 1150 ok checksum=9999888
rank 2: round 1175 ok checksum=10408188
rank 2: round 1200 ok checksum=10824613
rank 2: round 1225 ok checksum=11249163
rank 2: round 1250 ok checksum=11681838
rank 2: round 1275 ok checksum=12122638
rank 2: round 1300 ok checksum=12571563
rank 2: round 1325 ok checksum=13028613
rank 2: round 1350 ok checksum=13493788
rank 2: round 1375 ok checksum=13967088
rank 2: round 1400 ok checksum=14448513
rank 2: round 1425 ok checksum=14938063
rank 2: round 1450 ok checksum=15435738
rank 2: round 1475 ok checksum=15941538
rank 2: round 1500 ok checksum=16455463
rank 2: round 1525 ok checksum=16977513
rank 2: round 1550 ok checksum=17507688
rank 2: round 1575 ok checksum=18045988
rank 2: round 1600 ok checksum=18592413
rank 2: round 1625 ok checksum=19146963
rank 2: round 1650 ok checksum=19709638
rank 2: round 1675 ok checksum=20280438
rank 2: round 1700 ok checksum=20859363
rank 2: round 1725 ok checksum=21446413
rank 2: round 1750 ok checksum=22041588
rank 2: round 1775 ok checksum=22644888
rank 2: round 1800 ok checksum=23256313
rank 2: round 1825 ok checksum=23875863
rank 2: round 1850 ok checksum=24503538
rank 2: round 1875 ok checksum=25139338
rank 2: round 1900 ok checksum=25783263
rank 2: round 1925 ok checksum=26435313
rank 2: round 1950 ok checksum=27095488
rank 2: round 1975 ok checksum=27763788
rank 2: round 2000 ok checksum=28440213
rank 2: round 2025 ok checksum=29124763
rank 2: round 2050 ok checksum=29817438
rank 2: round 2075 ok checksum=30518238
rank 2: round 2100 ok checksum=31227163
rank 2: round 2125 ok checksum=31944213
rank 2: round 2150 ok checksum=32669388
rank 2: round 2175 ok checksum=33402688
rank 2: round 2200 ok checksum=34144113
rank 2: round 2225 ok checksum=34893663
rank 2: round 2250 ok checksum=35651338
rank 2: round 2275 ok checksum=36417138
rank 2: round 2300 ok checksum=37191063
rank 2: round 2325 ok checksum=37973113
rank 2: round 2350 ok checksum=38763288
rank 2: round 2375 ok checksum=39561588
rank 2: round 2400 ok checksum=40368013
rank 2: round 2425 ok checksum=41182563
rank 2: round 2450 ok checksum=42005238
rank 2: round 2475 ok checksum=42836038
rank 2: round 2500 ok checksum=43674963
rank 2: round 2525 ok checksum=44522013
rank 2: round 2550 ok checksum=45377188
rank 2: round 2575 ok checksum=46240488
rank 2: round 2600 ok checksum=47111913
rank 2: round 2625 ok checksum=47991463
rank 2: round 2650 ok checksum=48879138
rank 2: round 2675 ok checksum=49774938
rank 2: round 2700 ok checksum=50678863
rank 2: round 2725 ok checksum=51590913
rank 2: round 2750 ok checksum=52511088
rank 2: round 2775 ok checksum=53439388
rank 2: round 2800 ok checksum=54375813
rank 2: round 2825 ok checksum=55320363
rank 2: round 2850 ok checksum=56273038
rank 2: round 2875 ok checksum=57233838
rank 2: round 2900 ok checksum=58202763
rank 2: round 2925 ok checksum=59179813
rank 2: round 2950 ok checksum=60164988
rank 2: round 2975 ok checksum=61158288
rank 2: round 3000 ok checksum=62159713
rank 2: round 3025 ok checksum=63169263
rank 2: round 3050 ok checksum=64186938
rank 2: round 3075 ok checksum=65212738
rank 2: round 3100 ok checksum=66246663
rank 2: round 3125 ok checksum=67288713
rank 2: round 3150 ok checksum=68338888
rank 2: round 3175 ok checksum=69397188
rank 2: round 3200 ok checksum=70463613
rank 2: round 3225 ok checksum=71538163
rank 2: round 3250 ok checksum=72620838
rank 2: round 3275 ok checksum=73711638
