rank 1: start pid=486773 shape=baseline
rank 1: round 0 ok checksum=110
rank 1: round 25 ok checksum=7085
rank 1: round 50 ok checksum=22185
rank 1: round 75 ok checksum=45410
rank 1: round 100 ok checksum=76760
rank 1: round 125 ok checksum=116235
rank 1: round 150 ok checksum=163835
rank 1: round 175 ok checksum=219560
rank 1: round 200 ok checksum=283410
rank 1: round 225 ok checksum=355385
rank 1: round 250 ok checksum=435485
rank 1: round 275 ok checksum=523710
rank 1: round 300 ok checksum=620060
rank 1: round 325 ok checksum=724535
rank 1: round 350 ok checksum=837135
rank 1: round 375 ok checksum=957860
rank 1: round 400 ok checksum=1086710
rank 1: round 425 ok checksum=1223685
rank 1: round 450 ok checksum=1368785
rank 1: round 475 ok checksum=1522010
rank 1: round 500 ok checksum=1683360
rank 1: round 525 ok checksum=1852835
rank 1: round 550 ok checksum=2030435
rank 1: round 575 ok checksum=2216160
rank 1: round 600 ok checksum=2410010
rank 1: round 625 ok checksum=2611985
rank 1: round 650 ok checksum=2822085
rank 1: round 675 ok checksum=3040310
rank 1: round 700 ok checksum=3266660
rank 1: round 725 ok checksum=3501135
rank 1: round 750 ok checksum=3743735
rank 1: round 775 ok checksum=3994460
rank 1: round 800 ok checksum=4253310
rank 1: round 825 ok checksum=4520285
rank 1: round 850 ok checksum=4795385
rank 1: round 875 ok checksum=5078610
rank 1: round 900 ok checksum=5369960
rank 1: round 925 ok checksum=5669435
rank 1: round 950 ok checksum=5977035
rank 1: round 975 ok checksum=6292760
rank 1: round 1000 ok checksum=6616610
rank 1: round 1025 ok checksum=6948585
rank 1: round 1050 ok checksum=7288685
rank 1: round 1075 ok checksum=7636910
rank 1: round 1100 ok checksum=7993260
rank 1: round 1125 ok checksum=8357735
rank 1: round 1150 ok checksum=8730335
rank 1: round 1175 ok checksum=9111060
rank 1: round 1200 ok checksum=9499910
rank 1: round 1225 ok checksum=9896885
rank 1: round 1250 ok checksum=10301985
rank 1: round 1275 ok checksum=10715210
rank 1: round 1300 ok checksum=11136560
rank 1: round 1325 ok checksum=11566035
rank 1: round 1350 ok checksum=12003635
rank 1: round 1375 ok checksum=12449360
rank 1: round 1400 ok checksum=12903210
rank 1: round 1425 ok checksum=13365185
rank 1: round 1450 ok checksum=13835285
rank 1: round 1475 ok checksum=14313510
rank 1: round 1500 ok checksum=14799860
rank 1: round 1525 ok checksum=15294335
rank 1: round 1550 ok checksum=15796935
rank 1: round 1575 ok checksum=16307660
rank 1: round 1600 ok checksum=16826510
rank 1: round 1625 ok checksum=17353485
rank 1: round 1650 ok checksum=17888585
rank 1: round 1675 ok checksum=18431810
rank 1: round 1700 ok checksum=18983160
rank 1: round 1725 ok checksum=19542635
rank 1: round 1750 ok checksum=20110235
rank 1: round 1775 ok checksum=20685960
rank 1: round 1800 ok checksum=21269810
rank 1: round 1825 ok checksum=21861785
rank 1: round 1850 ok checksum=22461885
rank 1: round 1875 ok checksum=23070110
rank 1: round 1900 ok checksum=23686460
rank 1: round 1925 ok checksum=24310935
rank 1: round 1950 ok checksum=24943535
rank 1: round 1975 ok checksum=25584260
rank 1: round 2000 ok checksum=26233110
rank 1: round 2025 ok checksum=26890085
rank 1: round 2050 ok checksum=27555185
rank 1: round 2075 ok checksum=28228410
rank 1: round 2100 ok checksum=28909760
rank 1: round 2125 ok checksum=29599235
rank 1: round 2150 ok checksum=30296835
rank 1: round 2175 ok checksum=31002560
rank 1: round 2200 ok checksum=31716410
rank 1: round 2225 ok checksum=32438385
rank 1: round 2250 ok checksum=33168485
rank 1: round 2275 ok checksum=33906710
rank 1: round 2300 ok checksum=34653060
rank 1: round 2325 ok checksum=35407535
rank 1: round 2350 ok checksum=36170135
rank 1: round 2375 ok checksum=36940860
rank 1: round 2400 ok checksum=37719710
rank 1: round 2425 ok checksum=38506685
rank 1: round 2450 ok checksum=39301785
rank 1: round 2475 ok checksum=40105010
rank 1: round 2500 ok checksum=40916360
rank 1: round 2525 ok checksum=41735835
rank 1: round 2550 ok checksum=42563435
rank 1: round 2575 ok checksum=43399160
rank 1: round 2600 ok checksum=44243010
rank 1: round 2625 ok checksum=45094985
rank 1: round 2650 ok checksum=45955085
rank 1: round 2675 ok checksum=46823310
rank 1: round 2700 ok checksum=47699660
rank 1: round 2725 ok checksum=48584135
rank 1: round 2750 ok checksum=49476735
rank 1: round 2775 ok checksum=50377460
rank 1: round 2800 ok checksum=51286310
rank 1: round 2825 ok checksum=52203285
rank 1: round 2850 ok checksum=53128385
rank 1: round 2875 ok checksum=54061610
