rank 3: start pid=486775 shape=baseline
rank 3: round 0 ok checksum=2317
rank 3: round 25 ok checksum=64467
rank 3: round 50 ok checksum=134742
rank 3: round 75 ok checksum=213142
rank 3: round 100 ok checksum=299667
rank 3: round 125 ok checksum=394317
rank 3: round 150 ok checksum=497092
rank 3: round 175 ok checksum=607992
rank 3: round 200 ok checksum=727017
rank 3: round 225 ok checksum=854167
rank 3: round 250 ok checksum=989442
rank 3: round 275 ok checksum=1132842
rank 3: round 300 ok checksum=1284367
rank 3: round 325 ok checksum=1444017
rank 3: round 350 ok checksum=1611792
rank 3: round 375 ok checksum=1787692
rank 3: round 400 ok checksum=1971717
rank 3: round 425 ok checksum=2163867
rank 3: round 450 ok checksum=2364142
rank 3: round 475 ok checksum=2572542
rank 3: round 500 ok checksum=2789067
rank 3: round 525 ok checksum=3013717
rank 3: round 550 ok checksum=3246492
rank 3: round 575 ok checksum=3487392
rank 3: round 600 ok checksum=3736417
rank 3: round 625 ok checksum=3993567
rank 3: round 650 ok checksum=4258842
rank 3: round 675 ok checksum=4532242
rank 3: round 700 ok checksum=4813767
rank 3: round 725 ok checksum=5103417
rank 3: round 750 ok checksum=5401192
rank 3: round 775 ok checksum=5707092
rank 3: round 800 ok checksum=6021117
rank 3: round 825 ok checksum=6343267
rank 3: round 850 ok checksum=6673542
rank 3: round 875 ok checksum=7011942
rank 3: round 900 ok checksum=7358467
rank 3: round 925 ok checksum=7713117
rank 3: round 950 ok checksum=8075892
rank 3: round 975 ok checksum=8446792
rank 3: round 1000 ok checksum=8825817
rank 3: round 1025 ok checksum=9212967
rank 3: round 1050 ok checksum=9608242
rank 3: round 1075 ok checksum=10011642
rank 3: round 1100 ok checksum=10423167
rank 3: round 1125 ok checksum=10842817
rank 3: round 1150 ok checksum=11270592
rank 3: round 1175 ok checksum=11706492
rank 3: round 1200 ok checksum=12150517
rank 3: round 1225 ok checksum=12602667
rank 3: round 1250 ok checksum=13062942
rank 3: round 1275 ok checksum=13531342
rank 3: round 1300 ok checksum=14007867
rank 3: round 1325 ok checksum=14492517
rank 3: round 1350 ok checksum=14985292
rank 3: round 1375 ok checksum=15486192
rank 3: round 1400 ok checksum=15995217
rank 3: round 1425 ok checksum=16512367
rank 3: round 1450 ok checksum=17037642
rank 3: round 1475 ok checksum=17571042
rank 3: round 1500 ok checksum=18112567
rank 3: round 1525 ok checksum=18662217
rank 3: round 1550 ok checksum=19219992
rank 3: round 1575 ok checksum=19785892
rank 3: round 1600 ok checksum=20359917
rank 3: round 1625 ok checksum=20942067
rank 3: round 1650 ok checksum=21532342
rank 3: round 1675 ok checksum=22130742
rank 3: round 1700 ok checksum=22737267
rank 3: round 1725 ok checksum=23351917
rank 3: round 1750 ok checksum=23974692
rank 3: round 1775 ok checksum=24605592
rank 3: round 1800 ok checksum=25244617
rank 3: round 1825 ok checksum=25891767
rank 3: round 1850 ok checksum=26547042
rank 3: round 1875 ok checksum=27210442
rank 3: round 1900 ok checksum=27881967
rank 3: round 1925 ok checksum=28561617
rank 3: round 1950 ok checksum=29249392
rank 3: round 1975 ok checksum=29945292
rank 3: round 2000 ok checksum=30649317
rank 3: round 2025 ok checksum=31361467
rank 3: round 2050 ok checksum=32081742
rank 3: round 2075 ok checksum=32810142
rank 3: round 2100 ok checksum=33546667
rank 3: round 2125 ok checksum=34291317
rank 3: round 2150 ok checksum=35044092
rank 3: round 2175 ok checksum=35804992
rank 3: round 2200 ok checksum=36574017
rank 3: round 2225 ok checksum=37351167
rank 3: round 2250 ok checksum=38136442
rank 3: round 2275 ok checksum=38929842
rank 3: round 2300 ok checksum=39731367
rank 3: round 2325 ok checksum=40541017
rank 3: round 2350 ok checksum=41358792
rank 3: round 2375 ok checksum=42184692
rank 3: round 2400 ok checksum=43018717
rank 3: round 2425 ok checksum=43860867
rank 3: round 2450 ok checksum=44711142
rank 3: round 2475 ok checksum=45569542
rank 3: round 2500 ok checksum=46436067
rank 3: round 2525 ok checksum=47310717
rank 3: round 2550 ok checksum=48193492
rank 3: round 2575 ok checksum=49084392
rank 3: round 2600 ok checksum=49983417
rank 3: round 2625 ok checksum=50890567
rank 3: round 2650 ok checksum=51805842
rank 3: round 2675 ok checksum=52729242
rank 3: round 2700 ok checksum=53660767
rank 3: round 2725 ok checksum=54600417
rank 3: round 2750 ok checksum=55548192
rank 3: round 2775 ok checksum=56504092
rank 3: round 2800 ok checksum=57468117
rank 3: round 2825 ok checksum=58440267
rank 3: round 2850 ok checksum=59420542
rank 3: round 2875 ok checksum=60408942
rank 3: round 2900 ok checksum=61405467
rank 3: round 2925 ok checksum=62410117
rank 3: round 2950 ok checksum=63422892
rank 3: round 2975 ok checksum=64443792
rank 3: round 3000 ok checksum=65472817
rank 3: round 3025 ok checksum=66509967
rank 3: round 3050 ok checksum=67555242
rank 3: round 3075 ok checksum=68608642
rank 3: round 3100 ok checksum=69670167
rank 3: round 3125 ok checksum=70739817
rank 3: round 3150 ok checksum=71817592
rank 3: round 3175 ok checksum=72903492
rank 3: round 3200 ok checksum=73997517
rank 3: round 3225 ok checksum=75099667
rank 3: round 3250 ok checksum=76209942
rank 3: round 3275 ok checksum=77328342
rank 3: round 3300 ok checksum=78454867
rank 3: round 3325 ok checksum=79589517
