rank 1: start pid=529029 shape=p2p_ring
rank 1: round 0 ok checksum=0
rank 1: round 25 ok checksum=4550
rank 1: round 50 ok checksum=17850
rank 1: round 75 ok checksum=39900
rank 1: round 100 ok checksum=70700
rank 1: round 125 ok checksum=110250
rank 1: round 150 ok checksum=158550
rank 1: round 175 ok checksum=215600
rank 1: round 200 ok checksum=281400
rank 1: round 225 ok checksum=355950
rank 1: round 250 ok checksum=439250
rank 1: round 275 ok checksum=531300
rank 1: round 300 ok checksum=632100
rank 1: round 325 ok checksum=741650
rank 1: round 350 ok checksum=859950
rank 1: round 375 ok checksum=987000
rank 1: round 400 ok checksum=1122800
rank 1: round 425 ok checksum=1267350
rank 1: round 450 ok checksum=1420650
rank 1: round 475 ok checksum=1582700
rank 1: round 500 ok checksum=1753500
rank 1: round 525 ok checksum=1933050
rank 1: round 550 ok checksum=2121350
rank 1: round 575 ok checksum=2318400
rank 1: round 600 ok checksum=2524200
rank 1: round 625 ok checksum=2738750
rank 1: round 650 ok checksum=2962050
rank 1: round 675 ok checksum=3194100
rank 1: round 700 ok checksum=3434900
rank 1: round 725 ok checksum=3684450
rank 1: round 750 ok checksum=3942750
rank 1: round 775 ok checksum=4209800
rank 1: round 800 ok checksum=4485600
rank 1: round 825 ok checksum=4770150
rank 1: round 850 ok checksum=5063450
rank 1: round 875 ok checksum=5365500
rank 1: round 900 ok checksum=5676300
rank 1: round 925 ok checksum=5995850
rank 1: round 950 ok checksum=6324150
rank 1: round 975 ok checksum=6661200
rank 1: round 1000 ok checksum=7007000
rank 1: round 1025 ok checksum=7361550
rank 1: round 1050 ok checksum=7724850
rank 1: round 1075 ok checksum=8096900
rank 1: round 1100 ok checksum=8477700
rank 1: round 1125 ok checksum=8867250
rank 1: round 1150 ok checksum=9265550
rank 1: round 1175 ok checksum=9672600
rank 1: round 1200 ok checksum=10088400
rank 1: round 1225 ok checksum=10512950
rank 1: round 1250 ok checksum=10946250
rank 1: round 1275 ok checksum=11388300
rank 1: round 1300 ok checksum=11839100
rank 1: round 1325 ok checksum=12298650
rank 1: round 1350 ok checksum=12766950
rank 1: round 1375 ok checksum=13244000
rank 1: round 1400 ok checksum=13729800
rank 1: round 1425 ok checksum=14224350
rank 1: round 1450 ok checksum=14727650
rank 1: round 1475 ok checksum=15239700
rank 1: round 1500 ok checksum=15760500
rank 1: round 1525 ok checksum=16290050
rank 1: round 1550 ok checksum=16828350
rank 1: round 1575 ok checksum=17375400
rank 1: round 1600 ok checksum=17931200
rank 1: round 1625 ok checksum=18495750
rank 1: round 1650 ok checksum=19069050
rank 1: round 1675 ok checksum=19651100
rank 1: round 1700 ok checksum=20241900
rank 1: round 1725 ok checksum=20841450
rank 1: round 1750 ok checksum=21449750
rank 1: round 1775 ok checksum=22066800
rank 1: round 1800 ok checksum=22692600
rank 1: round 1825 ok checksum=23327150
rank 1: round 1850 ok checksum=23970450
rank 1: round 1875 ok checksum=24622500
rank 1: round 1900 ok checksum=25283300
rank 1: round 1925 ok checksum=25952850
rank 1: round 1950 ok checksum=26631150
rank 1: round 1975 ok checksum=27318200
rank 1: round 2000 ok checksum=28014000
rank 1: round 2025 ok checksum=28718550
rank 1: round 2050 ok checksum=29431850
rank 1: round 2075 ok checksum=30153900
rank 1: round 2100 ok checksum=30884700
rank 1: round 2125 ok checksum=31624250
rank 1: round 2150 ok checksum=32372550
rank 1: round 2175 ok checksum=33129600
rank 1: round 2200 ok checksum=33895400
rank 1: round 2225 ok checksum=34669950
rank 1: round 2250 ok checksum=35453250
rank 1: round 2275 ok checksum=36245300
rank 1: round 2300 ok checksum=37046100
rank 1: round 2325 ok checksum=37855650
rank 1: round 2350 ok checksum=38673950
rank 1: round 2375 ok checksum=39501000
rank 1: round 2400 ok checksum=40336800
rank 1: round 2425 ok checksum=41181350
rank 1: round 2450 ok checksum=42034650
rank 1: round 2475 ok checksum=42896700
rank 1: round 2500 ok checksum=43767500
rank 1: round 2525 ok checksum=44647050
rank 1: round 2550 ok checksum=45535350
rank 1: round 2575 ok checksum=46432400
rank 1: round 2600 ok checksum=47338200
rank 1: round 2625 ok checksum=48252750
rank 1: round 2650 ok checksum=49176050
rank 1: round 2675 ok checksum=50108100
rank 1: round 2700 ok checksum=51048900
rank 1: round 2725 ok checksum=51998450
rank 1: round 2750 ok checksum=52956750
rank 1: round 2775 ok checksum=53923800
rank 1: round 2800 ok checksum=54899600
rank 1: round 2825 ok checksum=55884150
rank 1: round 2850 ok checksum=56877450
rank 1: round 2875 ok checksum=57879500
rank 1: round 2900 ok checksum=58890300
rank 1: round 2925 ok checksum=59909850
rank 1: round 2950 ok checksum=60938150
rank 1: round 2975 ok checksum=61975200
rank 1: round 3000 ok checksum=63021000
rank 1: round 3025 ok checksum=64075550
rank 1: round 3050 ok checksum=65138850
rank 1: round 3075 ok checksum=66210900
rank 1: round 3100 ok checksum=67291700
rank 1: round 3125 ok checksum=68381250
rank 1: round 3150 ok checksum=69479550
rank 1: round 3175 ok checksum=70586600
rank 1: round 3200 ok checksum=71702400
rank 1: round 3225 ok checksum=72826950
rank 1: round 3250 ok checksum=73960250
rank 1: round 3275 ok checksum=75102300
rank 1: round 3300 ok checksum=76253100
rank 1: round 3325 ok checksum=77412650
rank 1: round 3350 ok checksum=78580950
rank 1: round 3375 ok checksum=79758000
rank 1: round 3400 ok checksum=80943800
rank 1: round 3425 ok checksum=82138350
rank 1: round 3450 ok checksum=83341650
rank 1: round 3475 ok checksum=84553700
rank 1: round 3500 ok checksum=85774500
rank 1: round 3525 ok checksum=87004050
rank 1: round 3550 ok checksum=88242350
rank 1: round 3575 ok checksum=89489400
rank 1: round 3600 ok checksum=90745200
rank 1: round 3625 ok checksum=92009750
rank 1: round 3650 ok checksum=93283050
rank 1: round 3675 ok checksum=94565100
rank 1: round 3700 ok checksum=95855900
rank 1: round 3725 ok checksum=97155450
rank 1: round 3750 ok checksum=98463750
rank 1: round 3775 ok checksum=99780800
rank 1: round 3800 ok checksum=101106600
rank 1: round 3825 ok checksum=102441150
rank 1: round 3850 ok checksum=103784450
rank 1: round 3875 ok checksum=105136500
rank 1: round 3900 ok checksum=106497300
rank 1: round 3925 ok checksum=107866850
rank 1: round 3950 ok checksum=109245150
rank 1: round 3975 ok checksum=110632200
rank 1: round 4000 ok checksum=112028000
rank 1: round 4025 ok checksum=113432550
rank 1: round 4050 ok checksum=114845850
rank 1: round 4075 ok checksum=116267900
rank 1: round 4100 ok checksum=117698700
rank 1: round 4125 ok checksum=119138250
rank 1: round 4150 ok checksum=120586550
rank 1: round 4175 ok checksum=122043600
rank 1: round 4200 ok checksum=123509400
rank 1: round 4225 ok checksum=124983950
rank 1: round 4250 ok checksum=126467250
rank 1: round 4275 ok checksum=127959300
rank 1: round 4300 ok checksum=129460100
rank 1: round 4325 ok checksum=130969650
rank 1: round 4350 ok checksum=132487950
rank 1: round 4375 ok checksum=134015000
rank 1: round 4400 ok checksum=135550800
rank 1: round 4425 ok checksum=137095350
rank 1: round 4450 ok checksum=138648650
rank 1: round 4475 ok checksum=140210700
rank 1: round 4500 ok checksum=141781500
rank 1: round 4525 ok checksum=143361050
rank 1: round 4550 ok checksum=144949350
rank 1: round 4575 ok checksum=146546400
rank 1: round 4600 ok checksum=148152200
rank 1: round 4625 ok checksum=149766750
rank 1: round 4650 ok checksum=151390050
rank 1: round 4675 ok checksum=153022100
rank 1: round 4700 ok checksum=154662900
rank 1: round 4725 ok checksum=156312450
rank 1: round 4750 ok checksum=157970750
rank 1: round 4775 ok checksum=159637800
rank 1: round 4800 ok checksum=161313600
rank 1: round 4825 ok checksum=162998150
rank 1: round 4850 ok checksum=164691450
rank 1: round 4875 ok checksum=166393500
rank 1: round 4900 ok checksum=168104300
rank 1: round 4925 ok checksum=169823850
rank 1: round 4950 ok checksum=171552150
rank 1: round 4975 ok checksum=173289200
rank 1: round 5000 ok checksum=175035000
rank 1: round 5025 ok checksum=176789550
rank 1: round 5050 ok checksum=178552850
rank 1: round 5075 ok checksum=180324900
rank 1: round 5100 ok checksum=182105700
rank 1: round 5125 ok checksum=183895250
rank 1: round 5150 ok checksum=185693550
rank 1: round 5175 ok checksum=187500600
rank 1: round 5200 ok checksum=189316400
rank 1: round 5225 ok checksum=191140950
rank 1: round 5250 ok checksum=192974250
rank 1: round 5275 ok checksum=194816300
rank 1: round 5300 ok checksum=196667100
rank 1: round 5325 ok checksum=198526650
rank 1: round 5350 ok checksum=200394950
rank 1: round 5375 ok checksum=202272000
rank 1: round 5400 ok checksum=204157800
rank 1: round 5425 ok checksum=206052350
rank 1: round 5450 ok checksum=207955650
rank 1: round 5475 ok checksum=209867700
rank 1: round 5500 ok checksum=211788500
rank 1: round 5525 ok checksum=213718050
rank 1: round 5550 ok checksum=215656350
rank 1: round 5575 ok checksum=217603400
rank 1: round 5600 ok checksum=219559200
rank 1: round 5625 ok checksum=221523750
rank 1: round 5650 ok checksum=223497050
rank 1: round 5675 ok checksum=225479100
rank 1: round 5700 ok checksum=227469900
rank 1: round 5725 ok checksum=229469450
rank 1: round 5750 ok checksum=231477750
rank 1: round 5775 ok checksum=233494800
rank 1: round 5800 ok checksum=235520600
rank 1: round 5825 ok checksum=237555150
rank 1: round 5850 ok checksum=239598450
rank 1: round 5875 ok checksum=241650500
rank 1: round 5900 ok checksum=243711300
rank 1: round 5925 ok checksum=245780850
rank 1: round 5950 ok checksum=247859150
rank 1: round 5975 ok checksum=249946200
rank 1: round 6000 ok checksum=252042000
rank 1: round 6025 ok checksum=254146550
rank 1: round 6050 ok checksum=256259850
rank 1: round 6075 ok checksum=258381900
rank 1: round 6100 ok checksum=260512700
rank 1: round 6125 ok checksum=262652250
rank 1: round 6150 ok checksum=264800550
rank 1: round 6175 ok checksum=266957600
rank 1: round 6200 ok checksum=269123400
rank 1: round 6225 ok checksum=271297950
rank 1: round 6250 ok checksum=273481250
rank 1: round 6275 ok checksum=275673300
rank 1: round 6300 ok checksum=277874100
rank 1: round 6325 ok checksum=280083650
rank 1: round 6350 ok checksum=282301950
rank 1: round 6375 ok checksum=284529000
rank 1: round 6400 ok checksum=286764800
rank 1: round 6425 ok checksum=289009350
rank 1: round 6450 ok checksum=291262650
rank 1: round 6475 ok checksum=293524700
rank 1: round 6500 ok checksum=295795500
rank 1: round 6525 ok checksum=298075050
rank 1: round 6550 ok checksum=300363350
rank 1: round 6575 ok checksum=302660400
rank 1: round 6600 ok checksum=304966200
rank 1: round 6625 ok checksum=307280750
rank 1: round 6650 ok checksum=309604050
rank 1: round 6675 ok checksum=311936100
rank 1: round 6700 ok checksum=314276900
rank 1: round 6725 ok checksum=316626450
rank 1: round 6750 ok checksum=318984750
rank 1: round 6775 ok checksum=321351800
rank 1: round 6800 ok checksum=323727600
rank 1: round 6825 ok checksum=326112150
rank 1: round 6850 ok checksum=328505450
rank 1: round 6875 ok checksum=330907500
rank 1: round 6900 ok checksum=333318300
rank 1: round 6925 ok checksum=335737850
rank 1: round 6950 ok checksum=338166150
rank 1: round 6975 ok checksum=340603200
rank 1: round 7000 ok checksum=343049000
rank 1: round 7025 ok checksum=345503550
rank 1: round 7050 ok checksum=347966850
rank 1: round 7075 ok checksum=350438900
rank 1: round 7100 ok checksum=352919700
rank 1: round 7125 ok checksum=355409250
rank 1: round 7150 ok checksum=357907550
rank 1: round 7175 ok checksum=360414600
rank 1: round 7200 ok checksum=362930400
rank 1: round 7225 ok checksum=365454950
rank 1: round 7250 ok checksum=367988250
rank 1: round 7275 ok checksum=370530300
rank 1: round 7300 ok checksum=373081100
rank 1: round 7325 ok checksum=375640650
rank 1: round 7350 ok checksum=378208950
rank 1: round 7375 ok checksum=380786000
rank 1: round 7400 ok checksum=383371800
rank 1: round 7425 ok checksum=385966350
rank 1: round 7450 ok checksum=388569650
rank 1: round 7475 ok checksum=391181700
rank 1: round 7500 ok checksum=393802500
rank 1: round 7525 ok checksum=396432050
rank 1: round 7550 ok checksum=399070350
rank 1: round 7575 ok checksum=401717400
rank 1: round 7600 ok checksum=404373200
rank 1: round 7625 ok checksum=407037750
rank 1: round 7650 ok checksum=409711050
rank 1: round 7675 ok checksum=412393100
rank 1: round 7700 ok checksum=415083900
rank 1: round 7725 ok checksum=417783450
rank 1: round 7750 ok checksum=420491750
rank 1: round 7775 ok checksum=423208800
rank 1: round 7800 ok checksum=425934600
rank 1: round 7825 ok checksum=428669150
rank 1: round 7850 ok checksum=431412450
rank 1: round 7875 ok checksum=434164500
rank 1: round 7900 ok checksum=436925300
rank 1: round 7925 ok checksum=439694850
rank 1: round 7950 ok checksum=442473150
rank 1: round 7975 ok checksum=445260200
rank 1: round 8000 ok checksum=448056000
rank 1: round 8025 ok checksum=450860550
rank 1: round 8050 ok checksum=453673850
rank 1: round 8075 ok checksum=456495900
rank 1: round 8100 ok checksum=459326700
rank 1: round 8125 ok checksum=462166250
rank 1: round 8150 ok checksum=465014550
rank 1: round 8175 ok checksum=467871600
rank 1: round 8200 ok checksum=470737400
rank 1: round 8225 ok checksum=473611950
rank 1: round 8250 ok checksum=476495250
rank 1: round 8275 ok checksum=479387300
rank 1: round 8300 ok checksum=482288100
rank 1: round 8325 ok checksum=485197650
rank 1: round 8350 ok checksum=488115950
rank 1: round 8375 ok checksum=491043000
rank 1: round 8400 ok checksum=493978800
rank 1: round 8425 ok checksum=496923350
rank 1: round 8450 ok checksum=499876650
rank 1: round 8475 ok checksum=502838700
rank 1: round 8500 ok checksum=505809500
rank 1: round 8525 ok checksum=508789050
rank 1: round 8550 ok checksum=511777350
rank 1: round 8575 ok checksum=514774400
rank 1: round 8600 ok checksum=517780200
rank 1: round 8625 ok checksum=520794750
rank 1: round 8650 ok checksum=523818050
rank 1: round 8675 ok checksum=526850100
rank 1: round 8700 ok checksum=529890900
rank 1: round 8725 ok checksum=532940450
rank 1: round 8750 ok checksum=535998750
rank 1: round 8775 ok checksum=539065800
rank 1: round 8800 ok checksum=542141600
rank 1: round 8825 ok checksum=545226150
rank 1: round 8850 ok checksum=548319450
rank 1: round 8875 ok checksum=551421500
rank 1: round 8900 ok checksum=554532300
rank 1: round 8925 ok checksum=557651850
rank 1: round 8950 ok checksum=560780150
rank 1: round 8975 ok checksum=563917200
rank 1: round 9000 ok checksum=567063000
rank 1: round 9025 ok checksum=570217550
rank 1: round 9050 ok checksum=573380850
rank 1: round 9075 ok checksum=576552900
rank 1: round 9100 ok checksum=579733700
rank 1: round 9125 ok checksum=582923250
rank 1: round 9150 ok checksum=586121550
rank 1: round 9175 ok checksum=589328600
rank 1: round 9200 ok checksum=592544400
rank 1: round 9225 ok checksum=595768950
rank 1: round 9250 ok checksum=599002250
rank 1: round 9275 ok checksum=602244300
rank 1: round 9300 ok checksum=605495100
rank 1: round 9325 ok checksum=608754650
rank 1: round 9350 ok checksum=612022950
rank 1: round 9375 ok checksum=615300000
rank 1: round 9400 ok checksum=618585800
rank 1: round 9425 ok checksum=621880350
rank 1: round 9450 ok checksum=625183650
rank 1: round 9475 ok checksum=628495700
rank 1: round 9500 ok checksum=631816500
rank 1: round 9525 ok checksum=635146050
rank 1: round 9550 ok checksum=638484350
rank 1: round 9575 ok checksum=641831400
rank 1: round 9600 ok checksum=645187200
rank 1: round 9625 ok checksum=648551750
rank 1: round 9650 ok checksum=651925050
rank 1: round 9675 ok checksum=655307100
rank 1: round 9700 ok checksum=658697900
rank 1: round 9725 ok checksum=662097450
rank 1: round 9750 ok checksum=665505750
rank 1: round 9775 ok checksum=668922800
rank 1: round 9800 ok checksum=672348600
rank 1: round 9825 ok checksum=675783150
rank 1: round 9850 ok checksum=679226450
rank 1: round 9875 ok checksum=682678500
rank 1: round 9900 ok checksum=686139300
rank 1: round 9925 ok checksum=689608850
rank 1: round 9950 ok checksum=693087150
rank 1: round 9975 ok checksum=696574200
rank 1: round 10000 ok checksum=700070000
rank 1: round 10025 ok checksum=703574550
