rank 0: start pid=494085 shape=deep_rounds
rank 0: round 0 ok checksum=14899612426453406464
rank 0: round 25 ok checksum=4702738415612489216
rank 0: round 50 ok checksum=2919225127083084032
rank 0: round 75 ok checksum=18445321409561142272
rank 0: round 100 ok checksum=14572435849456434944
rank 0: round 125 ok checksum=2386216319580559872
rank 0: round 150 ok checksum=17837651152855037184
rank 0: round 175 ok checksum=14767994070031208448
rank 0: round 200 ok checksum=1317220169766480640
rank 0: round 225 ok checksum=9275957341019391488
rank 0: round 250 ok checksum=2449671521593417984
rank 0: round 275 ok checksum=14571324963754966016
rank 0: round 300 ok checksum=14088731498340259584
rank 0: round 325 ok checksum=7723756842791186944
rank 0: round 350 ok checksum=9256796460501683456
rank 0: round 375 ok checksum=16498797542723676160
rank 0: round 400 ok checksum=10285883168314753792
rank 0: round 425 ok checksum=7778380770319277568
rank 0: round 450 ok checksum=17878616301279131904
rank 0: round 475 ok checksum=4836252521104036864
rank 0: round 500 ok checksum=3003437978750447360
rank 0: round 525 ok checksum=5254531196503230976
rank 0: round 550 ok checksum=12537954612261725440
rank 0: round 575 ok checksum=17799068421954650112
rank 0: round 600 ok checksum=5340565926183623424
rank 0: round 625 ok checksum=1761540098095379968
rank 0: round 650 ok checksum=4641910360621256960
rank 0: round 675 ok checksum=11648113854824000512
rank 0: round 700 ok checksum=16321166664957642496
rank 0: round 725 ok checksum=2828897129232163328
rank 0: round 750 ok checksum=8857641512693759232
rank 0: round 775 ok checksum=12224043065569155072
rank 0: round 800 ok checksum=5530149922837607168
rank 0: round 825 ok checksum=14442452868379037184
rank 0: round 850 ok checksum=18089688797851805952
rank 0: round 875 ok checksum=6775396820096910336
rank 0: round 900 ok checksum=6372844315255250688
rank 0: round 925 ok checksum=9450404710041926144
rank 0: round 950 ok checksum=11429885762555237632
rank 0: round 975 ok checksum=18038913822226149376
rank 0: round 1000 ok checksum=998943972771269376
rank 0: round 1025 ok checksum=1479113825847780864
rank 0: round 1050 ok checksum=8006064787389333760
rank 0: round 1075 ok checksum=1089380052233673728
rank 0: round 1100 ok checksum=9464851922244663040
rank 0: round 1125 ok checksum=16377060366660866560
rank 0: round 1150 ok checksum=5897822066252393728
rank 0: round 1175 ok checksum=17432183580037302272
rank 0: round 1200 ok checksum=886087805325107968
rank 0: round 1225 ok checksum=2839605850237009408
rank 0: round 1250 ok checksum=15031261646731581696
rank 0: round 1275 ok checksum=15497341423285548032
rank 0: round 1300 ok checksum=13287061281706725120
rank 0: round 1325 ok checksum=18354930564813548032
rank 0: round 1350 ok checksum=5805601291391993088
rank 0: round 1375 ok checksum=17453470229678923776
rank 0: round 1400 ok checksum=8703722043043887872
rank 0: round 1425 ok checksum=7992193774438077952
rank 0: round 1450 ok checksum=12323308366186967296
rank 0: round 1475 ok checksum=1676016744599817216
rank 0: round 1500 ok checksum=12325830229840013056
rank 0: round 1525 ok checksum=6216840220695118336
rank 0: round 1550 ok checksum=11975401011964599552
rank 0: round 1575 ok checksum=15904376665996195840
rank 0: round 1600 ok checksum=3262668069541450496
rank 0: round 1625 ok checksum=17057855480949452288
rank 0: round 1650 ok checksum=11787905593114970368
rank 0: round 1675 ok checksum=7134442893402661888
rank 0: round 1700 ok checksum=5424206169479282432
rank 0: round 1725 ok checksum=288397469398440448
rank 0: round 1750 ok checksum=16568005276381852928
rank 0: round 1775 ok checksum=10832719216483749888
rank 0: round 1800 ok checksum=15283375828611623680
rank 0: round 1825 ok checksum=3917415314608489984
rank 0: round 1850 ok checksum=11301241388546269440
rank 0: round 1875 ok checksum=1275708216645008384
rank 0: round 1900 ok checksum=15938626566967547648
rank 0: round 1925 ok checksum=9996792791756599808
rank 0: round 1950 ok checksum=11511897203821153536
rank 0: round 1975 ok checksum=14132815469839165440
rank 0: round 2000 ok checksum=2030966623759287040
rank 0: round 2025 ok checksum=10693331313326480896
rank 0: round 2050 ok checksum=5636799662704228608
rank 0: round 2075 ok checksum=10810662808635905024
rank 0: round 2100 ok checksum=2466021725513264896
rank 0: round 2125 ok checksum=16435048324304685568
rank 0: round 2150 ok checksum=12881119019320173824
rank 0: round 2175 ok checksum=52155765376516096
rank 0: round 2200 ok checksum=14035872609418189568
rank 0: round 2225 ok checksum=5245473959295301120
rank 0: round 2250 ok checksum=14405744099171750144
rank 0: round 2275 ok checksum=6238543427011472384
rank 0: round 2300 ok checksum=1872067975549683456
rank 0: round 2325 ok checksum=7300096208163840512
rank 0: round 2350 ok checksum=9980698176860208384
rank 0: round 2375 ok checksum=2069232876529539072
rank 0: round 2400 ok checksum=7227203703334925056
rank 0: round 2425 ok checksum=14161565630256680448
rank 0: round 2450 ok checksum=15196982892171929856
rank 0: round 2475 ok checksum=16142142646074655744
rank 0: round 2500 ok checksum=12838438588008816384
rank 0: round 2525 ok checksum=3566314803125352960
rank 0: round 2550 ok checksum=14250839756726146304
rank 0: round 2575 ok checksum=16920449782411112448
rank 0: round 2600 ok checksum=13204375028836289280
rank 0: round 2625 ok checksum=10705255926585976320
rank 0: round 2650 ok checksum=6455913054552031488
rank 0: round 2675 ok checksum=1525060107984935936
rank 0: round 2700 ok checksum=6172852348484302592
rank 0: round 2725 ok checksum=7077118992275067392
rank 0: round 2750 ok checksum=2699057960599284992
rank 0: round 2775 ok checksum=9942986605248382976
rank 0: round 2800 ok checksum=604974243389383424
rank 0: round 2825 ok checksum=2806343441481874944
rank 0: round 2850 ok checksum=12312216629376866560
rank 0: round 2875 ok checksum=4271327205522961408
rank 0: round 2900 ok checksum=3871920967433359104
rank 0: round 2925 ok checksum=8387877038181231104
rank 0: round 2950 ok checksum=14257779302429803776
rank 0: round 2975 ok checksum=15458043817602899968
rank 0: DONE rounds=3000 checksum=17498746865308706816
