rank 3: start pid=494088 shape=deep_rounds
rank 3: round 0 ok checksum=1903716113779516160
rank 3: round 25 ok checksum=10786130319055982080
rank 3: round 50 ok checksum=14480594215614298368
rank 3: round 75 ok checksum=541831474146141184
rank 3: round 100 ok checksum=7981128200529678080
rank 3: round 125 ok checksum=732406156856113664
rank 3: round 150 ok checksum=16639513985728439552
rank 3: round 175 ok checksum=15503984134408900608
rank 3: round 200 ok checksum=11877379819093441280
rank 3: round 225 ok checksum=8371200094437402112
rank 3: round 250 ok checksum=1573818115548352768
rank 3: round 275 ok checksum=622534352890018816
rank 3: round 300 ok checksum=16925570594250811136
rank 3: round 325 ok checksum=1975574641640018432
rank 3: round 350 ok checksum=5344110790327549184
rank 3: round 375 ok checksum=13289871934022838272
rank 3: round 400 ok checksum=16771249489052078848
rank 3: round 425 ok checksum=9103669939753565696
rank 3: round 450 ok checksum=883732355211520256
rank 3: round 475 ok checksum=10674972711481906176
rank 3: round 500 ok checksum=8396824927173295872
rank 3: round 525 ok checksum=5780609406173080064
rank 3: round 550 ok checksum=17277316989376763136
rank 3: round 575 ok checksum=15144215858026299392
rank 3: round 600 ok checksum=15117015213885876992
rank 3: round 625 ok checksum=15214086200192865792
rank 3: round 650 ok checksum=1221054599423082752
rank 3: round 675 ok checksum=1723996631386254336
rank 3: round 700 ok checksum=3612111096128771840
rank 3: round 725 ok checksum=139342948859625984
rank 3: round 750 ok checksum=912575625086168320
rank 3: round 775 ok checksum=17641450171241863168
rank 3: round 800 ok checksum=2591381088669090560
rank 3: round 825 ok checksum=11829243978172886528
rank 3: round 850 ok checksum=16800982681722132736
rank 3: round 875 ok checksum=5265492482705114112
rank 3: round 900 ok checksum=16484955945830575872
rank 3: round 925 ok checksum=13826225009699133952
rank 3: round 950 ok checksum=14436677008937338112
rank 3: round 975 ok checksum=10214256764728209408
rank 3: round 1000 ok checksum=7501412052082793216
rank 3: round 1025 ok checksum=16098258737360127488
rank 3: round 1050 ok checksum=1666724955915219200
rank 3: round 1075 ok checksum=9317882848390290432
rank 3: round 1100 ok checksum=8136775271499122432
rank 3: round 1125 ok checksum=14489238276709184000
rank 3: round 1150 ok checksum=9344027502602067200
rank 3: round 1175 ok checksum=15824012109821429760
rank 3: round 1200 ok checksum=333356913409127168
rank 3: round 1225 ok checksum=16924120389421833728
rank 3: round 1250 ok checksum=18441516252404664576
rank 3: round 1275 ok checksum=12365683312547820544
rank 3: round 1300 ok checksum=3335955382812319488
rank 3: round 1325 ok checksum=12893850396950252032
rank 3: round 1350 ok checksum=5812396056606209280
rank 3: round 1375 ok checksum=13548011168425320448
rank 3: round 1400 ok checksum=7481398883711273728
rank 3: round 1425 ok checksum=15397855812364826112
rank 3: round 1450 ok checksum=15426709149936623872
rank 3: round 1475 ok checksum=8656565420977081344
rank 3: round 1500 ok checksum=7560267788322207488
rank 3: round 1525 ok checksum=9404852204726198784
rank 3: round 1550 ok checksum=5963064569239063808
rank 3: round 1575 ok checksum=5927429800018147328
rank 3: round 1600 ok checksum=9162987112005280512
rank 3: round 1625 ok checksum=2940711615293672960
rank 3: round 1650 ok checksum=15841988291534452992
rank 3: round 1675 ok checksum=14913619254932022272
rank 3: round 1700 ok checksum=13780444758528184064
rank 3: round 1725 ok checksum=18169010453156624896
rank 3: round 1750 ok checksum=7144779691445429504
rank 3: round 1775 ok checksum=791437079568896000
rank 3: round 1800 ok checksum=6806412447516195584
rank 3: round 1825 ok checksum=7421635882835453440
rank 3: round 1850 ok checksum=484581883135414528
rank 3: round 1875 ok checksum=16300940314079099904
rank 3: round 1900 ok checksum=13393507785894307584
rank 3: round 1925 ok checksum=17500494904164602368
rank 3: round 1950 ok checksum=1139473386315513088
rank 3: round 1975 ok checksum=15634111089235994624
rank 3: round 2000 ok checksum=17589686718321218304
rank 3: round 2025 ok checksum=12394996705634057728
rank 3: round 2050 ok checksum=1666418460805146880
rank 3: round 2075 ok checksum=380247388728120320
rank 3: round 2100 ok checksum=8406962763609014016
rank 3: round 2125 ok checksum=15455475970131438080
rank 3: round 2150 ok checksum=7763495001034216704
rank 3: round 2175 ok checksum=16897738370926084096
rank 3: round 2200 ok checksum=10576881301198121728
rank 3: round 2225 ok checksum=8287173705507132928
rank 3: round 2250 ok checksum=11250674335792431360
rank 3: round 2275 ok checksum=388832102332378112
rank 3: round 2300 ok checksum=16116472623122831104
rank 3: round 2325 ok checksum=1759854731087741440
