rank 2: start pid=494087 shape=deep_rounds
rank 2: round 0 ok checksum=7354563874815177472
rank 2: round 25 ok checksum=16869522222499474944
rank 2: round 50 ok checksum=7595219230435961088
rank 2: round 75 ok checksum=1085085612440691712
rank 2: round 100 ok checksum=1389820551602921216
rank 2: round 125 ok checksum=17525340067841219072
rank 2: round 150 ok checksum=15441376818601841920
rank 2: round 175 ok checksum=16239974198786592768
rank 2: round 200 ok checksum=3990795394710850304
rank 2: round 225 ok checksum=7466442847855412736
rank 2: round 250 ok checksum=697964709503287552
rank 2: round 275 ok checksum=5120487815734623232
rank 2: round 300 ok checksum=1315665616451811072
rank 2: round 325 ok checksum=14674136514198401536
rank 2: round 350 ok checksum=1431425120153414912
rank 2: round 375 ok checksum=10080946325322000384
rank 2: round 400 ok checksum=4809871736079852288
rank 2: round 425 ok checksum=10428959109187853824
rank 2: round 450 ok checksum=2335592482853460224
rank 2: round 475 ok checksum=16513692901859775488
rank 2: round 500 ok checksum=13790211875596144384
rank 2: round 525 ok checksum=6306687615842929152
rank 2: round 550 ok checksum=3569935292782249216
rank 2: round 575 ok checksum=12489363294097948672
rank 2: round 600 ok checksum=6446720427878578944
rank 2: round 625 ok checksum=10219888228580800000
rank 2: round 650 ok checksum=16246942911934460160
rank 2: round 675 ok checksum=10246623481658059776
rank 2: round 700 ok checksum=9349799601009452800
rank 2: round 725 ok checksum=15896532842196640256
rank 2: round 750 ok checksum=11414253811188129024
rank 2: round 775 ok checksum=4612113203205019648
rank 2: round 800 ok checksum=18099356328210125568
rank 2: round 825 ok checksum=9216035087966735872
rank 2: round 850 ok checksum=15512276565592459520
rank 2: round 875 ok checksum=3755588145313317888
rank 2: round 900 ok checksum=8150323502696349440
rank 2: round 925 ok checksum=18202045309356341760
rank 2: round 950 ok checksum=17443468255319438592
rank 2: round 975 ok checksum=2389599707230269440
rank 2: round 1000 ok checksum=14003880131394317056
rank 2: round 1025 ok checksum=12270659575162922496
rank 2: round 1050 ok checksum=13774129198150656256
rank 2: round 1075 ok checksum=17546385644546907136
rank 2: round 1100 ok checksum=6808698620753581824
rank 2: round 1125 ok checksum=12601416186757501440
rank 2: round 1150 ok checksum=12790232938951740672
rank 2: round 1175 ok checksum=14215840639605557248
rank 2: round 1200 ok checksum=18227370095202697984
rank 2: round 1225 ok checksum=12561890854897106432
rank 2: round 1250 ok checksum=3405026784368195840
rank 2: round 1275 ok checksum=9234025201810093056
rank 2: round 1300 ok checksum=11831593557627465472
rank 2: round 1325 ok checksum=7432770229086956032
rank 2: round 1350 ok checksum=5819190821820425472
rank 2: round 1375 ok checksum=9642552107171717120
rank 2: round 1400 ok checksum=6259075724378659584
rank 2: round 1425 ok checksum=4356773776582022656
rank 2: round 1450 ok checksum=83365859976728832
rank 2: round 1475 ok checksum=15637114097354345472
rank 2: round 1500 ok checksum=2794705346804401920
rank 2: round 1525 ok checksum=12592864188757279232
rank 2: round 1550 ok checksum=18397472200223079680
rank 2: round 1575 ok checksum=14397227007749650432
rank 2: round 1600 ok checksum=15063306154469110528
rank 2: round 1625 ok checksum=7270311823347445248
rank 2: round 1650 ok checksum=1449326916244384000
rank 2: round 1675 ok checksum=4246051542751831040
rank 2: round 1700 ok checksum=3689939273867534080
rank 2: round 1725 ok checksum=17602879363205257728
rank 2: round 1750 ok checksum=16168298180218557696
rank 2: round 1775 ok checksum=9196899016363593728
rank 2: round 1800 ok checksum=16776193140130319104
rank 2: round 1825 ok checksum=10925856451062416896
rank 2: round 1850 ok checksum=8114666451434111232
rank 2: round 1875 ok checksum=12879428337803639808
rank 2: round 1900 ok checksum=10848389004821067520
rank 2: round 1925 ok checksum=6557452942863053312
rank 2: round 1950 ok checksum=9213793642519424256
rank 2: round 1975 ok checksum=17135406708632823808
rank 2: round 2000 ok checksum=14701662739173597952
rank 2: round 2025 ok checksum=14096662097941634560
rank 2: round 2050 ok checksum=16142781332615616768
rank 2: round 2075 ok checksum=8396576042529887232
rank 2: round 2100 ok checksum=14347903801704763136
rank 2: round 2125 ok checksum=14475903615958190592
rank 2: round 2150 ok checksum=2645870982748259584
rank 2: round 2175 ok checksum=15296576902766100480
rank 2: round 2200 ok checksum=7117889992978053888
rank 2: round 2225 ok checksum=11328873451718964736
rank 2: round 2250 ok checksum=8095604572413112576
rank 2: round 2275 ok checksum=12985864851362835456
rank 2: round 2300 ok checksum=11914133196986427136
rank 2: round 2325 ok checksum=14666357327721193984
rank 2: round 2350 ok checksum=1031888455649664256
rank 2: round 2375 ok checksum=13185310269355284480
rank 2: round 2400 ok checksum=2324850649679631104
rank 2: round 2425 ok checksum=15251500458659401216
rank 2: round 2450 ok checksum=15300878582252833024
rank 2: round 2475 ok checksum=15545687935681577984
rank 2: round 2500 ok checksum=3148242349093191424
rank 2: round 2525 ok checksum=739515715598334464
rank 2: round 2550 ok checksum=1958610351321576704
rank 2: round 2575 ok checksum=12094721324063469568
rank 2: round 2600 ok checksum=4448507869342952192
rank 2: round 2625 ok checksum=18311469945481045504
rank 2: round 2650 ok checksum=14710202816961044736
rank 2: round 2675 ok checksum=12042409358387715072
rank 2: round 2700 ok checksum=18283704690283927296
rank 2: round 2725 ok checksum=7987222708714246656
rank 2: round 2750 ok checksum=13251314785146293504
rank 2: round 2775 ok checksum=10449005365060110336
rank 2: round 2800 ok checksum=3935888068488282880
rank 2: round 2825 ok checksum=6976871094706601472
rank 2: round 2850 ok checksum=7513806281195632896
rank 2: round 2875 ok checksum=6396036166993572864
rank 2: round 2900 ok checksum=12781708599755681536
rank 2: round 2925 ok checksum=10544916941802465792
rank 2: round 2950 ok checksum=1757444298986530048
rank 2: round 2975 ok checksum=11952961311693398016
rank 2: DONE rounds=3000 checksum=1168321595844044800
