rank 1: start pid=485917 shape=deep_rounds
rank 1: round 0 ok checksum=14743458722834165504
rank 1: round 25 ok checksum=11177721171215304192
rank 1: round 50 ok checksum=13577967828015340800
rank 1: round 75 ok checksum=5752224594019873792
rank 1: round 100 ok checksum=5533384731447560960
rank 1: round 125 ok checksum=7636358115408290304
rank 1: round 150 ok checksum=185103189887924480
rank 1: round 175 ok checksum=4180995425558351872
rank 1: round 200 ok checksum=11397009781873370880
rank 1: round 225 ok checksum=9776843928973311488
rank 1: round 250 ok checksum=8716947879278023936
rank 1: round 275 ok checksum=13502913826066967552
rank 1: round 300 ok checksum=8852144428602442496
rank 1: round 325 ok checksum=11514717783352007168
rank 1: round 350 ok checksum=12076694362641953024
rank 1: round 375 ok checksum=13491736749974292480
rank 1: round 400 ok checksum=4932031527048683264
rank 1: round 425 ok checksum=4697407846883538432
rank 1: round 450 ok checksum=10773642048077745408
rank 1: round 475 ok checksum=11225586918316794880
rank 1: round 500 ok checksum=3696579404422052608
rank 1: round 525 ok checksum=11818665900361290240
rank 1: round 550 ok checksum=2902908215323339008
rank 1: round 575 ok checksum=15672025929661136896
rank 1: round 600 ok checksum=48073457825502976
rank 1: round 625 ok checksum=3580075905426189824
rank 1: round 650 ok checksum=1161748481888453888
rank 1: round 675 ok checksum=5944969446868655104
rank 1: round 700 ok checksum=4892090766117483264
rank 1: round 725 ok checksum=279933600861473280
rank 1: round 750 ok checksum=14193202059453784320
rank 1: round 775 ok checksum=5278769008592975872
rank 1: round 800 ok checksum=15967169215599546112
rank 1: round 825 ok checksum=1370663628891072000
rank 1: round 850 ok checksum=8552347468627197184
rank 1: round 875 ok checksum=9801713344988894208
rank 1: round 900 ok checksum=3270909854934592256
rank 1: round 925 ok checksum=16648500201669526016
rank 1: round 950 ok checksum=35662781546141952
rank 1: round 975 ok checksum=18145304723533824
rank 1: round 1000 ok checksum=10803104035598092032
rank 1: round 1025 ok checksum=17380737259431943680
rank 1: round 1050 ok checksum=911535587593876736
rank 1: round 1075 ok checksum=1162510146683898880
rank 1: round 1100 ok checksum=9921524795424383744
rank 1: round 1125 ok checksum=6043491300215667200
