rank 0: start pid=485916 shape=deep_rounds
rank 0: round 0 ok checksum=9292610961798504192
rank 0: round 25 ok checksum=5094329267771811328
rank 0: round 50 ok checksum=2016598739484126464
rank 0: round 75 ok checksum=5208970455725323264
rank 0: round 100 ok checksum=12124692380374317824
rank 0: round 125 ok checksum=9290168278132736512
rank 0: round 150 ok checksum=1383240357014522112
rank 0: round 175 ok checksum=3445005361180659712
rank 0: round 200 ok checksum=836850132546410240
rank 0: round 225 ok checksum=10681601175555300864
rank 0: round 250 ok checksum=9592801285323089152
rank 0: round 275 ok checksum=9004960363222363136
rank 0: round 300 ok checksum=6015305332691890944
rank 0: round 325 ok checksum=17262899984503175680
rank 0: round 350 ok checksum=15989380032816087296
rank 0: round 375 ok checksum=16700662358675130368
rank 0: round 400 ok checksum=16893409280020909824
rank 0: round 425 ok checksum=3372118677449250304
rank 0: round 450 ok checksum=9321781920435805440
rank 0: round 475 ok checksum=5386866727938925568
rank 0: round 500 ok checksum=16749936529708755712
rank 0: round 525 ok checksum=11292587690691441152
rank 0: round 550 ok checksum=16610289911917852928
rank 0: round 575 ok checksum=18326878493589487616
rank 0: round 600 ok checksum=8718368243832801024
rank 0: round 625 ok checksum=8574273877038255616
rank 0: round 650 ok checksum=4582604243086628096
rank 0: round 675 ok checksum=15869086670306401280
rank 0: round 700 ok checksum=17601146334946353920
rank 0: round 725 ok checksum=2969487781234010624
rank 0: round 750 ok checksum=3691523873351823616
rank 0: round 775 ok checksum=18308105976629819392
rank 0: round 800 ok checksum=459193976058511104
rank 0: round 825 ok checksum=3983872519097222656
rank 0: round 850 ok checksum=9841053584756870400
rank 0: round 875 ok checksum=11311617682380690432
rank 0: round 900 ok checksum=11605542298068818688
rank 0: round 925 ok checksum=12272679902012318208
rank 0: round 950 ok checksum=15475615608873593088
rank 0: round 975 ok checksum=7842802362221473792
rank 0: round 1000 ok checksum=4300635956286568192
rank 0: round 1025 ok checksum=2761592347919597056
rank 0: round 1050 ok checksum=7250875419067991296
rank 0: round 1075 ok checksum=11380751424236833792
rank 0: round 1100 ok checksum=11249601446169924352
rank 0: round 1125 ok checksum=7931313390167349760
rank 0: round 1150 ok checksum=740940389724905728
rank 0: round 1175 ok checksum=17420868957356845056
rank 0: round 1200 ok checksum=1391742161933823744
rank 0: round 1225 ok checksum=3401681619992671744
rank 0: round 1250 ok checksum=18102707665901518080
rank 0: round 1275 ok checksum=5121621856884655104
rank 0: round 1300 ok checksum=7003317462786771712
rank 0: round 1325 ok checksum=18150066558522462720
rank 0: round 1350 ok checksum=15196839359248537856
rank 0: round 1375 ok checksum=5860389227010105344
rank 0: round 1400 ok checksum=8640068998740059904
rank 0: round 1425 ok checksum=4875552801458466304
rank 0: round 1450 ok checksum=15347101962775639296
rank 0: round 1475 ok checksum=10882155855773481984
rank 0: round 1500 ok checksum=12068071097173951232
rank 0: round 1525 ok checksum=13747813643031005696
rank 0: round 1550 ok checksum=556026920225165568
rank 0: round 1575 ok checksum=1148227773665040384
rank 0: round 1600 ok checksum=8345487195108826880
rank 0: round 1625 ok checksum=18126158046094419456
rank 0: round 1650 ok checksum=12520836393621351680
rank 0: round 1675 ok checksum=8785705689967555584
rank 0: round 1700 ok checksum=2534124126440422144
rank 0: round 1725 ok checksum=12352325990294618624
rank 0: round 1750 ok checksum=9149994158729431296
rank 0: round 1775 ok checksum=11558550854036295680
rank 0: round 1800 ok checksum=1500715277842421504
rank 0: round 1825 ok checksum=15031151543359380992
rank 0: round 1850 ok checksum=7231523302453912832
