rank 1: start pid=506759 shape=collectives_sweep
rank 1: round 0 ok checksum=6635062359743557216
rank 1: round 25 ok checksum=17783965417053909985
rank 1: round 50 ok checksum=6465378328892306807
rank 1: round 75 ok checksum=3096847649804322368
rank 1: round 100 ok checksum=16199190719357392331
rank 1: round 125 ok checksum=11128612428525177148
rank 1: round 150 ok checksum=15425821507672307027
rank 1: round 175 ok checksum=7444523589182254091
rank 1: round 200 ok checksum=2686505637274645730
rank 1: round 225 ok checksum=3637802216662472483
rank 1: round 250 ok checksum=10485914712057453097
rank 1: round 275 ok checksum=13340125410418187970
rank 1: round 300 ok checksum=9847457498955655969
rank 1: round 325 ok checksum=10219991372814548385
rank 1: round 350 ok checksum=15136311224328069969
rank 1: round 375 ok checksum=14339282977614526230
rank 1: round 400 ok checksum=16506850201906233778
rank 1: round 425 ok checksum=2406164061998005276
rank 1: round 450 ok checksum=12579505656810456097
rank 1: round 475 ok checksum=5395538008803832914
rank 1: round 500 ok checksum=9426405698690087273
rank 1: round 525 ok checksum=15759300825860528383
rank 1: round 550 ok checksum=8838895270100094041
rank 1: round 575 ok checksum=1647941600092347638
rank 1: round 600 ok checksum=7201451540382661958
rank 1: round 625 ok checksum=16186768943311149408
rank 1: round 650 ok checksum=1327011335144863942
rank 1: round 675 ok checksum=4895497448224005501
rank 1: round 700 ok checksum=2814380622421201770
rank 1: round 725 ok checksum=17137245959548008454
rank 1: round 750 ok checksum=5840337080158035928
rank 1: round 775 ok checksum=12357144135232096596
rank 1: round 800 ok checksum=8250824401197396604
rank 1: round 825 ok checksum=13938261463833404604
rank 1: round 850 ok checksum=18171072964717877754
rank 1: round 875 ok checksum=8699475304687497431
rank 1: round 900 ok checksum=851460113810123992
rank 1: round 925 ok checksum=4308772921627875895
rank 1: round 950 ok checksum=13737138469358356694
rank 1: round 975 ok checksum=169854411948052530
rank 1: round 1000 ok checksum=13638455000556050629
rank 1: round 1025 ok checksum=382449628048778686
rank 1: round 1050 ok checksum=16632220327967427084
rank 1: round 1075 ok checksum=17683427865504788261
rank 1: round 1100 ok checksum=4318470152116395732
rank 1: round 1125 ok checksum=8354602185259916637
rank 1: round 1150 ok checksum=6857232857811397292
rank 1: round 1175 ok checksum=17076782863994789264
rank 1: round 1200 ok checksum=13756532506472893067
rank 1: round 1225 ok checksum=8912051719306887396
rank 1: round 1250 ok checksum=18398198784999033122
rank 1: round 1275 ok checksum=3166058498015790883
rank 1: round 1300 ok checksum=18278906581390982506
rank 1: round 1325 ok checksum=11759188185671806210
rank 1: round 1350 ok checksum=18119800475123399658
rank 1: round 1375 ok checksum=15568049732859489559
rank 1: round 1400 ok checksum=3928380206603074303
rank 1: round 1425 ok checksum=2555210928073086241
rank 1: round 1450 ok checksum=2121343026783387870
rank 1: round 1475 ok checksum=14881703964397656339
rank 1: round 1500 ok checksum=14472320898794706170
rank 1: round 1525 ok checksum=16876396975119137000
rank 1: round 1550 ok checksum=10339391252765004410
rank 1: round 1575 ok checksum=7647037059955614615
rank 1: round 1600 ok checksum=5360074255106983607
rank 1: round 1625 ok checksum=15619463294168367657
rank 1: round 1650 ok checksum=4730903017758159139
rank 1: round 1675 ok checksum=16035639572896376794
rank 1: round 1700 ok checksum=1289406749622201531
rank 1: round 1725 ok checksum=14407820921851157423
rank 1: round 1750 ok checksum=10308318391560584981
rank 1: round 1775 ok checksum=11336929120843966097
rank 1: round 1800 ok checksum=13191435781758547313
