rank 3: start pid=506761 shape=collectives_sweep
rank 3: round 0 ok checksum=2037068162412805776
rank 3: round 25 ok checksum=6868302436594987209
rank 3: round 50 ok checksum=8943058071860074329
rank 3: round 75 ok checksum=15243054509997249808
rank 3: round 100 ok checksum=6207053374519369097
rank 3: round 125 ok checksum=9645831725560655470
rank 3: round 150 ok checksum=424955294946130293
rank 3: round 175 ok checksum=15850970318352324148
rank 3: round 200 ok checksum=18406068223203081832
rank 3: round 225 ok checksum=7293619509899262905
rank 3: round 250 ok checksum=7208146018012899397
rank 3: round 275 ok checksum=394270219011861022
rank 3: round 300 ok checksum=2968221438871970574
rank 3: round 325 ok checksum=16578058579279010047
rank 3: round 350 ok checksum=16556767732869929137
rank 3: round 375 ok checksum=5134776647736464509
rank 3: round 400 ok checksum=3593886117468573716
rank 3: round 425 ok checksum=18289242241654335202
rank 3: round 450 ok checksum=3583320458744497280
rank 3: round 475 ok checksum=409192620539613126
rank 3: round 500 ok checksum=7080903249106029806
rank 3: round 525 ok checksum=12035605545084091291
rank 3: round 550 ok checksum=10104234100963724005
rank 3: round 575 ok checksum=4656243466109434342
rank 3: round 600 ok checksum=11446171139537338884
rank 3: round 625 ok checksum=10640969444605570251
rank 3: round 650 ok checksum=9010627504244692981
rank 3: round 675 ok checksum=14271718394763697900
rank 3: round 700 ok checksum=14183152836234485437
rank 3: round 725 ok checksum=1842403028050590737
rank 3: round 750 ok checksum=10552358175560109314
rank 3: round 775 ok checksum=7435784575487629280
rank 3: round 800 ok checksum=4274242888320064374
rank 3: round 825 ok checksum=15433493111558843769
rank 3: round 850 ok checksum=9787888030298730666
rank 3: round 875 ok checksum=13251919056927165251
rank 3: round 900 ok checksum=13980851318333766963
rank 3: round 925 ok checksum=8396541531181142518
rank 3: round 950 ok checksum=13461596244287412566
rank 3: round 975 ok checksum=233203234171929051
rank 3: round 1000 ok checksum=12626538006219933075
rank 3: round 1025 ok checksum=817156200011489220
rank 3: round 1050 ok checksum=10249164580188788940
rank 3: round 1075 ok checksum=7826088734572629023
rank 3: round 1100 ok checksum=8247652404490237308
rank 3: round 1125 ok checksum=4827075550720046169
rank 3: round 1150 ok checksum=1501193158545233880
rank 3: round 1175 ok checksum=12682219850829858739
rank 3: round 1200 ok checksum=3874640112834472335
rank 3: round 1225 ok checksum=3109012803719944536
rank 3: round 1250 ok checksum=16344808622654304988
rank 3: round 1275 ok checksum=6429202321780598957
rank 3: round 1300 ok checksum=11941326919762391337
rank 3: round 1325 ok checksum=93535880329410066
rank 3: round 1350 ok checksum=2082924826354306876
rank 3: round 1375 ok checksum=9006802779113695420
rank 3: round 1400 ok checksum=6080828405907845599
rank 3: round 1425 ok checksum=6256795099010241957
rank 3: round 1450 ok checksum=3601943014419974843
rank 3: round 1475 ok checksum=573317165774412465
rank 3: round 1500 ok checksum=6433209287683449577
rank 3: round 1525 ok checksum=5858121391878368398
rank 3: round 1550 ok checksum=5401045409287201104
rank 3: round 1575 ok checksum=14191542967704786049
rank 3: round 1600 ok checksum=10863049008905117395
rank 3: round 1625 ok checksum=15325035020413291794
rank 3: round 1650 ok checksum=2493645748393072180
rank 3: round 1675 ok checksum=16952964472218939607
rank 3: round 1700 ok checksum=2088521034853384736
rank 3: round 1725 ok checksum=1388965632687481708
rank 3: round 1750 ok checksum=10215291432221097649
rank 3: round 1775 ok checksum=14938922226691145403
rank 3: round 1800 ok checksum=7914756539473189321
rank 3: round 1825 ok checksum=13619248543276103108
rank 3: round 1850 ok checksum=9148579186944383237
rank 3: round 1875 ok checksum=7549875280178362766
rank 3: round 1900 ok checksum=12312903899412764918
rank 3: round 1925 ok checksum=7415204821007830449
rank 3: round 1950 ok checksum=1591140991149001505
rank 3: round 1975 ok checksum=11679654583350951194
rank 3: round 2000 ok checksum=6776792716407179978
rank 3: round 2025 ok checksum=13600902935650218355
rank 3: round 2050 ok checksum=10805834758361212839
rank 3: round 2075 ok checksum=12440612984673004562
rank 3: round 2100 ok checksum=4733075628483662823
rank 3: round 2125 ok checksum=14308312268498314172
rank 3: round 2150 ok checksum=6663971173093072227
rank 3: round 2175 ok checksum=8985080570142859734
rank 3: round 2200 ok checksum=3661199107167129642
rank 3: round 2225 ok checksum=13509282340018036459
rank 3: round 2250 ok checksum=13261641459888427507
rank 3: round 2275 ok checksum=12199409247875432832
rank 3: round 2300 ok checksum=11494023086469051508
rank 3: round 2325 ok checksum=12774834354440271445
rank 3: round 2350 ok checksum=8235864766066870019
rank 3: round 2375 ok checksum=15731439686043280419
rank 3: round 2400 ok checksum=13004944909637474366
rank 3: round 2425 ok checksum=12895720218750191996
rank 3: round 2450 ok checksum=5645536025288256466
rank 3: round 2475 ok checksum=6838696607152504940
rank 3: round 2500 ok checksum=12892363086165363740
rank 3: round 2525 ok checksum=17871719226118650453
rank 3: round 2550 ok checksum=409478573696713303
rank 3: round 2575 ok checksum=1044344170129919916
rank 3: round 2600 ok checksum=593568437233169270
rank 3: round 2625 ok checksum=352129733638644933
rank 3: round 2650 ok checksum=4202033610956525735
rank 3: round 2675 ok checksum=4128169622177941490
rank 3: round 2700 ok checksum=4270926624926374067
rank 3: round 2725 ok checksum=13049570596090897167
rank 3: round 2750 ok checksum=9948811568165874488
rank 3: round 2775 ok checksum=3193948688976768266
rank 3: round 2800 ok checksum=12551743073976519696
