rank 3: start pid=218547 shape=baseline
rank 3: round 0 ok checksum=2317
rank 3: round 25 ok checksum=64467
rank 3: round 50 ok checksum=134742
rank 3: round 75 ok checksum=213142
rank 3: round 100 ok checksum=299667
rank 3: round 125 ok checksum=394317
rank 3: round 150 ok checksum=497092
rank 3: round 175 ok checksum=607992
rank 3: round 200 ok checksum=727017
rank 3: round 225 ok checksum=854167
rank 3: round 250 ok checksum=989442
rank 3: round 275 ok checksum=1132842
rank 3: round 300 ok checksum=1284367
rank 3: round 325 ok checksum=1444017
rank 3: round 350 ok checksum=1611792
rank 3: round 375 ok checksum=1787692
rank 3: round 400 ok checksum=1971717
rank 3: round 425 ok checksum=2163867
rank 3: round 450 ok checksum=2364142
rank 3: round 475 ok checksum=2572542
rank 3: round 500 ok checksum=2789067
rank 3: round 525 ok checksum=3013717
rank 3: round 550 ok checksum=3246492
rank 3: round 575 ok checksum=3487392
rank 3: round 600 ok checksum=3736417
rank 3: round 625 ok checksum=3993567
rank 3: round 650 ok checksum=4258842
terminate called after throwing an instance of 'FMI::Utils::Timeout'
  what():  Timeout was reached
