rank 0: start pid=496832 shape=p2p_ring
rank 0: round 4025 ok checksum=137588550
rank 0: round 4050 ok checksum=139151850
rank 0: round 4075 ok checksum=140723900
rank 0: round 4100 ok checksum=142304700
rank 0: round 4125 ok checksum=143894250
rank 0: round 4150 ok checksum=145492550
rank 0: round 4175 ok checksum=147099600
rank 0: round 4200 ok checksum=148715400
rank 0: round 4225 ok checksum=150339950
rank 0: round 4250 ok checksum=151973250
rank 0: round 4275 ok checksum=153615300
rank 0: round 4300 ok checksum=155266100
rank 0: round 4325 ok checksum=156925650
rank 0: round 4350 ok checksum=158593950
rank 0: round 4375 ok checksum=160271000
rank 0: round 4400 ok checksum=161956800
rank 0: round 4425 ok checksum=163651350
rank 0: round 4450 ok checksum=165354650
rank 0: round 4475 ok checksum=167066700
rank 0: round 4500 ok checksum=168787500
rank 0: round 4525 ok checksum=170517050
rank 0: round 4550 ok checksum=172255350
rank 0: round 4575 ok checksum=174002400
rank 0: round 4600 ok checksum=175758200
rank 0: round 4625 ok checksum=177522750
rank 0: round 4650 ok checksum=179296050
rank 0: round 4675 ok checksum=181078100
rank 0: round 4700 ok checksum=182868900
rank 0: round 4725 ok checksum=184668450
rank 0: round 4750 ok checksum=186476750
rank 0: round 4775 ok checksum=188293800
rank 0: round 4800 ok checksum=190119600
rank 0: round 4825 ok checksum=191954150
rank 0: round 4850 ok checksum=193797450
rank 0: round 4875 ok checksum=195649500
rank 0: round 4900 ok checksum=197510300
rank 0: round 4925 ok checksum=199379850
rank 0: round 4950 ok checksum=201258150
rank 0: round 4975 ok checksum=203145200
rank 0: round 5000 ok checksum=205041000
rank 0: round 5025 ok checksum=206945550
rank 0: round 5050 ok checksum=208858850
rank 0: round 5075 ok checksum=210780900
rank 0: round 5100 ok checksum=212711700
rank 0: round 5125 ok checksum=214651250
rank 0: round 5150 ok checksum=216599550
rank 0: round 5175 ok checksum=218556600
rank 0: round 5200 ok checksum=220522400
rank 0: round 5225 ok checksum=222496950
rank 0: round 5250 ok checksum=224480250
rank 0: round 5275 ok checksum=226472300
rank 0: round 5300 ok checksum=228473100
rank 0: round 5325 ok checksum=230482650
rank 0: round 5350 ok checksum=232500950
rank 0: round 5375 ok checksum=234528000
rank 0: round 5400 ok checksum=236563800
rank 0: round 5425 ok checksum=238608350
rank 0: round 5450 ok checksum=240661650
rank 0: round 5475 ok checksum=242723700
rank 0: round 5500 ok checksum=244794500
rank 0: round 5525 ok checksum=246874050
rank 0: round 5550 ok checksum=248962350
rank 0: round 5575 ok checksum=251059400
rank 0: round 5600 ok checksum=253165200
rank 0: round 5625 ok checksum=255279750
rank 0: round 5650 ok checksum=257403050
rank 0: round 5675 ok checksum=259535100
rank 0: round 5700 ok checksum=261675900
rank 0: round 5725 ok checksum=263825450
rank 0: round 5750 ok checksum=265983750
rank 0: round 5775 ok checksum=268150800
rank 0: round 5800 ok checksum=270326600
rank 0: round 5825 ok checksum=272511150
