rank 3: start pid=496835 shape=p2p_ring
rank 3: round 0 ok checksum=4000
rank 3: round 25 ok checksum=108550
rank 3: round 50 ok checksum=221850
rank 3: round 75 ok checksum=343900
rank 3: round 100 ok checksum=474700
rank 3: round 125 ok checksum=614250
rank 3: round 150 ok checksum=762550
rank 3: round 175 ok checksum=919600
rank 3: round 200 ok checksum=1085400
rank 3: round 225 ok checksum=1259950
rank 3: round 250 ok checksum=1443250
rank 3: round 275 ok checksum=1635300
rank 3: round 300 ok checksum=1836100
rank 3: round 325 ok checksum=2045650
rank 3: round 350 ok checksum=2263950
rank 3: round 375 ok checksum=2491000
rank 3: round 400 ok checksum=2726800
rank 3: round 425 ok checksum=2971350
rank 3: round 450 ok checksum=3224650
rank 3: round 475 ok checksum=3486700
rank 3: round 500 ok checksum=3757500
rank 3: round 525 ok checksum=4037050
rank 3: round 550 ok checksum=4325350
rank 3: round 575 ok checksum=4622400
rank 3: round 600 ok checksum=4928200
rank 3: round 625 ok checksum=5242750
rank 3: round 650 ok checksum=5566050
rank 3: round 675 ok checksum=5898100
rank 3: round 700 ok checksum=6238900
rank 3: round 725 ok checksum=6588450
rank 3: round 750 ok checksum=6946750
rank 3: round 775 ok checksum=7313800
rank 3: round 800 ok checksum=7689600
rank 3: round 825 ok checksum=8074150
rank 3: round 850 ok checksum=8467450
rank 3: round 875 ok checksum=8869500
rank 3: round 900 ok checksum=9280300
rank 3: round 925 ok checksum=9699850
rank 3: round 950 ok checksum=10128150
rank 3: round 975 ok checksum=10565200
rank 3: round 1000 ok checksum=11011000
rank 3: round 1025 ok checksum=11465550
rank 3: round 1050 ok checksum=11928850
rank 3: round 1075 ok checksum=12400900
rank 3: round 1100 ok checksum=12881700
rank 3: round 1125 ok checksum=13371250
rank 3: round 1150 ok checksum=13869550
rank 3: round 1175 ok checksum=14376600
rank 3: round 1200 ok checksum=14892400
rank 3: round 1225 ok checksum=15416950
rank 3: round 1250 ok checksum=15950250
rank 3: round 1275 ok checksum=16492300
rank 3: round 1300 ok checksum=17043100
rank 3: round 1325 ok checksum=17602650
rank 3: round 1350 ok checksum=18170950
rank 3: round 1375 ok checksum=18748000
rank 3: round 1400 ok checksum=19333800
rank 3: round 1425 ok checksum=19928350
rank 3: round 1450 ok checksum=20531650
rank 3: round 1475 ok checksum=21143700
rank 3: round 1500 ok checksum=21764500
rank 3: round 1525 ok checksum=22394050
rank 3: round 1550 ok checksum=23032350
rank 3: round 1575 ok checksum=23679400
rank 3: round 1600 ok checksum=24335200
rank 3: round 1625 ok checksum=24999750
rank 3: round 1650 ok checksum=25673050
rank 3: round 1675 ok checksum=26355100
rank 3: round 1700 ok checksum=27045900
rank 3: round 1725 ok checksum=27745450
rank 3: round 1750 ok checksum=28453750
rank 3: round 1775 ok checksum=29170800
rank 3: round 1800 ok checksum=29896600
rank 3: round 1825 ok checksum=30631150
rank 3: round 1850 ok checksum=31374450
rank 3: round 1875 ok checksum=32126500
rank 3: round 1900 ok checksum=32887300
rank 3: round 1925 ok checksum=33656850
rank 3: round 1950 ok checksum=34435150
rank 3: round 1975 ok checksum=35222200
rank 3: round 2000 ok checksum=36018000
rank 3: round 2025 ok checksum=36822550
rank 3: round 2050 ok checksum=37635850
rank 3: round 2075 ok checksum=38457900
rank 3: round 2100 ok checksum=39288700
rank 3: round 2125 ok checksum=40128250
rank 3: round 2150 ok checksum=40976550
rank 3: round 2175 ok checksum=41833600
rank 3: round 2200 ok checksum=42699400
rank 3: round 2225 ok checksum=43573950
rank 3: round 2250 ok checksum=44457250
rank 3: round 2275 ok checksum=45349300
rank 3: round 2300 ok checksum=46250100
rank 3: round 2325 ok checksum=47159650
rank 3: round 2350 ok checksum=48077950
rank 3: round 2375 ok checksum=49005000
rank 3: round 2400 ok checksum=49940800
rank 3: round 2425 ok checksum=50885350
rank 3: round 2450 ok checksum=51838650
rank 3: round 2475 ok checksum=52800700
rank 3: round 2500 ok checksum=53771500
rank 3: round 2525 ok checksum=54751050
rank 3: round 2550 ok checksum=55739350
rank 3: round 2575 ok checksum=56736400
rank 3: round 2600 ok checksum=57742200
rank 3: round 2625 ok checksum=58756750
rank 3: round 2650 ok checksum=59780050
rank 3: round 2675 ok checksum=60812100
rank 3: round 2700 ok checksum=61852900
rank 3: round 2725 ok checksum=62902450
rank 3: round 2750 ok checksum=63960750
rank 3: round 2775 ok checksum=65027800
rank 3: round 2800 ok checksum=66103600
rank 3: round 2825 ok checksum=67188150
rank 3: round 2850 ok checksum=68281450
rank 3: round 2875 ok checksum=69383500
rank 3: round 2900 ok checksum=70494300
rank 3: round 2925 ok checksum=71613850
rank 3: round 2950 ok checksum=72742150
rank 3: round 2975 ok checksum=73879200
rank 3: round 3000 ok checksum=75025000
