rank 2: start pid=496834 shape=p2p_ring
rank 2: round 0 ok checksum=2000
rank 2: round 25 ok checksum=56550
rank 2: round 50 ok checksum=119850
rank 2: round 75 ok checksum=191900
rank 2: round 100 ok checksum=272700
rank 2: round 125 ok checksum=362250
rank 2: round 150 ok checksum=460550
rank 2: round 175 ok checksum=567600
rank 2: round 200 ok checksum=683400
rank 2: round 225 ok checksum=807950
rank 2: round 250 ok checksum=941250
rank 2: round 275 ok checksum=1083300
rank 2: round 300 ok checksum=1234100
rank 2: round 325 ok checksum=1393650
rank 2: round 350 ok checksum=1561950
rank 2: round 375 ok checksum=1739000
rank 2: round 400 ok checksum=1924800
rank 2: round 425 ok checksum=2119350
rank 2: round 450 ok checksum=2322650
rank 2: round 475 ok checksum=2534700
rank 2: round 500 ok checksum=2755500
rank 2: round 525 ok checksum=2985050
rank 2: round 550 ok checksum=3223350
rank 2: round 575 ok checksum=3470400
rank 2: round 600 ok checksum=3726200
rank 2: round 625 ok checksum=3990750
rank 2: round 650 ok checksum=4264050
rank 2: round 675 ok checksum=4546100
rank 2: round 700 ok checksum=4836900
rank 2: round 725 ok checksum=5136450
rank 2: round 750 ok checksum=5444750
rank 2: round 775 ok checksum=5761800
rank 2: round 800 ok checksum=6087600
rank 2: round 825 ok checksum=6422150
rank 2: round 850 ok checksum=6765450
rank 2: round 875 ok checksum=7117500
rank 2: round 900 ok checksum=7478300
rank 2: round 925 ok checksum=7847850
rank 2: round 950 ok checksum=8226150
rank 2: round 975 ok checksum=8613200
rank 2: round 1000 ok checksum=9009000
rank 2: round 1025 ok checksum=9413550
rank 2: round 1050 ok checksum=9826850
rank 2: round 1075 ok checksum=10248900
rank 2: round 1100 ok checksum=10679700
rank 2: round 1125 ok checksum=11119250
rank 2: round 1150 ok checksum=11567550
rank 2: round 1175 ok checksum=12024600
rank 2: round 1200 ok checksum=12490400
rank 2: round 1225 ok checksum=12964950
rank 2: round 1250 ok checksum=13448250
rank 2: round 1275 ok checksum=13940300
rank 2: round 1300 ok checksum=14441100
rank 2: round 1325 ok checksum=14950650
rank 2: round 1350 ok checksum=15468950
rank 2: round 1375 ok checksum=15996000
rank 2: round 1400 ok checksum=16531800
rank 2: round 1425 ok checksum=17076350
rank 2: round 1450 ok checksum=17629650
rank 2: round 1475 ok checksum=18191700
rank 2: round 1500 ok checksum=18762500
rank 2: round 1525 ok checksum=19342050
rank 2: round 1550 ok checksum=19930350
rank 2: round 1575 ok checksum=20527400
rank 2: round 1600 ok checksum=21133200
rank 2: round 1625 ok checksum=21747750
rank 2: round 1650 ok checksum=22371050
rank 2: round 1675 ok checksum=23003100
rank 2: round 1700 ok checksum=23643900
rank 2: round 1725 ok checksum=24293450
rank 2: round 1750 ok checksum=24951750
rank 2: round 1775 ok checksum=25618800
rank 2: round 1800 ok checksum=26294600
rank 2: round 1825 ok checksum=26979150
rank 2: round 1850 ok checksum=27672450
rank 2: round 1875 ok checksum=28374500
rank 2: round 1900 ok checksum=29085300
rank 2: round 1925 ok checksum=29804850
rank 2: round 1950 ok checksum=30533150
rank 2: round 1975 ok checksum=31270200
rank 2: round 2000 ok checksum=32016000
rank 2: round 2025 ok checksum=32770550
rank 2: round 2050 ok checksum=33533850
rank 2: round 2075 ok checksum=34305900
rank 2: round 2100 ok checksum=35086700
rank 2: round 2125 ok checksum=35876250
rank 2: round 2150 ok checksum=36674550
rank 2: round 2175 ok checksum=37481600
rank 2: round 2200 ok checksum=38297400
rank 2: round 2225 ok checksum=39121950
rank 2: round 2250 ok checksum=39955250
rank 2: round 2275 ok checksum=40797300
rank 2: round 2300 ok checksum=41648100
rank 2: round 2325 ok checksum=42507650
rank 2: round 2350 ok checksum=43375950
rank 2: round 2375 ok checksum=44253000
rank 2: round 2400 ok checksum=45138800
rank 2: round 2425 ok checksum=46033350
rank 2: round 2450 ok checksum=46936650
rank 2: round 2475 ok checksum=47848700
rank 2: round 2500 ok checksum=48769500
rank 2: round 2525 ok checksum=49699050
rank 2: round 2550 ok checksum=50637350
rank 2: round 2575 ok checksum=51584400
rank 2: round 2600 ok checksum=52540200
rank 2: round 2625 ok checksum=53504750
rank 2: round 2650 ok checksum=54478050
rank 2: round 2675 ok checksum=55460100
rank 2: round 2700 ok checksum=56450900
rank 2: round 2725 ok checksum=57450450
rank 2: round 2750 ok checksum=58458750
rank 2: round 2775 ok checksum=59475800
rank 2: round 2800 ok checksum=60501600
rank 2: round 2825 ok checksum=61536150
rank 2: round 2850 ok checksum=62579450
rank 2: round 2875 ok checksum=63631500
rank 2: round 2900 ok checksum=64692300
rank 2: round 2925 ok checksum=65761850
rank 2: round 2950 ok checksum=66840150
rank 2: round 2975 ok checksum=67927200
rank 2: round 3000 ok checksum=69023000
rank 2: round 3025 ok checksum=70127550
rank 2: round 3050 ok checksum=71240850
rank 2: round 3075 ok checksum=72362900
rank 2: round 3100 ok checksum=73493700
rank 2: round 3125 ok checksum=74633250
rank 2: round 3150 ok checksum=75781550
rank 2: round 3175 ok checksum=76938600
rank 2: round 3200 ok checksum=78104400
