rank 0: start pid=531198 shape=collectives_sweep
rank 0: round 0 ok checksum=6599628727275959548
rank 0: round 25 ok checksum=2807193746798525926
rank 0: round 50 ok checksum=1312963640920366574
rank 0: round 75 ok checksum=6873117355562124882
rank 0: round 100 ok checksum=18287999725203955987
rank 0: round 125 ok checksum=9663330369928071734
rank 0: round 150 ok checksum=4719145716821265230
rank 0: round 175 ok checksum=3740677690587920661
rank 0: round 200 ok checksum=4473999880833308418
rank 0: round 225 ok checksum=14969613900585287518
rank 0: round 250 ok checksum=225700585646635910
rank 0: round 275 ok checksum=10755252974630365674
rank 0: round 300 ok checksum=3872678758502061486
rank 0: round 325 ok checksum=7024608894710263898
rank 0: round 350 ok checksum=7256146774732433824
rank 0: round 375 ok checksum=3685466859519692119
rank 0: round 400 ok checksum=2743881734819104466
rank 0: round 425 ok checksum=9414580702262822881
rank 0: round 450 ok checksum=10664007768595102896
rank 0: round 475 ok checksum=415107145333632668
rank 0: round 500 ok checksum=5589295093548068818
rank 0: round 525 ok checksum=15704823412344170014
rank 0: round 550 ok checksum=624908926383814198
rank 0: round 575 ok checksum=13411658802723733834
rank 0: round 600 ok checksum=4613038817020376756
rank 0: round 625 ok checksum=887175914863405605
rank 0: round 650 ok checksum=5853129286237323584
rank 0: round 675 ok checksum=4992074923647483010
rank 0: round 700 ok checksum=1502293578417704267
rank 0: round 725 ok checksum=5559857810244749343
rank 0: round 750 ok checksum=5943414024213207199
rank 0: round 775 ok checksum=13087645767049409210
rank 0: round 800 ok checksum=13974544123047983810
rank 0: round 825 ok checksum=5672161130891943283
rank 0: round 850 ok checksum=15206399841083520091
rank 0: round 875 ok checksum=11769813475162851439
rank 0: round 900 ok checksum=5571919386176269159
rank 0: round 925 ok checksum=983643259666246635
rank 0: round 950 ok checksum=1179911570692151803
rank 0: round 975 ok checksum=7596160683582251486
rank 0: round 1000 ok checksum=8551619732212437942
rank 0: round 1025 ok checksum=7211093532018535032
rank 0: round 1050 ok checksum=4271979553461364440
rank 0: round 1075 ok checksum=1750179286804749740
rank 0: round 1100 ok checksum=11232644012562492341
rank 0: round 1125 ok checksum=5121605653371001776
rank 0: round 1150 ok checksum=4178114734003851808
rank 0: round 1175 ok checksum=10318640925201830387
rank 0: round 1200 ok checksum=3104650206633343948
rank 0: round 1225 ok checksum=2331515567474969600
rank 0: round 1250 ok checksum=8146906627676683904
rank 0: round 1275 ok checksum=9453360033074782192
rank 0: round 1300 ok checksum=16200834234026090244
rank 0: round 1325 ok checksum=2639159287459951880
rank 0: round 1350 ok checksum=17224644475993794598
rank 0: round 1375 ok checksum=17976044118140991205
rank 0: round 1400 ok checksum=8838536524973411892
rank 0: round 1425 ok checksum=7449895369174847003
rank 0: round 1450 ok checksum=7221092619087556674
rank 0: round 1475 ok checksum=13118698679566607890
rank 0: round 1500 ok checksum=4475413088666711388
rank 0: round 1525 ok checksum=5328907100362722176
rank 0: round 1550 ok checksum=4492820759427516912
rank 0: round 1575 ok checksum=1680542015300669220
rank 0: round 1600 ok checksum=17475104059699896998
rank 0: round 1625 ok checksum=914680123303706351
rank 0: round 1650 ok checksum=15987170935779143010
rank 0: round 1675 ok checksum=2558745601243605956
rank 0: round 1700 ok checksum=13975109286136339305
rank 0: round 1725 ok checksum=1727800746694997653
rank 0: round 1750 ok checksum=14799949803723846793
rank 0: round 1775 ok checksum=1526784941850302148
rank 0: round 1800 ok checksum=3277235582336584844
rank 0: round 1825 ok checksum=15774859453797431061
rank 0: round 1850 ok checksum=10951772590397578093
rank 0: round 1875 ok checksum=14502066085174474913
rank 0: round 1900 ok checksum=17487034308592866201
rank 0: round 1925 ok checksum=18194918842668868853
rank 0: round 1950 ok checksum=6826256714562298577
rank 0: round 1975 ok checksum=16915305093013456504
rank 0: round 2000 ok checksum=17813575506953839760
rank 0: round 2025 ok checksum=12874709783230659882
rank 0: round 2050 ok checksum=1835058907677039190
rank 0: round 2075 ok checksum=5282025849770561074
rank 0: round 2100 ok checksum=2511923852797481819
rank 0: round 2125 ok checksum=15007968016271671470
rank 0: round 2150 ok checksum=5715530984124193958
rank 0: round 2175 ok checksum=10334548316904020965
rank 0: round 2200 ok checksum=4492008705342596030
rank 0: round 2225 ok checksum=13248313595777129674
rank 0: round 2250 ok checksum=2445285249948209262
rank 0: round 2275 ok checksum=9124356075534359114
rank 0: round 2300 ok checksum=18445916485777329054
rank 0: round 2325 ok checksum=1287629512826026874
rank 0: round 2350 ok checksum=15564123321604671160
rank 0: round 2375 ok checksum=10710437817423107047
rank 0: round 2400 ok checksum=14807141949511297974
rank 0: round 2425 ok checksum=10154375736006876789
rank 0: round 2450 ok checksum=4710133516549755324
rank 0: round 2475 ok checksum=236378660116605344
rank 0: round 2500 ok checksum=14515595461759974730
rank 0: round 2525 ok checksum=814793741739533090
rank 0: round 2550 ok checksum=7763333495950223282
rank 0: round 2575 ok checksum=17607980527617183422
rank 0: round 2600 ok checksum=6208636108981552768
rank 0: round 2625 ok checksum=10719971575509393209
rank 0: round 2650 ok checksum=4261860574703060172
rank 0: round 2675 ok checksum=13284816108462798342
rank 0: round 2700 ok checksum=18232813661375928363
rank 0: round 2725 ok checksum=10531548753151339747
rank 0: round 2750 ok checksum=12991783519847074267
rank 0: round 2775 ok checksum=3868631758933678062
rank 0: round 2800 ok checksum=666387321807689846
rank 0: round 2825 ok checksum=14337376282400341387
rank 0: round 2850 ok checksum=8307552250579114347
rank 0: round 2875 ok checksum=13660803364206897655
rank 0: round 2900 ok checksum=9952964349655262351
rank 0: round 2925 ok checksum=12819688602382671347
rank 0: round 2950 ok checksum=14838725844286387963
rank 0: round 2975 ok checksum=1055467688087815546
rank 0: round 3000 ok checksum=18140011378689422354
rank 0: round 3025 ok checksum=12391806061017992976
rank 0: round 3050 ok checksum=15354440613888663656
rank 0: round 3075 ok checksum=16541956542169774108
rank 0: round 3100 ok checksum=8872514550458271237
rank 0: round 3125 ok checksum=6067695573654866296
rank 0: round 3150 ok checksum=2908056625842766560
rank 0: round 3175 ok checksum=9213974704522856183
rank 0: round 3200 ok checksum=11103450637664020944
rank 0: round 3225 ok checksum=14160278151718674940
rank 0: round 3250 ok checksum=16227226343564278772
rank 0: round 3275 ok checksum=5587504661310658088
rank 0: round 3300 ok checksum=5174236779155400824
rank 0: round 3325 ok checksum=2250677735272692852
rank 0: round 3350 ok checksum=10992600323267357962
rank 0: round 3375 ok checksum=5441414215158957585
rank 0: round 3400 ok checksum=49564437901747896
rank 0: round 3425 ok checksum=13842835779510247063
rank 0: round 3450 ok checksum=9104065315414964278
rank 0: round 3475 ok checksum=14158397942259154162
rank 0: round 3500 ok checksum=1728171037037123216
rank 0: round 3525 ok checksum=2179889442700559020
rank 0: round 3550 ok checksum=5489956255231252116
rank 0: round 3575 ok checksum=5099439912599040888
rank 0: round 3600 ok checksum=14822255160657948014
rank 0: round 3625 ok checksum=17323736758681681967
rank 0: round 3650 ok checksum=8489112464808440986
rank 0: round 3675 ok checksum=12019459023885994796
rank 0: round 3700 ok checksum=7737267040557466913
rank 0: round 3725 ok checksum=6925468535505394885
rank 0: round 3750 ok checksum=9030559228850550805
rank 0: round 3775 ok checksum=2053185461562198784
rank 0: round 3800 ok checksum=8707435190382577620
rank 0: round 3825 ok checksum=659573356489783509
rank 0: round 3850 ok checksum=2355806675515243533
rank 0: round 3875 ok checksum=2467233588356209265
rank 0: round 3900 ok checksum=14965246305636296977
rank 0: round 3925 ok checksum=6396122688614534885
rank 0: round 3950 ok checksum=1040933476302954565
rank 0: round 3975 ok checksum=1476546462408584604
rank 0: round 4000 ok checksum=8128180087088154236
rank 0: round 4025 ok checksum=13216926514249203726
rank 0: round 4050 ok checksum=15876030495108697406
rank 0: round 4075 ok checksum=15421131394216449866
rank 0: round 4100 ok checksum=14067013538404043703
rank 0: round 4125 ok checksum=3752311752152420354
rank 0: round 4150 ok checksum=10724896205880670402
rank 0: round 4175 ok checksum=8820723255018696333
rank 0: round 4200 ok checksum=16377205971223579690
rank 0: round 4225 ok checksum=1296982889961535022
rank 0: round 4250 ok checksum=5425971348904235134
rank 0: round 4275 ok checksum=13834934574362533154
rank 0: round 4300 ok checksum=14942036607792571322
rank 0: round 4325 ok checksum=4550767270012551822
rank 0: round 4350 ok checksum=13277911604518595708
rank 0: round 4375 ok checksum=14983593931994370291
rank 0: round 4400 ok checksum=8618571573934028838
rank 0: round 4425 ok checksum=11887195463624684125
rank 0: round 4450 ok checksum=14618714808436419796
rank 0: round 4475 ok checksum=11108937056043835164
rank 0: round 4500 ok checksum=4928647350898469802
rank 0: round 4525 ok checksum=13626289175532814750
rank 0: round 4550 ok checksum=10304203755363634654
rank 0: round 4575 ok checksum=3047782912335373386
rank 0: round 4600 ok checksum=9932102537560440688
rank 0: round 4625 ok checksum=15875859553424397577
