rank 0: start pid=509592 shape=mixed_p2p_collective
rank 0: round 3350 ok checksum=16550344113459934026
rank 0: round 3375 ok checksum=675442371023447572
rank 0: round 3400 ok checksum=1954474476806615378
rank 0: round 3425 ok checksum=17109257590400685714
rank 0: round 3450 ok checksum=8176194033205909246
rank 0: round 3475 ok checksum=8397474203667606580
rank 0: round 3500 ok checksum=8924851370121866030
rank 0: round 3525 ok checksum=17869464934112075226
rank 0: round 3550 ok checksum=2195762096647058882
rank 0: round 3575 ok checksum=12605893397143978852
rank 0: round 3600 ok checksum=15796611028340504474
rank 0: round 3625 ok checksum=17407517084103495076
rank 0: round 3650 ok checksum=4408779398070409626
rank 0: round 3675 ok checksum=14715026142242809338
rank 0: round 3700 ok checksum=1045438139609536062
rank 0: round 3725 ok checksum=7952635383112902004
rank 0: round 3750 ok checksum=5045837955876479590
rank 0: round 3775 ok checksum=14019244547587057906
rank 0: round 3800 ok checksum=1097943922009945074
rank 0: round 3825 ok checksum=3772676393093819988
rank 0: round 3850 ok checksum=949734648358435266
rank 0: round 3875 ok checksum=7848278824865533050
rank 0: round 3900 ok checksum=7012560097975784374
rank 0: round 3925 ok checksum=17786498233483504452
rank 0: round 3950 ok checksum=16958175748857907872
rank 0: round 3975 ok checksum=6025924257181269542
rank 0: round 4000 ok checksum=10051897636483130448
rank 0: round 4025 ok checksum=10354851597728813676
rank 0: round 4050 ok checksum=8531623031169526084
rank 0: round 4075 ok checksum=2933688667430819478
rank 0: round 4100 ok checksum=12872945599932492028
rank 0: round 4125 ok checksum=11663799339656041732
rank 0: round 4150 ok checksum=7715146859525156184
rank 0: round 4175 ok checksum=10241575948496041878
rank 0: round 4200 ok checksum=15505626229403486520
rank 0: round 4225 ok checksum=80764762236817708
rank 0: round 4250 ok checksum=15758133718926839932
rank 0: round 4275 ok checksum=340554610790127000
rank 0: round 4300 ok checksum=9558046306469168904
rank 0: round 4325 ok checksum=2514677945797949754
rank 0: round 4350 ok checksum=5026373048672193112
rank 0: round 4375 ok checksum=4050857663865317408
rank 0: round 4400 ok checksum=8220477963833195084
rank 0: round 4425 ok checksum=13353638460323125802
rank 0: round 4450 ok checksum=3209388484066181060
rank 0: round 4475 ok checksum=8862848293188284472
rank 0: round 4500 ok checksum=10060381490781865120
rank 0: round 4525 ok checksum=10418041430674861098
rank 0: round 4550 ok checksum=9193736734266993600
rank 0: round 4575 ok checksum=8563592413735872736
rank 0: round 4600 ok checksum=13308247613451028726
rank 0: round 4625 ok checksum=1879432994441008334
rank 0: round 4650 ok checksum=2439344871864268050
rank 0: round 4675 ok checksum=13439204088920129376
rank 0: round 4700 ok checksum=15206571878073606450
rank 0: round 4725 ok checksum=15240754824953633654
rank 0: round 4750 ok checksum=12210935475343806774
rank 0: round 4775 ok checksum=4751168123385289968
rank 0: round 4800 ok checksum=14142582573407035902
rank 0: round 4825 ok checksum=14910690796351287470
rank 0: round 4850 ok checksum=13997681213505651050
rank 0: round 4875 ok checksum=14381248379491497104
rank 0: round 4900 ok checksum=8248573333874697818
rank 0: round 4925 ok checksum=6999941598789463912
rank 0: round 4950 ok checksum=14433975685905235890
rank 0: round 4975 ok checksum=9121058573881995414
rank 0: round 5000 ok checksum=4471223483115429358
rank 0: round 5025 ok checksum=3063649414090409992
rank 0: round 5050 ok checksum=15687748763493748302
rank 0: round 5075 ok checksum=11624759130020421438
rank 0: round 5100 ok checksum=10929024295377627986
rank 0: round 5125 ok checksum=993065955913675672
rank 0: round 5150 ok checksum=36237417800647130
rank 0: round 5175 ok checksum=9373060793172842998
rank 0: round 5200 ok checksum=1344317662623244230
rank 0: round 5225 ok checksum=9758793250718402616
rank 0: round 5250 ok checksum=8306413554626005992
rank 0: round 5275 ok checksum=5662892106480685010
rank 0: round 5300 ok checksum=8951497997098932752
rank 0: round 5325 ok checksum=18339653707372833584
rank 0: round 5350 ok checksum=11616514612505820764
rank 0: round 5375 ok checksum=17691898624237191218
rank 0: round 5400 ok checksum=2460296516503046060
rank 0: round 5425 ok checksum=3554367862215949752
rank 0: round 5450 ok checksum=4049599892815521248
rank 0: round 5475 ok checksum=12918979549761278882
rank 0: round 5500 ok checksum=5111901658779951576
rank 0: round 5525 ok checksum=3502057996375567056
rank 0: round 5550 ok checksum=14691277256331187572
rank 0: round 5575 ok checksum=7060747782153084180
rank 0: round 5600 ok checksum=13305709414415768216
rank 0: round 5625 ok checksum=13179828435224876238
rank 0: round 5650 ok checksum=9850485674775360704
rank 0: round 5675 ok checksum=4863777735203554316
rank 0: round 5700 ok checksum=6643484266386487756
rank 0: round 5725 ok checksum=6872570890284316846
rank 0: round 5750 ok checksum=5250514798487754908
rank 0: round 5775 ok checksum=7460530202484455828
rank 0: round 5800 ok checksum=16138143731079581968
rank 0: round 5825 ok checksum=4757901165725073054
rank 0: round 5850 ok checksum=17466682902773771272
rank 0: round 5875 ok checksum=10366041339250698412
rank 0: round 5900 ok checksum=9969076037680837462
rank 0: round 5925 ok checksum=12471500501742320690
rank 0: round 5950 ok checksum=4605451246860404170
rank 0: round 5975 ok checksum=13453857366169988764
rank 0: round 6000 ok checksum=723158735231986306
rank 0: round 6025 ok checksum=825955411829516714
rank 0: round 6050 ok checksum=9490362033985535422
rank 0: round 6075 ok checksum=7300723783842475484
rank 0: round 6100 ok checksum=8859781274069745918
rank 0: round 6125 ok checksum=5631598206312540050
rank 0: round 6150 ok checksum=8517537874834571298
rank 0: round 6175 ok checksum=5258549397506863788
rank 0: round 6200 ok checksum=2075328748172058634
rank 0: round 6225 ok checksum=4648712026670883836
rank 0: round 6250 ok checksum=3535549677798395290
rank 0: round 6275 ok checksum=7520539466077104354
rank 0: round 6300 ok checksum=9257646523180099406
rank 0: round 6325 ok checksum=5605476041186442860
rank 0: round 6350 ok checksum=1832997354284377606
rank 0: round 6375 ok checksum=11851070885942625658
rank 0: round 6400 ok checksum=18158055976911397794
rank 0: round 6425 ok checksum=14489886327062077420
rank 0: round 6450 ok checksum=11057454072031924994
rank 0: round 6475 ok checksum=16544194173933988002
rank 0: round 6500 ok checksum=1466521349589055494
rank 0: round 6525 ok checksum=3592287095767952252
rank 0: round 6550 ok checksum=8789326605840605056
rank 0: round 6575 ok checksum=16290482574085464046
rank 0: round 6600 ok checksum=15010455447522014016
rank 0: round 6625 ok checksum=15912507138197583460
rank 0: round 6650 ok checksum=14807038868834913636
rank 0: round 6675 ok checksum=13944920669138541246
rank 0: round 6700 ok checksum=8030520329481581260
rank 0: round 6725 ok checksum=8054983657631977948
rank 0: round 6750 ok checksum=15285259350245546328
rank 0: round 6775 ok checksum=2028337259745374622
rank 0: round 6800 ok checksum=5262205487397150696
rank 0: round 6825 ok checksum=3812969170299574500
rank 0: round 6850 ok checksum=13628293219243951708
rank 0: round 6875 ok checksum=6778303898354968448
rank 0: round 6900 ok checksum=9766187413132237976
rank 0: round 6925 ok checksum=11031225886978383314
rank 0: round 6950 ok checksum=377076181083532312
rank 0: round 6975 ok checksum=9193940248738419688
rank 0: round 7000 ok checksum=12049316549854765244
rank 0: round 7025 ok checksum=13725440646365810306
rank 0: round 7050 ok checksum=14258686726988726724
rank 0: round 7075 ok checksum=5750810895138316576
rank 0: round 7100 ok checksum=17347892073050829744
rank 0: round 7125 ok checksum=9391894422400500514
rank 0: round 7150 ok checksum=8732717276863323488
rank 0: round 7175 ok checksum=17370429441109447528
rank 0: round 7200 ok checksum=15590091555685168806
rank 0: round 7225 ok checksum=8982698700922659942
rank 0: round 7250 ok checksum=11738822355621223506
rank 0: round 7275 ok checksum=10750950378704144776
rank 0: round 7300 ok checksum=7718634045661291394
rank 0: round 7325 ok checksum=11154359684850080174
rank 0: round 7350 ok checksum=10427783513177281558
rank 0: round 7375 ok checksum=2438115916473568440
rank 0: round 7400 ok checksum=11498068681716805358
rank 0: round 7425 ok checksum=9571609473530901382
rank 0: round 7450 ok checksum=14405882512800196074
rank 0: round 7475 ok checksum=4372802785289318392
rank 0: round 7500 ok checksum=6342661818378195946
rank 0: round 7525 ok checksum=1831066194648902880
rank 0: round 7550 ok checksum=16036473253901937618
rank 0: round 7575 ok checksum=13992089194914250142
rank 0: round 7600 ok checksum=9802316575914893854
rank 0: round 7625 ok checksum=4130895849933493568
rank 0: round 7650 ok checksum=8582240452045641134
rank 0: round 7675 ok checksum=11987066975820356262
rank 0: round 7700 ok checksum=10089643010042746466
rank 0: round 7725 ok checksum=337821982259185072
rank 0: round 7750 ok checksum=17152656979158490394
rank 0: round 7775 ok checksum=2047609702448633662
rank 0: round 7800 ok checksum=15851481115727528886
rank 0: round 7825 ok checksum=5407811221192397104
rank 0: round 7850 ok checksum=13237934497910684936
rank 0: round 7875 ok checksum=4616423042557423866
rank 0: round 7900 ok checksum=9218766107516070112
rank 0: round 7925 ok checksum=17816069536564231432
rank 0: round 7950 ok checksum=9500716644771653468
rank 0: round 7975 ok checksum=565427537149314874
rank 0: round 8000 ok checksum=11829052930977911644
rank 0: round 8025 ok checksum=9424929855473863504
rank 0: round 8050 ok checksum=13732248406301293344
rank 0: round 8075 ok checksum=11566373916960140234
rank 0: round 8100 ok checksum=2440706651208933928
rank 0: round 8125 ok checksum=6990845555225757448
rank 0: round 8150 ok checksum=10552175862058149460
rank 0: round 8175 ok checksum=8221650318432303836
rank 0: round 8200 ok checksum=7416911169876542856
rank 0: round 8225 ok checksum=2371801859534804390
rank 0: round 8250 ok checksum=7054500316931835712
rank 0: round 8275 ok checksum=619135237589273972
rank 0: round 8300 ok checksum=2108952855794689372
rank 0: round 8325 ok checksum=162960240401044518
rank 0: round 8350 ok checksum=17694858691610710716
rank 0: round 8375 ok checksum=4986217130885936284
rank 0: round 8400 ok checksum=10819780163126555456
rank 0: round 8425 ok checksum=12457689126555191990
rank 0: round 8450 ok checksum=4582383696415839176
rank 0: round 8475 ok checksum=11451583748414143316
rank 0: round 8500 ok checksum=5763530148562706982
rank 0: round 8525 ok checksum=17060788703483866858
rank 0: round 8550 ok checksum=6462082295165223210
rank 0: round 8575 ok checksum=1930105153288789732
rank 0: round 8600 ok checksum=5010805175893007346
rank 0: round 8625 ok checksum=10233530666496956450
rank 0: round 8650 ok checksum=13102273207334248542
rank 0: round 8675 ok checksum=7135515675543083140
rank 0: round 8700 ok checksum=17629388047008531790
rank 0: round 8725 ok checksum=7688571406915946218
rank 0: round 8750 ok checksum=3646376580894311074
rank 0: round 8775 ok checksum=11043757528539654964
rank 0: round 8800 ok checksum=11382713494297594170
rank 0: round 8825 ok checksum=15402433851646617140
rank 0: round 8850 ok checksum=16593214109663392250
rank 0: round 8875 ok checksum=14286222217155793226
rank 0: round 8900 ok checksum=8469116469264656222
rank 0: round 8925 ok checksum=14348156063676413316
rank 0: round 8950 ok checksum=18149351858705944134
rank 0: round 8975 ok checksum=7485014215599972290
rank 0: round 9000 ok checksum=14662104052806716562
rank 0: round 9025 ok checksum=10852740163527966404
rank 0: round 9050 ok checksum=9580374980231836546
rank 0: round 9075 ok checksum=955459546606133258
rank 0: round 9100 ok checksum=13000265472855343510
rank 0: round 9125 ok checksum=287759598596293876
rank 0: round 9150 ok checksum=8066602281756231584
rank 0: round 9175 ok checksum=17986230248540809462
rank 0: round 9200 ok checksum=4428188105659945840
rank 0: round 9225 ok checksum=13531685457008877692
rank 0: round 9250 ok checksum=11985983853187121956
rank 0: round 9275 ok checksum=12742288413865991014
rank 0: round 9300 ok checksum=9624365257390047132
rank 0: round 9325 ok checksum=1849182407116096148
rank 0: round 9350 ok checksum=648703996785312440
rank 0: round 9375 ok checksum=3557109081252278246
rank 0: round 9400 ok checksum=3724630509309595480
rank 0: round 9425 ok checksum=6606487247515919932
rank 0: round 9450 ok checksum=8880494972516837724
rank 0: round 9475 ok checksum=5001685400310073704
rank 0: round 9500 ok checksum=5591789779316343976
rank 0: round 9525 ok checksum=3568967997871504842
rank 0: round 9550 ok checksum=12249122107058581176
rank 0: round 9575 ok checksum=6207857660585860976
rank 0: round 9600 ok checksum=1428249210098956140
rank 0: round 9625 ok checksum=13772341673859470906
