rank 1: start pid=509593 shape=mixed_p2p_collective
rank 1: round 0 ok checksum=15484343959657223747
rank 1: round 25 ok checksum=14470255805949046225
rank 1: round 50 ok checksum=10779324321720093202
rank 1: round 75 ok checksum=10354627583699967528
rank 1: round 100 ok checksum=3560044976250104123
rank 1: round 125 ok checksum=8239344972665582887
rank 1: round 150 ok checksum=17472848765299211612
rank 1: round 175 ok checksum=2260295324358323406
rank 1: round 200 ok checksum=16225340751585096821
rank 1: round 225 ok checksum=9725567514073399069
rank 1: round 250 ok checksum=3525550572160990342
rank 1: round 275 ok checksum=18113055358571931156
rank 1: round 300 ok checksum=13484634544471868303
rank 1: round 325 ok checksum=16758477349711633331
rank 1: round 350 ok checksum=407393238161012624
rank 1: round 375 ok checksum=10978027545383614256
rank 1: round 400 ok checksum=7526161629526534561
rank 1: round 425 ok checksum=1561041435660260903
rank 1: round 450 ok checksum=13368611388825425578
rank 1: round 475 ok checksum=5011348526907119558
rank 1: round 500 ok checksum=6135021700218317995
rank 1: round 525 ok checksum=13516210687685850637
rank 1: round 550 ok checksum=15939077283484670372
rank 1: round 575 ok checksum=2332133270615124732
rank 1: round 600 ok checksum=17656898111066737557
rank 1: round 625 ok checksum=1091083450398978195
rank 1: round 650 ok checksum=5073525643594854526
rank 1: round 675 ok checksum=5806657607298105554
rank 1: round 700 ok checksum=464789690407605141
rank 1: round 725 ok checksum=1737302966786147137
rank 1: round 750 ok checksum=15058603956067761158
rank 1: round 775 ok checksum=12612793489605233240
rank 1: round 800 ok checksum=9369153371386508143
rank 1: round 825 ok checksum=8238762948167012375
rank 1: round 850 ok checksum=9436918066616952784
rank 1: round 875 ok checksum=12719679522230750846
rank 1: round 900 ok checksum=8226855638585968425
rank 1: round 925 ok checksum=6235464185687326605
rank 1: round 950 ok checksum=8861395076359061370
rank 1: round 975 ok checksum=15780504187529682244
rank 1: round 1000 ok checksum=15912633011053045027
rank 1: round 1025 ok checksum=1768186540723443321
rank 1: round 1050 ok checksum=590981739855041500
rank 1: round 1075 ok checksum=17487295214186795688
rank 1: round 1100 ok checksum=1159496794589368205
rank 1: round 1125 ok checksum=12802474367043729279
rank 1: round 1150 ok checksum=16044392240085206582
rank 1: round 1175 ok checksum=7748084048570236670
rank 1: round 1200 ok checksum=12189384434328790487
rank 1: round 1225 ok checksum=379585184480650021
rank 1: round 1250 ok checksum=5764466271742975088
rank 1: round 1275 ok checksum=9434454970227383796
rank 1: round 1300 ok checksum=15800987155727620097
rank 1: round 1325 ok checksum=13256042001089374571
rank 1: round 1350 ok checksum=2609912552936874944
rank 1: round 1375 ok checksum=2935591608300399890
rank 1: round 1400 ok checksum=3847102806439872217
rank 1: round 1425 ok checksum=971120025417317217
rank 1: round 1450 ok checksum=11489076535672408810
rank 1: round 1475 ok checksum=14983358837526941272
rank 1: round 1500 ok checksum=14460669867284831731
