rank 0: start pid=512332 shape=mixed_p2p_collective
rank 0: round 0 ok checksum=16932254066000143514
rank 0: round 25 ok checksum=10823065566303805110
rank 0: round 50 ok checksum=3487472181310489156
rank 0: round 75 ok checksum=1341218975508412428
rank 0: round 100 ok checksum=8073241572153291330
rank 0: round 125 ok checksum=8406956753826638918
rank 0: round 150 ok checksum=14435516429524608760
rank 0: round 175 ok checksum=5314455692094543812
rank 0: round 200 ok checksum=8654996324744546462
rank 0: round 225 ok checksum=4701633214798552070
rank 0: round 250 ok checksum=13884008641587415772
rank 0: round 275 ok checksum=7976085808202437292
rank 0: round 300 ok checksum=17360658625967023914
rank 0: round 325 ok checksum=17562870903951450358
rank 0: round 350 ok checksum=7173936208160846064
rank 0: round 375 ok checksum=14160897302282221448
rank 0: round 400 ok checksum=6459124310958400686
rank 0: round 425 ok checksum=446163290671025378
rank 0: round 450 ok checksum=15747119606799981828
rank 0: round 475 ok checksum=3089753971704778272
rank 0: round 500 ok checksum=2385822263700469610
rank 0: round 525 ok checksum=13594867695143780994
rank 0: round 550 ok checksum=9819885710207439944
rank 0: round 575 ok checksum=10945260112753349608
rank 0: round 600 ok checksum=5110857563681435222
rank 0: round 625 ok checksum=14301711455338525010
rank 0: round 650 ok checksum=5533708172650871228
rank 0: round 675 ok checksum=10688850929183712
rank 0: round 700 ok checksum=1381256871630374966
rank 0: round 725 ok checksum=7102125381868544026
rank 0: round 750 ok checksum=9182188345232303596
rank 0: round 775 ok checksum=259991037906186648
rank 0: round 800 ok checksum=2534777954019912594
rank 0: round 825 ok checksum=5469385971437762522
rank 0: round 850 ok checksum=15154184099910494416
rank 0: round 875 ok checksum=275393037550081664
rank 0: round 900 ok checksum=2607482865532463902
rank 0: round 925 ok checksum=9758304627602720970
rank 0: round 950 ok checksum=3655725639558783460
rank 0: round 975 ok checksum=156629151577562520
rank 0: round 1000 ok checksum=10402953813426805210
rank 0: round 1025 ok checksum=9252608420679357486
rank 0: round 1050 ok checksum=14929813325099541424
rank 0: round 1075 ok checksum=8037443279998412076
rank 0: round 1100 ok checksum=8357164495408246742
rank 0: round 1125 ok checksum=9361336312299067406
rank 0: round 1150 ok checksum=5391901656670326836
rank 0: round 1175 ok checksum=10742936652229316404
rank 0: round 1200 ok checksum=3228657235046707714
rank 0: round 1225 ok checksum=15708947893777493278
rank 0: round 1250 ok checksum=12934492833875677928
rank 0: round 1275 ok checksum=6819557865366651756
rank 0: round 1300 ok checksum=17512150377723302750
rank 0: round 1325 ok checksum=4839877679791707742
rank 0: round 1350 ok checksum=5116083386532547216
rank 0: round 1375 ok checksum=15606861995841886364
rank 0: round 1400 ok checksum=15530136006694593270
rank 0: round 1425 ok checksum=2991718466056487134
rank 0: round 1450 ok checksum=3930170944218732340
rank 0: round 1475 ok checksum=4836396206892619332
rank 0: round 1500 ok checksum=17098889258650661442
rank 0: round 1525 ok checksum=2754002966151279758
rank 0: round 1550 ok checksum=10561221020741712392
rank 0: round 1575 ok checksum=10298503219541239324
rank 0: round 1600 ok checksum=6896584039899820222
rank 0: round 1625 ok checksum=16602126164190057582
rank 0: round 1650 ok checksum=5868634406771648012
rank 0: round 1675 ok checksum=1707813350826526440
