rank 2: start pid=512334 shape=mixed_p2p_collective
rank 2: round 0 ok checksum=9105551071631952228
rank 2: round 25 ok checksum=12497432924133196107
rank 2: round 50 ok checksum=17099361337364628759
rank 2: round 75 ok checksum=2256083870421424842
rank 2: round 100 ok checksum=7909345344184226174
rank 2: round 125 ok checksum=3304029170631024501
rank 2: round 150 ok checksum=12348707737788970533
rank 2: round 175 ok checksum=3626108160389247140
rank 2: round 200 ok checksum=11109275009981285148
rank 2: round 225 ok checksum=5552569334601572927
rank 2: round 250 ok checksum=2318357603421938195
rank 2: round 275 ok checksum=17368150448618898974
rank 2: round 300 ok checksum=15195762767362070682
rank 2: round 325 ok checksum=16622621719464466857
rank 2: round 350 ok checksum=8446121416956655841
rank 2: round 375 ok checksum=10988938991570888100
rank 2: round 400 ok checksum=15708703790570500840
rank 2: round 425 ok checksum=11316168413471229103
rank 2: round 450 ok checksum=15549686414116463919
rank 2: round 475 ok checksum=14856855397187235646
rank 2: round 500 ok checksum=16916975985941263814
rank 2: round 525 ok checksum=17184217032202680633
rank 2: round 550 ok checksum=3429693083793050717
rank 2: round 575 ok checksum=8451918677992044664
rank 2: round 600 ok checksum=2599459083512487044
rank 2: round 625 ok checksum=8266044782787846755
rank 2: round 650 ok checksum=11921778812256214635
rank 2: round 675 ok checksum=2954017770679800146
rank 2: round 700 ok checksum=10839694901445464462
rank 2: round 725 ok checksum=9045769630536881757
rank 2: round 750 ok checksum=11846960915894975061
rank 2: round 775 ok checksum=18291917568612355244
rank 2: round 800 ok checksum=5356168973456031660
rank 2: round 825 ok checksum=13907552036150340263
rank 2: round 850 ok checksum=6960038659022948035
rank 2: round 875 ok checksum=10853324573835249574
rank 2: round 900 ok checksum=11192391013890527658
rank 2: round 925 ok checksum=1639248555397165969
rank 2: round 950 ok checksum=3773384201057910289
rank 2: round 975 ok checksum=623866828884283968
rank 2: round 1000 ok checksum=14539740764318939016
rank 2: round 1025 ok checksum=8386333506328840647
rank 2: round 1050 ok checksum=16715967885740380847
rank 2: round 1075 ok checksum=15415964632502969590
rank 2: round 1100 ok checksum=13148404742411276326
rank 2: round 1125 ok checksum=15253127158047973777
rank 2: round 1150 ok checksum=1677741138323271069
rank 2: round 1175 ok checksum=10017075711714662256
rank 2: round 1200 ok checksum=8923503087446273188
rank 2: round 1225 ok checksum=17906202228805733883
rank 2: round 1250 ok checksum=14322056688296481643
rank 2: round 1275 ok checksum=16439075297312553354
rank 2: round 1300 ok checksum=7134126464616692994
rank 2: round 1325 ok checksum=11306743127972290309
rank 2: round 1350 ok checksum=9601672699948871301
rank 2: round 1375 ok checksum=1319595777603592564
rank 2: round 1400 ok checksum=13961434318079464252
rank 2: round 1425 ok checksum=4542453113550286479
rank 2: round 1450 ok checksum=318894955788940979
rank 2: round 1475 ok checksum=8683299856413924782
rank 2: round 1500 ok checksum=2320841521077101306
rank 2: round 1525 ok checksum=3826581620434686649
rank 2: round 1550 ok checksum=10285480808618052033
rank 2: round 1575 ok checksum=8203368273711139208
rank 2: round 1600 ok checksum=197523265018472088
rank 2: round 1625 ok checksum=13060834764081863555
rank 2: round 1650 ok checksum=1732393364521654191
rank 2: round 1675 ok checksum=9298298851291131758
rank 2: round 1700 ok checksum=18009530500900372230
rank 2: round 1725 ok checksum=8052267814210029545
rank 2: round 1750 ok checksum=17198923517182036765
rank 2: round 1775 ok checksum=14866169924519702376
rank 2: round 1800 ok checksum=8808686241541230596
rank 2: round 1825 ok checksum=3550737831293693395
rank 2: round 1850 ok checksum=171923222032025963
rank 2: round 1875 ok checksum=12122158372279066370
rank 2: round 1900 ok checksum=11731421697406686434
rank 2: round 1925 ok checksum=15711077714977831005
rank 2: round 1950 ok checksum=10256770178885780121
