rank 3: start pid=512335 shape=mixed_p2p_collective
rank 3: round 0 ok checksum=3451974067446921029
rank 3: round 25 ok checksum=5680441366762925467
rank 3: round 50 ok checksum=9334134011306555484
rank 3: round 75 ok checksum=3056787427975291698
rank 3: round 100 ok checksum=12548970201460924167
rank 3: round 125 ok checksum=13136761770022064445
rank 3: round 150 ok checksum=16341611715514988562
rank 3: round 175 ok checksum=7275621652152271940
rank 3: round 200 ok checksum=11059095750601275917
rank 3: round 225 ok checksum=7289651976824226495
rank 3: round 250 ok checksum=3764948223401319016
rank 3: round 275 ok checksum=16724934450678188598
rank 3: round 300 ok checksum=5251691751244817075
rank 3: round 325 ok checksum=13753353138055180833
rank 3: round 350 ok checksum=10332921426896908126
rank 3: round 375 ok checksum=13392779159912963956
rank 3: round 400 ok checksum=15449278590172393257
rank 3: round 425 ok checksum=14347437059597300063
rank 3: round 450 ok checksum=13581198094002294996
rank 3: round 475 ok checksum=5490294189896219590
rank 3: round 500 ok checksum=4598199620297436655
rank 3: round 525 ok checksum=17382204664070976545
rank 3: round 550 ok checksum=14036278925373101290
rank 3: round 575 ok checksum=6931045887391153400
rank 3: round 600 ok checksum=9914618417060428373
rank 3: round 625 ok checksum=10463545718528160963
rank 3: round 650 ok checksum=2185124245884849056
rank 3: round 675 ok checksum=7120576458221064970
rank 3: round 700 ok checksum=12201268304621199047
rank 3: round 725 ok checksum=18067934226351100981
rank 3: round 750 ok checksum=10386318017789113330
rank 3: round 775 ok checksum=5440917358546282652
rank 3: round 800 ok checksum=8138076288780761933
rank 3: round 825 ok checksum=8844379459807835703
rank 3: round 850 ok checksum=13416060431777915848
rank 3: round 875 ok checksum=5035817604710359822
rank 3: round 900 ok checksum=14370038223492506995
rank 3: round 925 ok checksum=13990745682870507033
rank 3: round 950 ok checksum=6762561613060523582
rank 3: round 975 ok checksum=4463323070498222688
rank 3: round 1000 ok checksum=1610809005426289977
rank 3: round 1025 ok checksum=18000329247454917063
rank 3: round 1050 ok checksum=1275122648620940868
rank 3: round 1075 ok checksum=12641125621252669774
rank 3: round 1100 ok checksum=9975896404735582527
rank 3: round 1125 ok checksum=17257304314048958025
rank 3: round 1150 ok checksum=3908988893007622554
rank 3: round 1175 ok checksum=2401141878291683904
rank 3: round 1200 ok checksum=13387995060409090789
rank 3: round 1225 ok checksum=16752655143800146091
rank 3: round 1250 ok checksum=10697488422143801232
rank 3: round 1275 ok checksum=948876016988252178
rank 3: round 1300 ok checksum=16087610121388450347
rank 3: round 1325 ok checksum=13992959037632958701
rank 3: round 1350 ok checksum=8140886960782875282
rank 3: round 1375 ok checksum=1625595429826584820
rank 3: round 1400 ok checksum=38913719180346957
rank 3: round 1425 ok checksum=10338638316773950639
rank 3: round 1450 ok checksum=10690524215695196584
rank 3: round 1475 ok checksum=15446831263993899814
rank 3: round 1500 ok checksum=1156839763492343219
rank 3: round 1525 ok checksum=9979107505876735569
rank 3: round 1550 ok checksum=7653090100799929182
rank 3: round 1575 ok checksum=1602824428017904184
rank 3: round 1600 ok checksum=5258042958914196153
rank 3: round 1625 ok checksum=18228142614211130835
rank 3: round 1650 ok checksum=12677854113724618676
rank 3: round 1675 ok checksum=15674174240951765142
rank 3: round 1700 ok checksum=16368364403472608143
rank 3: round 1725 ok checksum=10779807651261003057
rank 3: round 1750 ok checksum=16015682698536104074
rank 3: round 1775 ok checksum=7822614766656896520
rank 3: round 1800 ok checksum=10506041427931457205
rank 3: round 1825 ok checksum=8594004001557055507
rank 3: round 1850 ok checksum=13729407417713138688
rank 3: round 1875 ok checksum=8202171331407079514
rank 3: round 1900 ok checksum=1916340183878852475
rank 3: round 1925 ok checksum=6300292879776901333
rank 3: round 1950 ok checksum=4929318088874207766
rank 3: round 1975 ok checksum=16388801552633247628
rank 3: round 2000 ok checksum=10814692067978960973
rank 3: round 2025 ok checksum=14634219591371787239
rank 3: round 2050 ok checksum=294731847931111048
rank 3: round 2075 ok checksum=4559866010886988286
rank 3: round 2100 ok checksum=5141877905354458355
rank 3: round 2125 ok checksum=892019839860584265
rank 3: round 2150 ok checksum=14076794410664802174
rank 3: round 2175 ok checksum=10511995222802411728
rank 3: round 2200 ok checksum=5428445211540637497
rank 3: round 2225 ok checksum=16496189935789146251
rank 3: round 2250 ok checksum=5166684306493885204
rank 3: round 2275 ok checksum=16597903965137945730
rank 3: round 2300 ok checksum=14893830300979148575
rank 3: round 2325 ok checksum=17647834563508300313
rank 3: round 2350 ok checksum=3209450654082086778
rank 3: round 2375 ok checksum=17001202385797020688
rank 3: round 2400 ok checksum=17731859889653065605
rank 3: round 2425 ok checksum=10450117184812619451
rank 3: round 2450 ok checksum=9007821379586003504
rank 3: round 2475 ok checksum=2148745290325360162
rank 3: round 2500 ok checksum=17735867100788897163
rank 3: round 2525 ok checksum=7393709442745233725
rank 3: round 2550 ok checksum=1091487730465140614
rank 3: round 2575 ok checksum=15058404684050089236
rank 3: round 2600 ok checksum=7047509034385600817
