rank 1: start pid=512333 shape=mixed_p2p_collective
rank 1: round 0 ok checksum=4423459786545080603
rank 1: round 25 ok checksum=18124421977931688927
rank 1: round 50 ok checksum=9879167225841481238
rank 1: round 75 ok checksum=3521326077531194690
rank 1: round 100 ok checksum=6313729718873105261
rank 1: round 125 ok checksum=2950358203365476209
rank 1: round 150 ok checksum=16666710777574331548
rank 1: round 175 ok checksum=631645006923332932
rank 1: round 200 ok checksum=1824676966101378371
rank 1: round 225 ok checksum=14594616843312170979
rank 1: round 250 ok checksum=5992121232446324930
rank 1: round 275 ok checksum=6963823685833274150
rank 1: round 300 ok checksum=7982455357895825849
rank 1: round 325 ok checksum=11894504651238972725
rank 1: round 350 ok checksum=17438877521165404808
rank 1: round 375 ok checksum=4050828034203128148
rank 1: round 400 ok checksum=12147820061568227071
rank 1: round 425 ok checksum=13907926588400789091
rank 1: round 450 ok checksum=9191659629855261902
rank 1: round 475 ok checksum=16120005225109832342
rank 1: round 500 ok checksum=822252931383882389
rank 1: round 525 ok checksum=18014339378696784405
rank 1: round 550 ok checksum=5112855856207695028
rank 1: round 575 ok checksum=3468492728743866808
rank 1: round 600 ok checksum=16122208635902312651
rank 1: round 625 ok checksum=1031237463305028263
rank 1: round 650 ok checksum=8121374199046582842
rank 1: round 675 ok checksum=2840782486858305210
rank 1: round 700 ok checksum=17146994786713930765
rank 1: round 725 ok checksum=7298286373208933961
rank 1: round 750 ok checksum=11429475076043029660
rank 1: round 775 ok checksum=6661003819597526844
rank 1: round 800 ok checksum=8339149827390421859
rank 1: round 825 ok checksum=7559040002174008123
rank 1: round 850 ok checksum=11926370991828191810
rank 1: round 875 ok checksum=15687178855988338078
rank 1: round 900 ok checksum=13269291754495548761
rank 1: round 925 ok checksum=6416979216778659085
rank 1: round 950 ok checksum=1813270322825508232
rank 1: round 975 ok checksum=16085945432580305376
rank 1: round 1000 ok checksum=18179877677977948591
rank 1: round 1025 ok checksum=6896448094854281963
rank 1: round 1050 ok checksum=6667357007840574302
rank 1: round 1075 ok checksum=16895835040302576574
rank 1: round 1100 ok checksum=11372846861544455301
rank 1: round 1125 ok checksum=10131331327790954077
rank 1: round 1150 ok checksum=17017288171709986948
rank 1: round 1175 ok checksum=10053395261279919264
rank 1: round 1200 ok checksum=16317215386946779643
rank 1: round 1225 ok checksum=1005653903255987887
rank 1: round 1250 ok checksum=13633172441884767050
rank 1: round 1275 ok checksum=11490725180759216994
rank 1: round 1300 ok checksum=3683033758450489873
rank 1: round 1325 ok checksum=1127035028175862753
rank 1: round 1350 ok checksum=11473377807029827100
rank 1: round 1375 ok checksum=999838866621593844
rank 1: round 1400 ok checksum=14067608192035675075
rank 1: round 1425 ok checksum=12355562839446544531
rank 1: round 1450 ok checksum=16754639635480682754
rank 1: round 1475 ok checksum=11448820535252070678
rank 1: round 1500 ok checksum=6021780121878418681
rank 1: round 1525 ok checksum=6152219319739709989
rank 1: round 1550 ok checksum=16903987109452548488
rank 1: round 1575 ok checksum=4553270038074291992
rank 1: round 1600 ok checksum=11613183676546707663
rank 1: round 1625 ok checksum=12456922973424597143
rank 1: round 1650 ok checksum=110101693509418926
rank 1: round 1675 ok checksum=13959823624448488806
rank 1: round 1700 ok checksum=10466370139283719541
rank 1: round 1725 ok checksum=12544039475723860709
rank 1: round 1750 ok checksum=744691678895576660
rank 1: round 1775 ok checksum=13686507176557188808
rank 1: round 1800 ok checksum=555795905198532715
rank 1: round 1825 ok checksum=9105677923859294135
rank 1: round 1850 ok checksum=17984730056337533594
rank 1: round 1875 ok checksum=1136637425572578826
rank 1: round 1900 ok checksum=10252520173969829377
rank 1: round 1925 ok checksum=1852536613189450089
rank 1: round 1950 ok checksum=852265437972171904
rank 1: round 1975 ok checksum=12057848893475795756
rank 1: round 2000 ok checksum=16342942125501886563
rank 1: round 2025 ok checksum=1523957431114437355
rank 1: round 2050 ok checksum=4813779486483409410
rank 1: round 2075 ok checksum=8324287062664866190
rank 1: round 2100 ok checksum=17222074860597190873
rank 1: round 2125 ok checksum=15415761836006112317
rank 1: round 2150 ok checksum=10894754563132534728
rank 1: round 2175 ok checksum=4013189364762992976
rank 1: round 2200 ok checksum=4094220372810470383
rank 1: round 2225 ok checksum=13674165886036879983
rank 1: round 2250 ok checksum=14093915852474196782
rank 1: round 2275 ok checksum=988540860121724658
rank 1: round 2300 ok checksum=9982000357471820197
rank 1: round 2325 ok checksum=14554868385023363053
rank 1: round 2350 ok checksum=1347367839580330596
rank 1: round 2375 ok checksum=6736898852013915248
rank 1: round 2400 ok checksum=9185008153838685147
rank 1: round 2425 ok checksum=5349139809570868351
rank 1: round 2450 ok checksum=6088267235470713834
rank 1: round 2475 ok checksum=13896460256181986674
rank 1: round 2500 ok checksum=16196974644809334961
rank 1: round 2525 ok checksum=5776160065713985009
rank 1: round 2550 ok checksum=11284640688514915088
rank 1: round 2575 ok checksum=2925519271675522132
rank 1: round 2600 ok checksum=2186075414128920615
rank 1: round 2625 ok checksum=12260028857001169987
rank 1: round 2650 ok checksum=16765800085277346370
rank 1: round 2675 ok checksum=18094423430105182726
rank 1: round 2700 ok checksum=8355431614317551929
rank 1: round 2725 ok checksum=13950835911517237781
rank 1: round 2750 ok checksum=17132634293712818568
rank 1: round 2775 ok checksum=16587025212215138888
rank 1: round 2800 ok checksum=15673473122520719823
