rank 0: start pid=345534 shape=baseline
rank 0: round 4025 ok checksum=109424667
rank 0: round 4050 ok checksum=110762442
rank 0: round 4075 ok checksum=112108342
rank 0: round 4100 ok checksum=113462367
rank 0: round 4125 ok checksum=114824517
rank 0: round 4150 ok checksum=116194792
rank 0: round 4175 ok checksum=117573192
rank 0: round 4200 ok checksum=118959717
rank 0: round 4225 ok checksum=120354367
rank 0: round 4250 ok checksum=121757142
rank 0: round 4275 ok checksum=123168042
rank 0: round 4300 ok checksum=124587067
rank 0: round 4325 ok checksum=126014217
rank 0: round 4350 ok checksum=127449492
rank 0: round 4375 ok checksum=128892892
rank 0: round 4400 ok checksum=130344417
rank 0: round 4425 ok checksum=131804067
rank 0: round 4450 ok checksum=133271842
rank 0: round 4475 ok checksum=134747742
rank 0: round 4500 ok checksum=136231767
rank 0: round 4525 ok checksum=137723917
rank 0: round 4550 ok checksum=139224192
rank 0: round 4575 ok checksum=140732592
rank 0: round 4600 ok checksum=142249117
rank 0: round 4625 ok checksum=143773767
rank 0: round 4650 ok checksum=145306542
rank 0: round 4675 ok checksum=146847442
rank 0: round 4700 ok checksum=148396467
rank 0: round 4725 ok checksum=149953617
rank 0: round 4750 ok checksum=151518892
rank 0: round 4775 ok checksum=153092292
rank 0: round 4800 ok checksum=154673817
rank 0: round 4825 ok checksum=156263467
rank 0: round 4850 ok checksum=157861242
rank 0: round 4875 ok checksum=159467142
rank 0: round 4900 ok checksum=161081167
rank 0: round 4925 ok checksum=162703317
rank 0: round 4950 ok checksum=164333592
rank 0: round 4975 ok checksum=165971992
rank 0: round 5000 ok checksum=167618517
rank 0: round 5025 ok checksum=169273167
rank 0: round 5050 ok checksum=170935942
rank 0: round 5075 ok checksum=172606842
rank 0: round 5100 ok checksum=174285867
rank 0: round 5125 ok checksum=175973017
rank 0: round 5150 ok checksum=177668292
rank 0: round 5175 ok checksum=179371692
rank 0: round 5200 ok checksum=181083217
rank 0: round 5225 ok checksum=182802867
rank 0: round 5250 ok checksum=184530642
rank 0: round 5275 ok checksum=186266542
rank 0: round 5300 ok checksum=188010567
rank 0: round 5325 ok checksum=189762717
rank 0: round 5350 ok checksum=191522992
rank 0: round 5375 ok checksum=193291392
rank 0: round 5400 ok checksum=195067917
rank 0: round 5425 ok checksum=196852567
rank 0: round 5450 ok checksum=198645342
rank 0: round 5475 ok checksum=200446242
rank 0: round 5500 ok checksum=202255267
rank 0: round 5525 ok checksum=204072417
rank 0: round 5550 ok checksum=205897692
rank 0: round 5575 ok checksum=207731092
rank 0: round 5600 ok checksum=209572617
rank 0: round 5625 ok checksum=211422267
rank 0: round 5650 ok checksum=213280042
rank 0: round 5675 ok checksum=215145942
rank 0: round 5700 ok checksum=217019967
rank 0: round 5725 ok checksum=218902117
rank 0: round 5750 ok checksum=220792392
rank 0: round 5775 ok checksum=222690792
rank 0: round 5800 ok checksum=224597317
