rank 1: start pid=520277 shape=noncommutative
rank 1: round 0 ok checksum=617057438027
rank 1: round 25 ok checksum=16220470464153980899
rank 1: round 50 ok checksum=703618236362499863
rank 1: round 75 ok checksum=17665699658792894216
rank 1: round 100 ok checksum=9617073667427105555
rank 1: round 125 ok checksum=8392715607315142661
rank 1: round 150 ok checksum=6285317067826635542
rank 1: round 175 ok checksum=14011629882173483308
rank 1: round 200 ok checksum=4414281428206039752
rank 1: round 225 ok checksum=7398931095878059758
rank 1: round 250 ok checksum=2333448247250992734
rank 1: round 275 ok checksum=3466923308277852345
rank 1: round 300 ok checksum=12791019693739335658
rank 1: round 325 ok checksum=2516394932931261326
rank 1: round 350 ok checksum=1573835210146962576
rank 1: round 375 ok checksum=8882851685099167704
rank 1: round 400 ok checksum=18238995182392679131
rank 1: round 425 ok checksum=8811580199739500987
rank 1: round 450 ok checksum=8726005833371333943
rank 1: round 475 ok checksum=11021963617278033833
rank 1: round 500 ok checksum=9958734930944385752
rank 1: round 525 ok checksum=15863760826531082837
rank 1: round 550 ok checksum=7427493532642628982
rank 1: round 575 ok checksum=14617543762923820189
rank 1: round 600 ok checksum=4587936379941399113
rank 1: round 625 ok checksum=2312288818624190405
rank 1: round 650 ok checksum=9367345391173518157
rank 1: round 675 ok checksum=11144147616139514509
rank 1: round 700 ok checksum=6378941643292884123
rank 1: round 725 ok checksum=15351594803562276946
rank 1: round 750 ok checksum=13661570806474294983
rank 1: round 775 ok checksum=10248150148468865451
rank 1: round 800 ok checksum=4215680050218700994
rank 1: round 825 ok checksum=2004972407590704893
rank 1: round 850 ok checksum=38929976796685831
rank 1: round 875 ok checksum=14502620871220503073
rank 1: round 900 ok checksum=1511573713259479634
rank 1: round 925 ok checksum=13823180157315661491
rank 1: round 950 ok checksum=14287767555828676478
rank 1: round 975 ok checksum=17722143816090491356
rank 1: round 1000 ok checksum=4808980011318796250
rank 1: round 1025 ok checksum=12124138022788279225
rank 1: round 1050 ok checksum=9367305883460471861
rank 1: round 1075 ok checksum=14622519126294378892
rank 1: round 1100 ok checksum=14852643102643138978
rank 1: round 1125 ok checksum=13287265262474753138
rank 1: round 1150 ok checksum=5586841951414067316
