rank 2: start pid=520278 shape=noncommutative
rank 2: round 0 ok checksum=617057271836
rank 2: round 25 ok checksum=12263461826075539835
rank 2: round 50 ok checksum=7141414403182919971
rank 2: round 75 ok checksum=4932094406122859851
rank 2: round 100 ok checksum=1083940361076058347
rank 2: round 125 ok checksum=16672702527419095191
rank 2: round 150 ok checksum=1687159994354778369
rank 2: round 175 ok checksum=260266620483441374
rank 2: round 200 ok checksum=906846280387721885
rank 2: round 225 ok checksum=1688062244863678053
rank 2: round 250 ok checksum=12737754304570605790
rank 2: round 275 ok checksum=3685553786550273707
rank 2: round 300 ok checksum=15842281377024420876
rank 2: round 325 ok checksum=14076988192834268198
rank 2: round 350 ok checksum=5581686744568200507
rank 2: round 375 ok checksum=14346016897389226737
rank 2: round 400 ok checksum=10719623669201706356
rank 2: round 425 ok checksum=8273883750932880219
rank 2: round 450 ok checksum=9092146882338028145
rank 2: round 475 ok checksum=6718035133604168279
rank 2: round 500 ok checksum=16750884049070946072
rank 2: round 525 ok checksum=10035695816753264951
rank 2: round 550 ok checksum=12964347988018357447
rank 2: round 575 ok checksum=7171386220315239922
rank 2: round 600 ok checksum=1312963860842533456
rank 2: round 625 ok checksum=11643804509042460282
rank 2: round 650 ok checksum=7912579206237354253
rank 2: round 675 ok checksum=14718707508249158284
rank 2: round 700 ok checksum=2558706952934648871
rank 2: round 725 ok checksum=12901063020831202254
rank 2: round 750 ok checksum=4496689103244599651
rank 2: round 775 ok checksum=9042651116229073525
rank 2: round 800 ok checksum=404029365816097142
rank 2: round 825 ok checksum=2660495707072083491
rank 2: round 850 ok checksum=7621779665907078820
rank 2: round 875 ok checksum=8284016142574052300
rank 2: round 900 ok checksum=182886212255046863
rank 2: round 925 ok checksum=15881110370711583722
rank 2: round 950 ok checksum=10129414203851366600
rank 2: round 975 ok checksum=1559039473782560596
rank 2: round 1000 ok checksum=15787941555478556548
rank 2: round 1025 ok checksum=199800144742711758
rank 2: round 1050 ok checksum=10977676484976613656
rank 2: round 1075 ok checksum=9860808136238306717
rank 2: round 1100 ok checksum=13231888567390719597
rank 2: round 1125 ok checksum=7863230323490746529
rank 2: round 1150 ok checksum=12424812819081365764
rank 2: round 1175 ok checksum=8098346042046839169
rank 2: round 1200 ok checksum=2281018139026152413
rank 2: round 1225 ok checksum=7966581022662247879
rank 2: round 1250 ok checksum=8320509533725659853
rank 2: round 1275 ok checksum=18346997404960448844
rank 2: round 1300 ok checksum=11580577176361267997
rank 2: round 1325 ok checksum=6625875318581928084
rank 2: round 1350 ok checksum=1756939780824617659
rank 2: round 1375 ok checksum=5578240853752145363
rank 2: round 1400 ok checksum=14902981933868639301
rank 2: round 1425 ok checksum=10974269322644972818
rank 2: round 1450 ok checksum=14037291252604681752
rank 2: round 1475 ok checksum=16512690210992496024
rank 2: round 1500 ok checksum=13586614462268479140
rank 2: round 1525 ok checksum=15087170624123337778
rank 2: round 1550 ok checksum=11361301998122411851
rank 2: round 1575 ok checksum=14345959443406243734
rank 2: round 1600 ok checksum=9567718586870428017
rank 2: round 1625 ok checksum=15225313741059733334
rank 2: round 1650 ok checksum=17329833905136934975
rank 2: round 1675 ok checksum=5808171830867932087
rank 2: round 1700 ok checksum=4857803368408339734
rank 2: round 1725 ok checksum=2166556669609422464
rank 2: round 1750 ok checksum=9517545067599113746
rank 2: round 1775 ok checksum=9145916933422164568
rank 2: round 1800 ok checksum=17541448930297551175
rank 2: round 1825 ok checksum=10484721882145405758
rank 2: round 1850 ok checksum=2993568672677285165
rank 2: round 1875 ok checksum=1651330999820013033
rank 2: round 1900 ok checksum=11479856629152461309
rank 2: round 1925 ok checksum=11516305651976813917
rank 2: round 1950 ok checksum=12666316842268913982
rank 2: round 1975 ok checksum=7260959335017417973
rank 2: round 2000 ok checksum=11335291068663861283
rank 2: round 2025 ok checksum=4349465563450190408
rank 2: round 2050 ok checksum=14320021580901528137
rank 2: round 2075 ok checksum=6649178071025807006
rank 2: round 2100 ok checksum=659710868379249706
rank 2: round 2125 ok checksum=5011106786628026105
rank 2: round 2150 ok checksum=13404031424679477612
rank 2: round 2175 ok checksum=9821727493659398601
rank 2: round 2200 ok checksum=746217022849214634
rank 2: round 2225 ok checksum=6884940763788538375
rank 2: round 2250 ok checksum=12930894235637982830
rank 2: round 2275 ok checksum=12243617848619369702
rank 2: round 2300 ok checksum=3639803522538107036
rank 2: round 2325 ok checksum=18145448329795671643
rank 2: round 2350 ok checksum=4376441124013380685
rank 2: round 2375 ok checksum=975402339905937886
rank 2: round 2400 ok checksum=5698514729723477364
rank 2: round 2425 ok checksum=5402722865891326485
rank 2: round 2450 ok checksum=8252245109192498197
