rank 3: start pid=520279 shape=noncommutative
rank 3: round 0 ok checksum=617057789104
rank 3: round 25 ok checksum=10041806781671938742
rank 3: round 50 ok checksum=18248749180979134092
rank 3: round 75 ok checksum=15725566063388393799
rank 3: round 100 ok checksum=65030030378704052
rank 3: round 125 ok checksum=5967092776939273943
rank 3: round 150 ok checksum=14437143380167248522
rank 3: round 175 ok checksum=9033705460640561662
rank 3: round 200 ok checksum=10955105225338979837
rank 3: round 225 ok checksum=8604067121678987339
rank 3: round 250 ok checksum=11543067854341860067
rank 3: round 275 ok checksum=5734507473429600989
rank 3: round 300 ok checksum=15671530048683057945
rank 3: round 325 ok checksum=1075901329135428657
rank 3: round 350 ok checksum=10021948512774102801
rank 3: round 375 ok checksum=8680652464794972289
rank 3: round 400 ok checksum=6105497586891147158
rank 3: round 425 ok checksum=1441350610937520699
rank 3: round 450 ok checksum=8048872194216305756
rank 3: round 475 ok checksum=3387452801863893132
rank 3: round 500 ok checksum=7531403748718585244
rank 3: round 525 ok checksum=18379261848318000734
rank 3: round 550 ok checksum=16261525637126756660
rank 3: round 575 ok checksum=4428758976156105126
rank 3: round 600 ok checksum=2097077945200156078
rank 3: round 625 ok checksum=9096959191256793784
rank 3: round 650 ok checksum=16431899880582332606
rank 3: round 675 ok checksum=5262825310067565531
rank 3: round 700 ok checksum=2759647267216462042
rank 3: round 725 ok checksum=6692227059554470593
rank 3: round 750 ok checksum=8902213498671439926
rank 3: round 775 ok checksum=639371802980771257
rank 3: round 800 ok checksum=13903725508927863798
rank 3: round 825 ok checksum=5327667347878174619
rank 3: round 850 ok checksum=7711289289159516447
rank 3: round 875 ok checksum=4211092086341913539
rank 3: round 900 ok checksum=1817625092394509437
rank 3: round 925 ok checksum=1972076680792472781
rank 3: round 950 ok checksum=1002104453548616823
rank 3: round 975 ok checksum=6931389240499058046
rank 3: round 1000 ok checksum=559087408966829333
rank 3: round 1025 ok checksum=11396655861582089954
rank 3: round 1050 ok checksum=3343417894531271886
rank 3: round 1075 ok checksum=5986422230331853142
rank 3: round 1100 ok checksum=12253466778855861242
rank 3: round 1125 ok checksum=5093956749015935462
rank 3: round 1150 ok checksum=7739410252913780056
rank 3: round 1175 ok checksum=8009837665402126862
rank 3: round 1200 ok checksum=6181305033805689232
rank 3: round 1225 ok checksum=6738156525066709722
rank 3: round 1250 ok checksum=12626388727882490398
rank 3: round 1275 ok checksum=12812958352914930966
rank 3: round 1300 ok checksum=5196465565219244787
rank 3: round 1325 ok checksum=16838220877815865402
rank 3: round 1350 ok checksum=17317531000840382540
rank 3: round 1375 ok checksum=13595990030220654468
rank 3: round 1400 ok checksum=718489409609295207
rank 3: round 1425 ok checksum=3287285962209126691
rank 3: round 1450 ok checksum=3800740211269459108
rank 3: round 1475 ok checksum=1194905252915825822
rank 3: round 1500 ok checksum=7586024145070856928
rank 3: round 1525 ok checksum=8670603734320248378
rank 3: round 1550 ok checksum=8316475914502252395
rank 3: round 1575 ok checksum=239538524628367169
rank 3: round 1600 ok checksum=8714233302488187895
rank 3: round 1625 ok checksum=1817889530016664195
rank 3: round 1650 ok checksum=14153157461548895782
rank 3: round 1675 ok checksum=2861995374606864829
rank 3: round 1700 ok checksum=11552257003363663436
rank 3: round 1725 ok checksum=2025952564162440322
rank 3: round 1750 ok checksum=14155047929000588670
rank 3: round 1775 ok checksum=9045896321645025525
rank 3: round 1800 ok checksum=12305569793636136329
rank 3: round 1825 ok checksum=7034717215685256265
rank 3: round 1850 ok checksum=7207640848026049993
rank 3: round 1875 ok checksum=8598690700563857545
rank 3: round 1900 ok checksum=17613068873763548699
rank 3: round 1925 ok checksum=5890393165501524769
rank 3: round 1950 ok checksum=5170809424118112508
rank 3: round 1975 ok checksum=3667089104601289784
rank 3: round 2000 ok checksum=3282620708179301416
rank 3: round 2025 ok checksum=17568998125877797939
rank 3: round 2050 ok checksum=16298923438677340864
rank 3: round 2075 ok checksum=17354441083898380035
rank 3: round 2100 ok checksum=16640189263390012809
rank 3: round 2125 ok checksum=17189359326037958228
rank 3: round 2150 ok checksum=10300160526445654995
rank 3: round 2175 ok checksum=4060901271211654795
rank 3: round 2200 ok checksum=6773727621678729083
rank 3: round 2225 ok checksum=7547488740771661113
rank 3: round 2250 ok checksum=6550586476565903930
rank 3: round 2275 ok checksum=5766016595713240101
rank 3: round 2300 ok checksum=14141992402519486826
rank 3: round 2325 ok checksum=36463606651860144
rank 3: round 2350 ok checksum=7137447796194461843
rank 3: round 2375 ok checksum=10807085165625774884
rank 3: round 2400 ok checksum=14140607841574995716
rank 3: round 2425 ok checksum=6107059966032088517
rank 3: round 2450 ok checksum=3460628182934238181
rank 3: round 2475 ok checksum=12162763297153277893
rank 3: round 2500 ok checksum=7040944502265505251
rank 3: round 2525 ok checksum=14516252556680650884
rank 3: round 2550 ok checksum=15032991934037532520
rank 3: round 2575 ok checksum=9258671814644717409
rank 3: round 2600 ok checksum=9471904499428175396
rank 3: round 2625 ok checksum=11783258857128153802
rank 3: round 2650 ok checksum=18123893937886499933
rank 3: round 2675 ok checksum=449054622119293643
rank 3: round 2700 ok checksum=552421510200910233
rank 3: round 2725 ok checksum=12389857361167940753
rank 3: round 2750 ok checksum=12212442366793977468
