rank 0: start pid=520276 shape=noncommutative
rank 0: round 3350 ok checksum=10589925701322203677
rank 0: round 3375 ok checksum=2671356464167912573
rank 0: round 3400 ok checksum=5940465200781784452
rank 0: round 3425 ok checksum=8884983098346346857
rank 0: round 3450 ok checksum=4596974982574615861
rank 0: round 3475 ok checksum=7241978086766650411
rank 0: round 3500 ok checksum=6129220815737871511
rank 0: round 3525 ok checksum=4005462129393690352
rank 0: round 3550 ok checksum=11800056012132398484
rank 0: round 3575 ok checksum=9825713249018432110
rank 0: round 3600 ok checksum=3007311534872761434
rank 0: round 3625 ok checksum=2228761941958273214
rank 0: round 3650 ok checksum=10408610255938399946
rank 0: round 3675 ok checksum=13260864260771972989
rank 0: round 3700 ok checksum=6868253012453013945
rank 0: round 3725 ok checksum=13870169756143807559
rank 0: round 3750 ok checksum=15103828747993133369
rank 0: round 3775 ok checksum=11460541493201166983
rank 0: round 3800 ok checksum=3036011230046743361
rank 0: round 3825 ok checksum=2680185188747639072
rank 0: round 3850 ok checksum=12529962781386110715
rank 0: round 3875 ok checksum=6665923987017263669
rank 0: round 3900 ok checksum=11077161769610313033
rank 0: round 3925 ok checksum=1376117539050882665
rank 0: round 3950 ok checksum=15063255632865125841
rank 0: round 3975 ok checksum=14095967546325750996
rank 0: round 4000 ok checksum=5753509507970245649
rank 0: round 4025 ok checksum=757659950705266215
rank 0: round 4050 ok checksum=7572669260957050537
rank 0: round 4075 ok checksum=7913271535300351634
rank 0: round 4100 ok checksum=3033617420645627232
rank 0: round 4125 ok checksum=12885096286649586246
rank 0: round 4150 ok checksum=3065997411561422877
rank 0: round 4175 ok checksum=9265373545997332757
rank 0: round 4200 ok checksum=8151242939567876717
rank 0: round 4225 ok checksum=9945392765588594809
rank 0: round 4250 ok checksum=7957593710854288560
rank 0: round 4275 ok checksum=2975658097353794061
rank 0: round 4300 ok checksum=16931768344121633065
rank 0: round 4325 ok checksum=15660263346714776263
rank 0: round 4350 ok checksum=5368894645234940564
rank 0: round 4375 ok checksum=12527589811460333170
rank 0: round 4400 ok checksum=13629083654396473814
rank 0: round 4425 ok checksum=7123151394236421405
rank 0: round 4450 ok checksum=14485965165794421218
rank 0: round 4475 ok checksum=7804023762578341410
rank 0: round 4500 ok checksum=10955827163454430712
rank 0: round 4525 ok checksum=11565753093164761484
rank 0: round 4550 ok checksum=7851265320437884983
rank 0: round 4575 ok checksum=11238502722156313739
rank 0: round 4600 ok checksum=599519810857379665
rank 0: round 4625 ok checksum=6171906530940041322
rank 0: round 4650 ok checksum=3627956569185486034
rank 0: round 4675 ok checksum=15040983722141738444
rank 0: round 4700 ok checksum=3978167107706341711
rank 0: round 4725 ok checksum=2543133709390917302
rank 0: round 4750 ok checksum=13396864562922315458
rank 0: round 4775 ok checksum=7904823543242725006
rank 0: round 4800 ok checksum=3820858928269585232
rank 0: round 4825 ok checksum=13778173136837129816
rank 0: round 4850 ok checksum=17235986737456710739
rank 0: round 4875 ok checksum=5591881630556219882
rank 0: round 4900 ok checksum=12350605647393739030
rank 0: round 4925 ok checksum=10130934155387582592
rank 0: round 4950 ok checksum=14577707625449669004
rank 0: round 4975 ok checksum=6079281338186132124
rank 0: round 5000 ok checksum=5948680336080729522
rank 0: round 5025 ok checksum=15880776696551048754
rank 0: round 5050 ok checksum=15605541893113993227
rank 0: round 5075 ok checksum=15733367679498072047
rank 0: round 5100 ok checksum=6539802374897456565
rank 0: round 5125 ok checksum=13224715518077569553
rank 0: round 5150 ok checksum=7729121972678134519
rank 0: round 5175 ok checksum=7545392220558244128
rank 0: round 5200 ok checksum=13448366829210679594
rank 0: round 5225 ok checksum=147355718359682602
rank 0: round 5250 ok checksum=1660531005738632713
rank 0: round 5275 ok checksum=12759285035191664149
rank 0: round 5300 ok checksum=12168390034698310470
rank 0: round 5325 ok checksum=10615547446728088344
rank 0: round 5350 ok checksum=12362695416774382726
rank 0: round 5375 ok checksum=3476813185259965287
rank 0: round 5400 ok checksum=5601733842704017750
rank 0: round 5425 ok checksum=1986125560973486298
rank 0: round 5450 ok checksum=6846925006707906916
rank 0: round 5475 ok checksum=16655654359908184314
rank 0: round 5500 ok checksum=2658593673588845777
rank 0: round 5525 ok checksum=9838328748858624262
rank 0: round 5550 ok checksum=4903020539317289471
rank 0: round 5575 ok checksum=14417075131148024963
rank 0: round 5600 ok checksum=11920654078648870501
rank 0: round 5625 ok checksum=697767047401645063
rank 0: round 5650 ok checksum=12062479850406107085
rank 0: round 5675 ok checksum=5193949851963719538
rank 0: round 5700 ok checksum=16596628376705064204
rank 0: round 5725 ok checksum=1241402466287742590
