rank 0: start pid=523330 shape=collectives_sweep
rank 0: round 0 ok checksum=5458100182765961558
rank 0: round 25 ok checksum=8882796987309197290
rank 0: round 50 ok checksum=18127566674667711589
rank 0: round 75 ok checksum=12817191558295023201
rank 0: round 100 ok checksum=14451988397378764459
rank 0: round 125 ok checksum=12279934371108865990
rank 0: round 150 ok checksum=8799473238781018939
rank 0: round 175 ok checksum=18158190200012813812
rank 0: round 200 ok checksum=18265095205122520384
rank 0: round 225 ok checksum=2466172721242506851
rank 0: round 250 ok checksum=9485608263125453234
rank 0: round 275 ok checksum=9580767350696985507
rank 0: round 300 ok checksum=14890126148805778605
rank 0: round 325 ok checksum=7554171730866296560
rank 0: round 350 ok checksum=9376508000511475812
rank 0: round 375 ok checksum=5524408290546063004
rank 0: round 400 ok checksum=9295610044092303012
rank 0: round 425 ok checksum=6666603737057273199
rank 0: round 450 ok checksum=9523905669889457331
rank 0: round 475 ok checksum=5020297508172788417
rank 0: round 500 ok checksum=397800417376422461
rank 0: round 525 ok checksum=1304460282560618605
rank 0: round 550 ok checksum=11288427363026716422
rank 0: round 575 ok checksum=12877857443653035112
rank 0: round 600 ok checksum=12016241176435762631
rank 0: round 625 ok checksum=12304537737802738156
rank 0: round 650 ok checksum=684156205687836733
rank 0: round 675 ok checksum=10551981996887103079
rank 0: round 700 ok checksum=15001352235768182936
rank 0: round 725 ok checksum=16979769461428274200
rank 0: round 750 ok checksum=1538437768717189382
rank 0: round 775 ok checksum=3199701073153871901
rank 0: round 800 ok checksum=7634858096984251708
rank 0: round 825 ok checksum=3676769213252326641
rank 0: round 850 ok checksum=10237739537258508018
rank 0: round 875 ok checksum=11351556602959715564
rank 0: round 900 ok checksum=18400593000150555468
rank 0: round 925 ok checksum=79779429614603211
rank 0: round 950 ok checksum=7429256062694384542
rank 0: round 975 ok checksum=6004333073538060110
rank 0: round 1000 ok checksum=18042459719051063497
rank 0: round 1025 ok checksum=16683745193288915021
rank 0: round 1050 ok checksum=5655587048470392
rank 0: round 1075 ok checksum=7282921127396210588
rank 0: round 1100 ok checksum=7462748790905228734
rank 0: round 1125 ok checksum=15659549303737815497
rank 0: round 1150 ok checksum=13409332751246549486
rank 0: round 1175 ok checksum=14482772247811081935
rank 0: round 1200 ok checksum=7810447034721414619
rank 0: round 1225 ok checksum=4248958952108059182
rank 0: round 1250 ok checksum=7540995977204870253
rank 0: round 1275 ok checksum=18328956649386898750
rank 0: round 1300 ok checksum=9296298336022997224
rank 0: round 1325 ok checksum=8661116087928817755
rank 0: round 1350 ok checksum=12627811611268786879
rank 0: round 1375 ok checksum=15212402303011950039
rank 0: round 1400 ok checksum=14118814888346789031
rank 0: round 1425 ok checksum=4014795459497722594
rank 0: round 1450 ok checksum=13045881946513667926
rank 0: round 1475 ok checksum=622273689360949180
rank 0: round 1500 ok checksum=18017254500434431968
rank 0: round 1525 ok checksum=17237780772721672064
rank 0: round 1550 ok checksum=15028030228995038537
rank 0: round 1575 ok checksum=2208626957848462595
rank 0: round 1600 ok checksum=5333710675498770290
rank 0: round 1625 ok checksum=6807393307368935751
rank 0: round 1650 ok checksum=10147801182246608136
rank 0: round 1675 ok checksum=17568110583650551754
rank 0: round 1700 ok checksum=15446613650760878379
rank 0: round 1725 ok checksum=3775110902363196315
rank 0: round 1750 ok checksum=15331994550904928569
rank 0: round 1775 ok checksum=3224542003423234088
rank 0: round 1800 ok checksum=1045128408869212895
rank 0: round 1825 ok checksum=4218431549263031044
rank 0: round 1850 ok checksum=13546660569132894317
rank 0: round 1875 ok checksum=16826304136610504319
rank 0: round 1900 ok checksum=876100124113734543
rank 0: round 1925 ok checksum=18340915158854872702
rank 0: round 1950 ok checksum=1994441179927041465
rank 0: round 1975 ok checksum=16236445356807915905
rank 0: round 2000 ok checksum=4664182180117889300
rank 0: round 2025 ok checksum=11478459736233529160
rank 0: round 2050 ok checksum=15843118804096448019
rank 0: round 2075 ok checksum=15749090699048412055
rank 0: round 2100 ok checksum=10557571285131248809
rank 0: round 2125 ok checksum=9041920484983136612
rank 0: round 2150 ok checksum=906907177818517289
rank 0: round 2175 ok checksum=6074435337483646826
rank 0: round 2200 ok checksum=10058302139548270862
rank 0: round 2225 ok checksum=5416556096203428945
rank 0: round 2250 ok checksum=15468186223815713064
rank 0: round 2275 ok checksum=8123961421699676641
rank 0: round 2300 ok checksum=14868491104393440955
rank 0: round 2325 ok checksum=12908738738669467422
rank 0: round 2350 ok checksum=14942723282901832730
rank 0: round 2375 ok checksum=3709780632515740442
rank 0: round 2400 ok checksum=8689571491795541250
rank 0: round 2425 ok checksum=1166038051126213741
rank 0: round 2450 ok checksum=8555495294380941241
rank 0: round 2475 ok checksum=14772586572801317647
rank 0: round 2500 ok checksum=14167708029193150435
rank 0: round 2525 ok checksum=14754098934059571187
rank 0: round 2550 ok checksum=8266677892134845396
rank 0: round 2575 ok checksum=12813827371177042366
rank 0: round 2600 ok checksum=1521398729924122821
rank 0: round 2625 ok checksum=4524221221626626370
rank 0: round 2650 ok checksum=12408842215963108699
rank 0: round 2675 ok checksum=12954833001745860749
rank 0: round 2700 ok checksum=10093533311621308446
rank 0: round 2725 ok checksum=6466322364486368566
rank 0: round 2750 ok checksum=6159489577683729196
rank 0: round 2775 ok checksum=16311063801286839435
rank 0: round 2800 ok checksum=15041111445700428890
rank 0: round 2825 ok checksum=8622979153858720479
rank 0: round 2850 ok checksum=12036221187377501800
rank 0: round 2875 ok checksum=4103427788888154922
rank 0: round 2900 ok checksum=7268822661026053802
rank 0: round 2925 ok checksum=14005800286781974009
rank 0: round 2950 ok checksum=13340432194244133204
rank 0: round 2975 ok checksum=15651475641034282444
rank 0: round 3000 ok checksum=2888048899545251575
rank 0: round 3025 ok checksum=7885487762379271683
rank 0: round 3050 ok checksum=9036356173900536310
rank 0: round 3075 ok checksum=14187590949831009898
rank 0: round 3100 ok checksum=14876359754249635884
rank 0: round 3125 ok checksum=6568743321950801343
rank 0: round 3150 ok checksum=9004497901551432876
rank 0: round 3175 ok checksum=15094356880723600861
rank 0: round 3200 ok checksum=17367743385762576793
rank 0: round 3225 ok checksum=13483732457496556532
rank 0: round 3250 ok checksum=13657982585782959483
rank 0: round 3275 ok checksum=14172207966486752932
rank 0: round 3300 ok checksum=2625336964106213806
rank 0: round 3325 ok checksum=17228201498078354537
rank 0: round 3350 ok checksum=16927516042761280853
rank 0: round 3375 ok checksum=6000539533866843653
rank 0: round 3400 ok checksum=8704754314430979005
rank 0: round 3425 ok checksum=13945716475821941184
rank 0: round 3450 ok checksum=2197320054666800444
rank 0: round 3475 ok checksum=11073094466828515458
rank 0: round 3500 ok checksum=1878207395275530558
rank 0: round 3525 ok checksum=6954509716316557286
rank 0: round 3550 ok checksum=11527060104918523383
rank 0: round 3575 ok checksum=13159498551911454161
rank 0: round 3600 ok checksum=821962000213665824
rank 0: round 3625 ok checksum=6756320698434454909
rank 0: round 3650 ok checksum=800191286011290118
rank 0: round 3675 ok checksum=3323290695296503656
rank 0: round 3700 ok checksum=12800904092577306649
rank 0: round 3725 ok checksum=17153876856440737809
rank 0: round 3750 ok checksum=12196457111877462135
rank 0: round 3775 ok checksum=2000382032500975110
rank 0: round 3800 ok checksum=4681839603377602901
rank 0: round 3825 ok checksum=18070299361003649090
rank 0: round 3850 ok checksum=16356093525793988219
rank 0: round 3875 ok checksum=16301692517631048109
rank 0: round 3900 ok checksum=2999960532542716485
rank 0: round 3925 ok checksum=11903760915022501372
rank 0: round 3950 ok checksum=4621689381341541895
rank 0: round 3975 ok checksum=7374590268653116143
rank 0: round 4000 ok checksum=1529828457665755162
rank 0: round 4025 ok checksum=12344046983843484566
rank 0: round 4050 ok checksum=1405991421841969593
rank 0: round 4075 ok checksum=9924539531299465245
rank 0: round 4100 ok checksum=15604474304118978167
rank 0: round 4125 ok checksum=2026741484341545914
rank 0: round 4150 ok checksum=4286937158727957015
rank 0: round 4175 ok checksum=12951992656834088056
rank 0: round 4200 ok checksum=9010331710304945196
rank 0: round 4225 ok checksum=11689238868816497783
rank 0: round 4250 ok checksum=18105292577346979246
rank 0: round 4275 ok checksum=15157546332432052735
rank 0: round 4300 ok checksum=10094767590687188961
rank 0: round 4325 ok checksum=7076633954235445900
rank 0: round 4350 ok checksum=5214578733566909736
rank 0: round 4375 ok checksum=855014482113318144
rank 0: round 4400 ok checksum=11712676952717126776
rank 0: round 4425 ok checksum=5276143260488569515
rank 0: round 4450 ok checksum=6447450930242722327
rank 0: round 4475 ok checksum=18307951032878774589
rank 0: round 4500 ok checksum=16553159199165974937
rank 0: round 4525 ok checksum=415595926435279473
rank 0: round 4550 ok checksum=6538897007525402226
rank 0: round 4575 ok checksum=1644588037383929900
rank 0: round 4600 ok checksum=15896937020339970883
rank 0: round 4625 ok checksum=16214102811806055696
rank 0: round 4650 ok checksum=16025371895251467209
rank 0: round 4675 ok checksum=8342569153573349507
rank 0: round 4700 ok checksum=7749469828898709212
rank 0: round 4725 ok checksum=16904417020447919428
rank 0: round 4750 ok checksum=3316133435864302042
rank 0: round 4775 ok checksum=18381143240248463753
rank 0: round 4800 ok checksum=15696688040107489896
rank 0: round 4825 ok checksum=11156663718202737477
rank 0: round 4850 ok checksum=2832246175987203374
rank 0: round 4875 ok checksum=14527393362947589432
rank 0: round 4900 ok checksum=15091536469935724352
rank 0: round 4925 ok checksum=14735649583984383527
rank 0: round 4950 ok checksum=15002170762777599266
rank 0: round 4975 ok checksum=18164090822338728482
rank 0: round 5000 ok checksum=8865680302414105565
rank 0: round 5025 ok checksum=5011920635174563017
rank 0: round 5050 ok checksum=15014564623548160852
rank 0: round 5075 ok checksum=11323911153335979728
rank 0: round 5100 ok checksum=6024691261806168282
rank 0: round 5125 ok checksum=15677911973707928973
rank 0: round 5150 ok checksum=10201197569159913554
rank 0: round 5175 ok checksum=16497467818637496267
rank 0: round 5200 ok checksum=17372877524114057111
rank 0: round 5225 ok checksum=13955622139726578578
rank 0: round 5250 ok checksum=15176885911120099689
rank 0: round 5275 ok checksum=2889825602467008538
rank 0: round 5300 ok checksum=14252594486185268716
rank 0: round 5325 ok checksum=7766934235934393927
rank 0: round 5350 ok checksum=8903998316237194115
rank 0: round 5375 ok checksum=3208540508010656699
rank 0: round 5400 ok checksum=10386128895694491595
rank 0: round 5425 ok checksum=8038416854834840046
rank 0: round 5450 ok checksum=1474124888901619954
rank 0: round 5475 ok checksum=15355855601284252928
rank 0: round 5500 ok checksum=4432548450873615244
rank 0: round 5525 ok checksum=5338161912025369172
rank 0: round 5550 ok checksum=802606746718585653
rank 0: round 5575 ok checksum=8432872708850302231
rank 0: round 5600 ok checksum=17686193559860327366
rank 0: round 5625 ok checksum=13262585319794422019
rank 0: round 5650 ok checksum=13225626969945635540
rank 0: round 5675 ok checksum=13321762811567644862
rank 0: round 5700 ok checksum=8289280767027276807
rank 0: round 5725 ok checksum=14600065076312919327
rank 0: round 5750 ok checksum=5729603940740066317
rank 0: round 5775 ok checksum=10965812078018825572
rank 0: round 5800 ok checksum=12534047631492627675
rank 0: round 5825 ok checksum=10186219184280410464
rank 0: round 5850 ok checksum=10637092127364141217
rank 0: round 5875 ok checksum=13882724559504391707
rank 0: round 5900 ok checksum=15375466861902535507
rank 0: round 5925 ok checksum=1820031394786816482
rank 0: round 5950 ok checksum=15267532238915784245
rank 0: round 5975 ok checksum=11628861227223028389
rank 0: round 6000 ok checksum=3226391390988579704
rank 0: round 6025 ok checksum=3832379151603863492
rank 0: round 6050 ok checksum=8816696248059179375
rank 0: round 6075 ok checksum=13323011133527527579
rank 0: round 6100 ok checksum=4838266153270539797
rank 0: round 6125 ok checksum=13011760077524585512
rank 0: round 6150 ok checksum=1432010215481268237
rank 0: round 6175 ok checksum=6342613737861004598
rank 0: round 6200 ok checksum=10856883271323816090
rank 0: round 6225 ok checksum=15248860057657784941
rank 0: round 6250 ok checksum=16343294267761781356
rank 0: round 6275 ok checksum=6562031600846970125
rank 0: round 6300 ok checksum=17644342086584739983
rank 0: round 6325 ok checksum=12938982281013655178
rank 0: round 6350 ok checksum=13852929267190326574
rank 0: round 6375 ok checksum=1111730864546775190
rank 0: round 6400 ok checksum=5021919789484864318
rank 0: round 6425 ok checksum=13838807395211558073
rank 0: round 6450 ok checksum=163016998001369773
rank 0: round 6475 ok checksum=5676498261385626475
rank 0: round 6500 ok checksum=16725935289169262183
rank 0: round 6525 ok checksum=15980853372040761287
rank 0: round 6550 ok checksum=11405254865467969936
rank 0: round 6575 ok checksum=10591544111317269026
rank 0: round 6600 ok checksum=9723362390719893153
rank 0: round 6625 ok checksum=9471251445107918710
rank 0: round 6650 ok checksum=10173071367694341751
rank 0: round 6675 ok checksum=15188031221815308625
rank 0: round 6700 ok checksum=5837316698642369922
rank 0: round 6725 ok checksum=4574470539665070642
rank 0: round 6750 ok checksum=14104847195119820880
rank 0: round 6775 ok checksum=480270992654325911
rank 0: round 6800 ok checksum=14449420413336800598
rank 0: round 6825 ok checksum=15840732838450035643
rank 0: round 6850 ok checksum=1371465927164760172
rank 0: round 6875 ok checksum=8424437118318638358
rank 0: round 6900 ok checksum=7723737117128423534
rank 0: round 6925 ok checksum=12288373449999722205
rank 0: round 6950 ok checksum=7302778771995861664
rank 0: round 6975 ok checksum=9079193760609394752
rank 0: round 7000 ok checksum=6511357400089878163
rank 0: round 7025 ok checksum=10005539130432825415
rank 0: round 7050 ok checksum=9486132723235158434
rank 0: round 7075 ok checksum=9566415662884314174
rank 0: round 7100 ok checksum=3432405533819158040
rank 0: round 7125 ok checksum=3323802568707142867
rank 0: round 7150 ok checksum=8168047669960293288
rank 0: round 7175 ok checksum=4731865583408906625
rank 0: round 7200 ok checksum=12654771427882168677
rank 0: round 7225 ok checksum=6564837212542981608
rank 0: round 7250 ok checksum=8870019058815828055
rank 0: round 7275 ok checksum=11908161006887030568
rank 0: round 7300 ok checksum=11183999776529339266
rank 0: round 7325 ok checksum=10659888977188331429
rank 0: round 7350 ok checksum=5045852383049007801
rank 0: round 7375 ok checksum=8983160477763892305
rank 0: round 7400 ok checksum=7683078298457363697
rank 0: round 7425 ok checksum=15052677386516068700
rank 0: round 7450 ok checksum=4323668939128513536
rank 0: round 7475 ok checksum=2799082339408567526
rank 0: round 7500 ok checksum=9403649121169276858
rank 0: round 7525 ok checksum=18256098309357473290
rank 0: round 7550 ok checksum=6864211266904796803
rank 0: round 7575 ok checksum=16296628481213489981
rank 0: round 7600 ok checksum=5657145665666159484
rank 0: round 7625 ok checksum=11880576316602171777
rank 0: round 7650 ok checksum=9683523369187207538
rank 0: round 7675 ok checksum=17427907532490587436
rank 0: round 7700 ok checksum=17152164993231924733
rank 0: round 7725 ok checksum=13447078079462517213
rank 0: round 7750 ok checksum=15357397176929239787
rank 0: round 7775 ok checksum=1998758207689437714
rank 0: round 7800 ok checksum=10868092760704590233
rank 0: round 7825 ok checksum=9253206420259973486
rank 0: round 7850 ok checksum=8497881967179154767
rank 0: round 7875 ok checksum=11625182175007288089
rank 0: round 7900 ok checksum=11572959416550939737
rank 0: round 7925 ok checksum=8134340567009422200
rank 0: round 7950 ok checksum=1908414099033696171
rank 0: round 7975 ok checksum=13916047266463540651
rank 0: round 8000 ok checksum=16335733990899832334
rank 0: round 8025 ok checksum=14412548800478227954
rank 0: round 8050 ok checksum=13947262455973091645
rank 0: round 8075 ok checksum=18081051755376675057
rank 0: round 8100 ok checksum=3654034188743633971
rank 0: round 8125 ok checksum=6593064475944002334
rank 0: round 8150 ok checksum=11448613816440419811
rank 0: round 8175 ok checksum=5733172971571853524
rank 0: round 8200 ok checksum=245482850177187656
rank 0: round 8225 ok checksum=14238493911632424507
rank 0: round 8250 ok checksum=2820268311265465874
rank 0: round 8275 ok checksum=12034416213911623419
rank 0: round 8300 ok checksum=2433446623826469893
rank 0: round 8325 ok checksum=16217306254897826968
rank 0: round 8350 ok checksum=1185273656306694420
rank 0: round 8375 ok checksum=440196106467196100
rank 0: round 8400 ok checksum=18218898474751854460
rank 0: round 8425 ok checksum=11456437271508241559
rank 0: round 8450 ok checksum=2137623913163294939
rank 0: round 8475 ok checksum=10286924052086999329
rank 0: round 8500 ok checksum=12375953641451675877
rank 0: round 8525 ok checksum=16498696532226490853
rank 0: round 8550 ok checksum=9796195780592511486
rank 0: round 8575 ok checksum=16789969466907696152
rank 0: round 8600 ok checksum=7890814542975754991
rank 0: round 8625 ok checksum=4122341779449229796
rank 0: round 8650 ok checksum=8888786836693112245
rank 0: round 8675 ok checksum=18386448592575632023
rank 0: round 8700 ok checksum=12952690194632470488
rank 0: round 8725 ok checksum=9144863531930722792
rank 0: round 8750 ok checksum=8505054641069634070
rank 0: round 8775 ok checksum=13258970799785414053
rank 0: round 8800 ok checksum=647530679829352772
rank 0: round 8825 ok checksum=14448330498118760137
rank 0: round 8850 ok checksum=14888278434050904578
rank 0: round 8875 ok checksum=4867712002762988148
rank 0: round 8900 ok checksum=13290819616407137700
rank 0: round 8925 ok checksum=398247172176004211
rank 0: round 8950 ok checksum=7667921460917176318
rank 0: round 8975 ok checksum=2261521069216971942
rank 0: round 9000 ok checksum=15952722456022752673
rank 0: round 9025 ok checksum=9222283421235021357
rank 0: round 9050 ok checksum=521848249610613712
rank 0: round 9075 ok checksum=16228034204168656372
rank 0: round 9100 ok checksum=14039215415495055718
rank 0: round 9125 ok checksum=7615285284011689209
rank 0: round 9150 ok checksum=11985114912725094934
rank 0: round 9175 ok checksum=3191362740025758071
rank 0: round 9200 ok checksum=10109092602459568387
rank 0: round 9225 ok checksum=17744788317910378582
rank 0: round 9250 ok checksum=3520679140256141389
rank 0: round 9275 ok checksum=17998941536301863398
rank 0: round 9300 ok checksum=13589897532536842080
rank 0: round 9325 ok checksum=533695415081877075
rank 0: round 9350 ok checksum=18171431074059213039
rank 0: round 9375 ok checksum=17138211111111903055
rank 0: round 9400 ok checksum=6041618083726088095
rank 0: round 9425 ok checksum=8318120715616786778
rank 0: round 9450 ok checksum=2074950213360711686
rank 0: round 9475 ok checksum=16387559860289054332
rank 0: round 9500 ok checksum=13654737213409234992
rank 0: round 9525 ok checksum=17690691792613041424
rank 0: round 9550 ok checksum=7017800239418224337
rank 0: round 9575 ok checksum=3724694047512651355
rank 0: round 9600 ok checksum=6298625735303086154
rank 0: round 9625 ok checksum=3622412024851738327
rank 0: round 9650 ok checksum=2987290969375442064
rank 0: round 9675 ok checksum=16189367410232421154
rank 0: round 9700 ok checksum=16150412003932168659
rank 0: round 9725 ok checksum=6159657316606120827
rank 0: round 9750 ok checksum=6877370603776901521
rank 0: round 9775 ok checksum=10857663196131354832
rank 0: round 9800 ok checksum=1976250083394544703
rank 0: round 9825 ok checksum=6563831210436803164
rank 0: round 9850 ok checksum=16411917528867821509
rank 0: round 9875 ok checksum=1815399372619340327
rank 0: round 9900 ok checksum=3455003036192394047
rank 0: round 9925 ok checksum=17281194738257273510
rank 0: round 9950 ok checksum=15189623685629569633
rank 0: round 9975 ok checksum=17935209819956747001
rank 0: round 10000 ok checksum=3026979473443597116
rank 0: round 10025 ok checksum=18346931716124254888
rank 0: round 10050 ok checksum=7339947230357156539
rank 0: round 10075 ok checksum=6037982166356384015
rank 0: round 10100 ok checksum=9105854804261689249
rank 0: round 10125 ok checksum=8485131258270890004
rank 0: round 10150 ok checksum=639488625247160737
rank 0: round 10175 ok checksum=10881662492996497202
rank 0: round 10200 ok checksum=9309861047931970182
rank 0: round 10225 ok checksum=17587539559670578049
rank 0: round 10250 ok checksum=12203439111797217640
rank 0: round 10275 ok checksum=8055867314475417265
rank 0: round 10300 ok checksum=12082641304790129355
rank 0: round 10325 ok checksum=5490899399926224550
rank 0: round 10350 ok checksum=14389188521454074482
rank 0: round 10375 ok checksum=11630924249973256642
rank 0: round 10400 ok checksum=14266912643018536722
rank 0: round 10425 ok checksum=16084484582268860405
rank 0: round 10450 ok checksum=18384189726883642897
rank 0: round 10475 ok checksum=6283639093216017847
rank 0: round 10500 ok checksum=15238606241827052867
rank 0: round 10525 ok checksum=6069586972559291723
rank 0: round 10550 ok checksum=5094185564588507260
rank 0: round 10575 ok checksum=11607635683323126582
rank 0: round 10600 ok checksum=2224103856665933085
rank 0: round 10625 ok checksum=10730889162979453850
rank 0: round 10650 ok checksum=11983342071685593859
rank 0: round 10675 ok checksum=10725478979781981885
rank 0: round 10700 ok checksum=4682553461804147270
rank 0: round 10725 ok checksum=16513275724699211230
rank 0: round 10750 ok checksum=10070059471340484516
rank 0: round 10775 ok checksum=1962629448638023691
rank 0: round 10800 ok checksum=7027777048529860922
rank 0: round 10825 ok checksum=16999291226242627975
rank 0: round 10850 ok checksum=13434801369849801952
rank 0: round 10875 ok checksum=6231577704170745122
rank 0: round 10900 ok checksum=14912612334838497242
rank 0: round 10925 ok checksum=5453088227655048049
rank 0: round 10950 ok checksum=3485624807393956636
rank 0: round 10975 ok checksum=1838672880275714844
rank 0: round 11000 ok checksum=12220710619964866215
rank 0: round 11025 ok checksum=2673561773003573699
rank 0: round 11050 ok checksum=7650781528066725190
rank 0: round 11075 ok checksum=7374267737708608250
rank 0: round 11100 ok checksum=9262301183662931892
rank 0: round 11125 ok checksum=6902992083035357975
rank 0: round 11150 ok checksum=5944622455790096724
rank 0: round 11175 ok checksum=13726571552993623429
rank 0: round 11200 ok checksum=13074040312777556769
rank 0: round 11225 ok checksum=9248741175699818316
rank 0: round 11250 ok checksum=12540333445842445347
rank 0: round 11275 ok checksum=15914864287174574980
rank 0: round 11300 ok checksum=11692766764455515654
rank 0: round 11325 ok checksum=5995831110533828369
rank 0: round 11350 ok checksum=7881067040129876941
rank 0: round 11375 ok checksum=12812664452902225205
rank 0: round 11400 ok checksum=4001314427658230549
rank 0: round 11425 ok checksum=1497830423203056488
rank 0: round 11450 ok checksum=4499300051939982316
rank 0: round 11475 ok checksum=15379213040752829098
rank 0: round 11500 ok checksum=14683073955645769702
rank 0: round 11525 ok checksum=12584128968728838494
rank 0: round 11550 ok checksum=11227351468071805687
rank 0: round 11575 ok checksum=3505479650896161993
rank 0: round 11600 ok checksum=11405124125615485640
rank 0: round 11625 ok checksum=14876067344716363509
rank 0: round 11650 ok checksum=14518026660606184702
rank 0: round 11675 ok checksum=18314656501513227544
rank 0: round 11700 ok checksum=3028665274481242769
rank 0: round 11725 ok checksum=13724830047648630233
rank 0: round 11750 ok checksum=14386806954458519111
rank 0: round 11775 ok checksum=14018535797714370126
rank 0: round 11800 ok checksum=11369591422818108053
rank 0: round 11825 ok checksum=2797570776538262546
rank 0: round 11850 ok checksum=11677181551864925579
rank 0: round 11875 ok checksum=5789941706180354869
rank 0: round 11900 ok checksum=10269308318734866589
rank 0: round 11925 ok checksum=3319456776113765028
rank 0: round 11950 ok checksum=17082769593468904367
rank 0: round 11975 ok checksum=4534868989911224527
rank 0: round 12000 ok checksum=15871408170984753778
rank 0: round 12025 ok checksum=11849343522844133438
rank 0: round 12050 ok checksum=6618409623986827289
rank 0: round 12075 ok checksum=7692236206650514805
rank 0: round 12100 ok checksum=1335453655866650911
rank 0: round 12125 ok checksum=17071792091899113778
rank 0: round 12150 ok checksum=12614749436158673863
rank 0: round 12175 ok checksum=14653005160091610016
rank 0: round 12200 ok checksum=6801589672622558164
rank 0: round 12225 ok checksum=4186908285527326119
rank 0: round 12250 ok checksum=3946268731447443926
rank 0: round 12275 ok checksum=18243076516205019303
rank 0: round 12300 ok checksum=3604378348369373273
rank 0: round 12325 ok checksum=6299712699245269772
rank 0: round 12350 ok checksum=9436403992887035680
rank 0: round 12375 ok checksum=1937565391782760952
rank 0: round 12400 ok checksum=2599807574120153840
rank 0: round 12425 ok checksum=16002676622674368675
rank 0: round 12450 ok checksum=6039733176708871751
rank 0: round 12475 ok checksum=1535250511755121333
rank 0: round 12500 ok checksum=11117265439638437217
rank 0: round 12525 ok checksum=14843348114026103489
rank 0: round 12550 ok checksum=5106651406517625018
rank 0: round 12575 ok checksum=15659024910016806268
rank 0: round 12600 ok checksum=11685397769774965139
rank 0: round 12625 ok checksum=5381039988947323040
rank 0: round 12650 ok checksum=7826101707041309009
rank 0: round 12675 ok checksum=5992049297118337499
rank 0: round 12700 ok checksum=7691249685447734660
rank 0: round 12725 ok checksum=4780968375109348076
rank 0: round 12750 ok checksum=2754565266764698426
rank 0: round 12775 ok checksum=16488844519612937649
rank 0: round 12800 ok checksum=6406612818650208016
rank 0: round 12825 ok checksum=10431902682901179685
rank 0: round 12850 ok checksum=1302990875924272518
rank 0: round 12875 ok checksum=3207207840327758304
rank 0: round 12900 ok checksum=15034109209927165368
rank 0: round 12925 ok checksum=2116421229981267031
rank 0: round 12950 ok checksum=12856731720487104586
rank 0: round 12975 ok checksum=1560764092472337946
rank 0: round 13000 ok checksum=8926443435214500237
rank 0: round 13025 ok checksum=17892058532413256945
rank 0: round 13050 ok checksum=10409616214648011772
rank 0: round 13075 ok checksum=18206901379219621960
rank 0: round 13100 ok checksum=973170756139640538
rank 0: round 13125 ok checksum=13204143936484416645
rank 0: round 13150 ok checksum=11412682940655710282
rank 0: round 13175 ok checksum=8512842745834035475
rank 0: round 13200 ok checksum=9094773010623550095
rank 0: round 13225 ok checksum=16463527382759829570
rank 0: round 13250 ok checksum=323628922933459937
rank 0: round 13275 ok checksum=8531434452527508450
rank 0: round 13300 ok checksum=5150546458636741308
rank 0: round 13325 ok checksum=2000237772704648335
rank 0: round 13350 ok checksum=3563502766703771987
rank 0: round 13375 ok checksum=10881851149580826779
rank 0: round 13400 ok checksum=12048411518240524763
rank 0: round 13425 ok checksum=2156118080147529078
rank 0: round 13450 ok checksum=17510285862058626890
rank 0: round 13475 ok checksum=78622719704827816
rank 0: round 13500 ok checksum=9875491215486081844
rank 0: round 13525 ok checksum=3520974537083210036
rank 0: round 13550 ok checksum=10314151040167138653
rank 0: round 13575 ok checksum=4509593204549265423
rank 0: round 13600 ok checksum=9524535879813233446
rank 0: round 13625 ok checksum=12731114199251265115
rank 0: round 13650 ok checksum=6710564961265996668
rank 0: round 13675 ok checksum=15043191730927325750
rank 0: round 13700 ok checksum=1589816231848509623
rank 0: round 13725 ok checksum=7492320327001857607
rank 0: round 13750 ok checksum=7211911974822589701
rank 0: round 13775 ok checksum=973263716408571820
rank 0: round 13800 ok checksum=16457548812593273603
rank 0: round 13825 ok checksum=4098539682599437832
rank 0: round 13850 ok checksum=2349693032970321177
rank 0: round 13875 ok checksum=13791969129426848667
rank 0: round 13900 ok checksum=9255467608371943755
rank 0: round 13925 ok checksum=15155671390717581018
rank 0: round 13950 ok checksum=4150514258971786109
rank 0: round 13975 ok checksum=13284720686680135541
rank 0: round 14000 ok checksum=5546499895144641192
rank 0: round 14025 ok checksum=14078857660770334012
rank 0: round 14050 ok checksum=138836621672017719
rank 0: round 14075 ok checksum=7463024706266651627
rank 0: round 14100 ok checksum=7732844193057952349
rank 0: round 14125 ok checksum=4798869894781820024
rank 0: round 14150 ok checksum=2244774618059856493
rank 0: round 14175 ok checksum=17965126327806568158
rank 0: round 14200 ok checksum=15183031834967886882
rank 0: round 14225 ok checksum=3702504127991795653
rank 0: round 14250 ok checksum=2051444291941720852
