rank 2: start pid=523332 shape=collectives_sweep
rank 2: round 0 ok checksum=10856282038097611245
rank 2: round 25 ok checksum=5130613038006803242
rank 2: round 50 ok checksum=12366121439899800811
rank 2: round 75 ok checksum=9184793613365903230
rank 2: round 100 ok checksum=14770701407918948215
rank 2: round 125 ok checksum=11404998364243833441
rank 2: round 150 ok checksum=8785197460427682847
rank 2: round 175 ok checksum=6927073033684359132
rank 2: round 200 ok checksum=10279221618897568261
rank 2: round 225 ok checksum=14050767520180600404
rank 2: round 250 ok checksum=18369974065887108347
rank 2: round 275 ok checksum=10794847296724490173
rank 2: round 300 ok checksum=18136052654761641982
rank 2: round 325 ok checksum=17292635887763317264
rank 2: round 350 ok checksum=15214929731691274867
rank 2: round 375 ok checksum=14689543022185599604
rank 2: round 400 ok checksum=12647401199182304807
rank 2: round 425 ok checksum=8064348613308741678
rank 2: round 450 ok checksum=15888169932584652564
rank 2: round 475 ok checksum=5997277282341753147
rank 2: round 500 ok checksum=9590332343377579920
rank 2: round 525 ok checksum=13290265126557132511
rank 2: round 550 ok checksum=11334036543381285999
rank 2: round 575 ok checksum=18008067531684567720
rank 2: round 600 ok checksum=18299173714445038405
rank 2: round 625 ok checksum=10704712126823614867
rank 2: round 650 ok checksum=13519600475169693133
rank 2: round 675 ok checksum=1685258490941043046
rank 2: round 700 ok checksum=13345678893378017984
rank 2: round 725 ok checksum=4309080730397492996
rank 2: round 750 ok checksum=7644707430678397689
rank 2: round 775 ok checksum=9689691232866968111
rank 2: round 800 ok checksum=11872384603784730838
rank 2: round 825 ok checksum=9431353132784786726
rank 2: round 850 ok checksum=13102098025528242351
rank 2: round 875 ok checksum=8512610300361174544
rank 2: round 900 ok checksum=1993594687438642175
rank 2: round 925 ok checksum=14560247559217352487
rank 2: round 950 ok checksum=13907731689000288206
rank 2: round 975 ok checksum=1883825391439429037
rank 2: round 1000 ok checksum=812895021680521284
rank 2: round 1025 ok checksum=13980718481987574161
rank 2: round 1050 ok checksum=4645545720559386538
rank 2: round 1075 ok checksum=6864513077046029253
rank 2: round 1100 ok checksum=7783477452182074558
rank 2: round 1125 ok checksum=4743020734773240888
rank 2: round 1150 ok checksum=15669344951125710150
rank 2: round 1175 ok checksum=4553851698514381259
rank 2: round 1200 ok checksum=2655628471117531188
rank 2: round 1225 ok checksum=8178563353657588307
rank 2: round 1250 ok checksum=13333677150449940690
rank 2: round 1275 ok checksum=4890481051643519572
rank 2: round 1300 ok checksum=10335626753729187861
rank 2: round 1325 ok checksum=8334393281647071031
rank 2: round 1350 ok checksum=1405160963891182442
rank 2: round 1375 ok checksum=10113788302461441067
rank 2: round 1400 ok checksum=10353774739441495902
rank 2: round 1425 ok checksum=5920109723988110453
rank 2: round 1450 ok checksum=12356133760174921139
rank 2: round 1475 ok checksum=16851676582535847954
rank 2: round 1500 ok checksum=416691974946603503
rank 2: round 1525 ok checksum=13230818087430153614
rank 2: round 1550 ok checksum=14613433966848081966
rank 2: round 1575 ok checksum=17720116840497572511
rank 2: round 1600 ok checksum=15169956327091963588
rank 2: round 1625 ok checksum=2581397152256057186
rank 2: round 1650 ok checksum=17701484165311237292
rank 2: round 1675 ok checksum=63239283430019709
rank 2: round 1700 ok checksum=9166950075926868135
rank 2: round 1725 ok checksum=13631369924730577531
rank 2: round 1750 ok checksum=17634249701114382584
rank 2: round 1775 ok checksum=15137950756379139686
rank 2: round 1800 ok checksum=16833879664172982237
rank 2: round 1825 ok checksum=4893997873413660605
rank 2: round 1850 ok checksum=12106926517610538710
rank 2: round 1875 ok checksum=6974482004013107959
rank 2: round 1900 ok checksum=11125457379458907702
rank 2: round 1925 ok checksum=10245348446012447598
rank 2: round 1950 ok checksum=1142070311609159453
rank 2: round 1975 ok checksum=17924773573123807996
rank 2: round 2000 ok checksum=2056837258067642403
rank 2: round 2025 ok checksum=5325885848270533312
rank 2: round 2050 ok checksum=12790780469692538593
rank 2: round 2075 ok checksum=18192764597314384956
rank 2: round 2100 ok checksum=6872949749298931973
rank 2: round 2125 ok checksum=15027482209994845455
rank 2: round 2150 ok checksum=17883372393496643741
rank 2: round 2175 ok checksum=2035497098733508706
rank 2: round 2200 ok checksum=12521763875281948827
rank 2: round 2225 ok checksum=17831027855595570506
rank 2: round 2250 ok checksum=1978359165864329225
rank 2: round 2275 ok checksum=14470993084853474643
rank 2: round 2300 ok checksum=12385460283234107428
rank 2: round 2325 ok checksum=4667314248382117654
rank 2: round 2350 ok checksum=17736255474316163265
rank 2: round 2375 ok checksum=14446405404592821578
rank 2: round 2400 ok checksum=6859715407398288269
rank 2: round 2425 ok checksum=11799553779982425716
rank 2: round 2450 ok checksum=2727959217306708202
rank 2: round 2475 ok checksum=11555123276485796057
rank 2: round 2500 ok checksum=3222839264821981958
rank 2: round 2525 ok checksum=12182810554849008493
rank 2: round 2550 ok checksum=15229687737744931717
rank 2: round 2575 ok checksum=8527905866412343686
rank 2: round 2600 ok checksum=2979615648770317307
rank 2: round 2625 ok checksum=9826435103759298473
rank 2: round 2650 ok checksum=17160660853342109811
rank 2: round 2675 ok checksum=17809463497746653780
rank 2: round 2700 ok checksum=7782258070853460814
rank 2: round 2725 ok checksum=2010424841571774570
rank 2: round 2750 ok checksum=4805751787363560615
rank 2: round 2775 ok checksum=3177845253074964325
rank 2: round 2800 ok checksum=10348086574688577260
rank 2: round 2825 ok checksum=18307062371767542100
rank 2: round 2850 ok checksum=1742271981552323821
rank 2: round 2875 ok checksum=16625224189472055710
rank 2: round 2900 ok checksum=346371525186601005
rank 2: round 2925 ok checksum=12884323258036230053
rank 2: round 2950 ok checksum=17200896952500889684
rank 2: round 2975 ok checksum=5290976314585680579
rank 2: round 3000 ok checksum=15451855047192783162
rank 2: round 3025 ok checksum=16434617206808311831
rank 2: round 3050 ok checksum=3314382412550751680
rank 2: round 3075 ok checksum=16024689043525138155
rank 2: round 3100 ok checksum=955724304229540932
rank 2: round 3125 ok checksum=18222094301142863110
rank 2: round 3150 ok checksum=12580860803488440988
rank 2: round 3175 ok checksum=9168715264692204593
rank 2: round 3200 ok checksum=1482496961915054842
rank 2: round 3225 ok checksum=9609609499761289313
rank 2: round 3250 ok checksum=11183175720624989424
rank 2: round 3275 ok checksum=14070670913927967562
rank 2: round 3300 ok checksum=8133570409986491171
rank 2: round 3325 ok checksum=7282739256477824205
rank 2: round 3350 ok checksum=1078621067601613000
