rank 7: start pid=523346 shape=collectives_sweep
rank 7: round 0 ok checksum=4600480954414164910
rank 7: round 25 ok checksum=6980207029128940208
rank 7: round 50 ok checksum=8476839117477268744
rank 7: round 75 ok checksum=2667577125034023564
rank 7: round 100 ok checksum=14173566931068685955
rank 7: round 125 ok checksum=13109410135786808712
rank 7: round 150 ok checksum=16579030721834289937
rank 7: round 175 ok checksum=17604442939887760377
rank 7: round 200 ok checksum=11694587987085500602
rank 7: round 225 ok checksum=14468095003036542843
rank 7: round 250 ok checksum=2314849931935938858
rank 7: round 275 ok checksum=14653049371522825765
rank 7: round 300 ok checksum=1041850544343116436
rank 7: round 325 ok checksum=8323256819909753516
rank 7: round 350 ok checksum=3978208726280816874
rank 7: round 375 ok checksum=12466695961141158477
rank 7: round 400 ok checksum=10702455736233519037
rank 7: round 425 ok checksum=6899806101181636737
rank 7: round 450 ok checksum=10171630143930463803
rank 7: round 475 ok checksum=12553468300059800457
rank 7: round 500 ok checksum=534864036237861137
rank 7: round 525 ok checksum=9115220605357643683
rank 7: round 550 ok checksum=13251479217389204398
rank 7: round 575 ok checksum=8505271462921691227
rank 7: round 600 ok checksum=8246131502223367691
rank 7: round 625 ok checksum=8427748443466629616
rank 7: round 650 ok checksum=9677012514257978951
rank 7: round 675 ok checksum=10936854678882534532
rank 7: round 700 ok checksum=3248680889284712647
rank 7: round 725 ok checksum=13853997674991097910
rank 7: round 750 ok checksum=12761716075416217198
rank 7: round 775 ok checksum=5464084325861599199
rank 7: round 800 ok checksum=5314840147043878526
rank 7: round 825 ok checksum=14812994792618501827
rank 7: round 850 ok checksum=10010778127260121546
rank 7: round 875 ok checksum=371898926739225258
rank 7: round 900 ok checksum=11683841801562961730
rank 7: round 925 ok checksum=5143777824952706344
rank 7: round 950 ok checksum=1810584081654263364
rank 7: round 975 ok checksum=17233894821705460347
rank 7: round 1000 ok checksum=12804089992410487696
rank 7: round 1025 ok checksum=9055627131403414426
rank 7: round 1050 ok checksum=9885401352284245114
rank 7: round 1075 ok checksum=14153334940204521534
rank 7: round 1100 ok checksum=10483580001548558053
rank 7: round 1125 ok checksum=14171752401457325042
rank 7: round 1150 ok checksum=8982239793415281923
rank 7: round 1175 ok checksum=18436539564142067555
rank 7: round 1200 ok checksum=201825942711936476
rank 7: round 1225 ok checksum=15723110161243213733
rank 7: round 1250 ok checksum=7782673103575351772
rank 7: round 1275 ok checksum=6404453628941332495
rank 7: round 1300 ok checksum=18333560083341326134
rank 7: round 1325 ok checksum=11623945435875606358
rank 7: round 1350 ok checksum=7991584103463336732
rank 7: round 1375 ok checksum=13207030924082892207
rank 7: round 1400 ok checksum=7556879037083558431
rank 7: round 1425 ok checksum=1155408498412236779
rank 7: round 1450 ok checksum=8079259410946615341
rank 7: round 1475 ok checksum=16967307863132505707
rank 7: round 1500 ok checksum=11238362772091036147
rank 7: round 1525 ok checksum=15698135909053864589
rank 7: round 1550 ok checksum=4948376395889360416
rank 7: round 1575 ok checksum=9832783946654668797
rank 7: round 1600 ok checksum=9973599270832476277
rank 7: round 1625 ok checksum=11295029675106219682
rank 7: round 1650 ok checksum=12392564814643412161
rank 7: round 1675 ok checksum=13085373127715618094
rank 7: round 1700 ok checksum=3146873066418100857
rank 7: round 1725 ok checksum=8211976265733305456
rank 7: round 1750 ok checksum=12692515843073210032
rank 7: round 1775 ok checksum=16707129324352373961
rank 7: round 1800 ok checksum=17801741495578180976
rank 7: round 1825 ok checksum=6359107267989815613
rank 7: round 1850 ok checksum=2537931653453857028
rank 7: round 1875 ok checksum=9148752874909581844
rank 7: round 1900 ok checksum=7257687480568559028
rank 7: round 1925 ok checksum=5198243182343740450
rank 7: round 1950 ok checksum=4791241574920780030
rank 7: round 1975 ok checksum=6394109931341708069
rank 7: round 2000 ok checksum=16679227974529301570
rank 7: round 2025 ok checksum=2528000560570078676
rank 7: round 2050 ok checksum=15857124801553841132
rank 7: round 2075 ok checksum=10731761460748909160
rank 7: round 2100 ok checksum=18392138874129516055
rank 7: round 2125 ok checksum=14241236692673446316
rank 7: round 2150 ok checksum=1557195190556797173
rank 7: round 2175 ok checksum=10762175071255398349
rank 7: round 2200 ok checksum=1067904701676098638
rank 7: round 2225 ok checksum=8840296003109866911
rank 7: round 2250 ok checksum=12480647995574593094
rank 7: round 2275 ok checksum=6888530256322087161
rank 7: round 2300 ok checksum=11194064990294983464
rank 7: round 2325 ok checksum=12235802039385972688
rank 7: round 2350 ok checksum=7071262136018884558
rank 7: round 2375 ok checksum=3784517439869171489
rank 7: round 2400 ok checksum=145669574520129241
rank 7: round 2425 ok checksum=7409619707614473069
rank 7: round 2450 ok checksum=2561466686783279967
rank 7: round 2475 ok checksum=5105998390969703333
rank 7: round 2500 ok checksum=13271104070485757621
rank 7: round 2525 ok checksum=16615951500590183511
rank 7: round 2550 ok checksum=17108079879436510682
rank 7: round 2575 ok checksum=17535592734106008311
rank 7: round 2600 ok checksum=12853621654923417591
rank 7: round 2625 ok checksum=16101370635389316452
rank 7: round 2650 ok checksum=10087008823263118643
rank 7: round 2675 ok checksum=10398883653785821608
rank 7: round 2700 ok checksum=3376644142489933947
rank 7: round 2725 ok checksum=7601111295932778674
rank 7: round 2750 ok checksum=4543144939253927842
rank 7: round 2775 ok checksum=12315251333046462467
rank 7: round 2800 ok checksum=402564938644041522
rank 7: round 2825 ok checksum=4010486806527803447
rank 7: round 2850 ok checksum=8177679479352546998
rank 7: round 2875 ok checksum=13398945991342122446
rank 7: round 2900 ok checksum=13125700533804414198
rank 7: round 2925 ok checksum=17126410246846689692
rank 7: round 2950 ok checksum=3317921096338384432
rank 7: round 2975 ok checksum=9857695213633119903
rank 7: round 3000 ok checksum=70507402481934404
rank 7: round 3025 ok checksum=13218788804838451654
rank 7: round 3050 ok checksum=471668315192786654
rank 7: round 3075 ok checksum=14732749689857457506
rank 7: round 3100 ok checksum=5105505408199878297
rank 7: round 3125 ok checksum=1827931236538747494
rank 7: round 3150 ok checksum=7779112252078718703
rank 7: round 3175 ok checksum=2251480920547653263
rank 7: round 3200 ok checksum=16451526248492583640
rank 7: round 3225 ok checksum=4493487241706947929
rank 7: round 3250 ok checksum=11245609618992071944
rank 7: round 3275 ok checksum=9748618794554849347
rank 7: round 3300 ok checksum=11515029834415748218
rank 7: round 3325 ok checksum=18100066830575441042
rank 7: round 3350 ok checksum=6443819420629608208
rank 7: round 3375 ok checksum=736332831174533547
rank 7: round 3400 ok checksum=5194168951121483555
rank 7: round 3425 ok checksum=15555582205649740519
rank 7: round 3450 ok checksum=8303819245928056801
rank 7: round 3475 ok checksum=3072854835281143471
rank 7: round 3500 ok checksum=2277840910236771967
rank 7: round 3525 ok checksum=14704468530349958737
rank 7: round 3550 ok checksum=4048385805652087260
rank 7: round 3575 ok checksum=2174325863710105153
rank 7: round 3600 ok checksum=611709875868032121
rank 7: round 3625 ok checksum=8699432573737490590
rank 7: round 3650 ok checksum=125151389731857269
rank 7: round 3675 ok checksum=3349840340100578418
rank 7: round 3700 ok checksum=5745845663251987837
rank 7: round 3725 ok checksum=13507842093841102188
rank 7: round 3750 ok checksum=3308353015037854820
rank 7: round 3775 ok checksum=470557004152565773
rank 7: round 3800 ok checksum=7567953992371819692
rank 7: round 3825 ok checksum=2076383255216464689
rank 7: round 3850 ok checksum=3003878961967071928
rank 7: round 3875 ok checksum=1948574382766085208
rank 7: round 3900 ok checksum=10234645008382157752
rank 7: round 3925 ok checksum=2130714972468404254
